"Código","Municipio","Nivel Educativo","Cantidad de Personas"
201,"Guastatoya","Primaria, 1-3",3359
201,"Guastatoya","Primaria, 4-5",1628
201,"Guastatoya","Primaria, 6",3680
201,"Guastatoya","Basico",3647
201,"Guastatoya","Diversificado",4989
201,"Guastatoya","Licenciatura",1753
201,"Guastatoya","Maestria y doctorado",153
202,"Morazán","Ninguno",2194
202,"Morazán","Preprimaria",527
202,"Morazán","Primaria, 1-3",2176
202,"Morazán","Primaria, 4-5",1019
202,"Morazán","Primaria, 6",2201
202,"Morazán","Basico",1618
202,"Morazán","Diversificado",1349
202,"Morazán","Licenciatura",176
202,"Morazán","Maestria y doctorado",16
203,"San Agustín Acasaguastlán","Ninguno",7927
203,"San Agustín Acasaguastlán","Preprimaria",2264
203,"San Agustín Acasaguastlán","Primaria, 1-3",8620
203,"San Agustín Acasaguastlán","Primaria, 4-5",3778
203,"San Agustín Acasaguastlán","Primaria, 6",6217
203,"San Agustín Acasaguastlán","Basico",5632
203,"San Agustín Acasaguastlán","Diversificado",6217
203,"San Agustín Acasaguastlán","Licenciatura",767
203,"San Agustín Acasaguastlán","Maestria y doctorado",55
204,"San Cristóbal Acasaguastlán","Ninguno",908
204,"San Cristóbal Acasaguastlán","Preprimaria",464
204,"San Cristóbal Acasaguastlán","Primaria, 1-3",1395
204,"San Cristóbal Acasaguastlán","Primaria, 4-5",570
204,"San Cristóbal Acasaguastlán","Primaria, 6",931
204,"San Cristóbal Acasaguastlán","Basico",1008
204,"San Cristóbal Acasaguastlán","Diversificado",1183
204,"San Cristóbal Acasaguastlán","Licenciatura",225
204,"San Cristóbal Acasaguastlán","Maestria y doctorado",18
205,"El Jícaro","Ninguno",1762
205,"El Jícaro","Preprimaria",643
205,"El Jícaro","Primaria, 1-3",2169
205,"El Jícaro","Primaria, 4-5",969
205,"El Jícaro","Primaria, 6",2401
205,"El Jícaro","Basico",1615
205,"El Jícaro","Diversificado",2313
205,"El Jícaro","Licenciatura",271
205,"El Jícaro","Maestria y doctorado",13
206,"Sansare","Ninguno",2080
206,"Sansare","Preprimaria",553
206,"Sansare","Primaria, 1-3",2083
206,"Sansare","Primaria, 4-5",871
206,"Sansare","Primaria, 6",2173
206,"Sansare","Basico",1645
206,"Sansare","Diversificado",2427
206,"Sansare","Licenciatura",383
206,"Sansare","Maestria y doctorado",24
207,"Sanarate","Ninguno",4593
207,"Sanarate","Preprimaria",1900
207,"Sanarate","Primaria, 1-3",6650
207,"Sanarate","Primaria, 4-5",3050
207,"Sanarate","Primaria, 6",5920
207,"Sanarate","Basico",6147
207,"Sanarate","Diversificado",6434
207,"Sanarate","Licenciatura",1750
207,"Sanarate","Maestria y doctorado",136
208,"San Antonio la Paz","Ninguno",3059
208,"San Antonio la Paz","Preprimaria",883
208,"San Antonio la Paz","Primaria, 1-3",3864
208,"San Antonio la Paz","Primaria, 4-5",1857
208,"San Antonio la Paz","Primaria, 6",3550
208,"San Antonio la Paz","Basico",2753
208,"San Antonio la Paz","Diversificado",2708
208,"San Antonio la Paz","Licenciatura",411
208,"San Antonio la Paz","Maestria y doctorado",27
301,"Antigua Guatemala","Ninguno",3872
301,"Antigua Guatemala","Preprimaria",2020
301,"Antigua Guatemala","Primaria, 1-3",5783
301,"Antigua Guatemala","Primaria, 4-5",2751
301,"Antigua Guatemala","Primaria, 6",5874
301,"Antigua Guatemala","Basico",7771
301,"Antigua Guatemala","Diversificado",9559
301,"Antigua Guatemala","Licenciatura",4991
301,"Antigua Guatemala","Maestria y doctorado",609
302,"Jocotenango","Ninguno",1243
302,"Jocotenango","Preprimaria",1012
302,"Jocotenango","Primaria, 1-3",2286
302,"Jocotenango","Primaria, 4-5",1166
302,"Jocotenango","Primaria, 6",2412
302,"Jocotenango","Basico",3822
302,"Jocotenango","Diversificado",5604
302,"Jocotenango","Licenciatura",2612
302,"Jocotenango","Maestria y doctorado",199
303,"Pastores","Ninguno",1660
303,"Pastores","Preprimaria",789
303,"Pastores","Primaria, 1-3",2986
303,"Pastores","Primaria, 4-5",1362
303,"Pastores","Primaria, 6",3054
303,"Pastores","Basico",2642
303,"Pastores","Diversificado",3291
303,"Pastores","Licenciatura",662
303,"Pastores","Maestria y doctorado",47
304,"Sumpango","Ninguno",5813
304,"Sumpango","Preprimaria",1445
304,"Sumpango","Primaria, 1-3",7266
304,"Sumpango","Primaria, 4-5",3325
304,"Sumpango","Primaria, 6",6121
304,"Sumpango","Basico",4945
304,"Sumpango","Diversificado",4305
304,"Sumpango","Licenciatura",877
304,"Sumpango","Maestria y doctorado",90
305,"Santo Domingo Xenacoj","Ninguno",1763
305,"Santo Domingo Xenacoj","Preprimaria",505
305,"Santo Domingo Xenacoj","Primaria, 1-3",2401
305,"Santo Domingo Xenacoj","Primaria, 4-5",1031
305,"Santo Domingo Xenacoj","Primaria, 6",1543
305,"Santo Domingo Xenacoj","Basico",2069
305,"Santo Domingo Xenacoj","Diversificado",1703
305,"Santo Domingo Xenacoj","Licenciatura",336
305,"Santo Domingo Xenacoj","Maestria y doctorado",15
306,"Santiago Sacatepéquez","Ninguno",4366
306,"Santiago Sacatepéquez","Preprimaria",1133
306,"Santiago Sacatepéquez","Primaria, 1-3",5335
306,"Santiago Sacatepéquez","Primaria, 4-5",2600
306,"Santiago Sacatepéquez","Primaria, 6",4465
306,"Santiago Sacatepéquez","Basico",4390
306,"Santiago Sacatepéquez","Diversificado",3708
306,"Santiago Sacatepéquez","Licenciatura",991
306,"Santiago Sacatepéquez","Maestria y doctorado",126
307,"San Bartolomé Milpas Altas","Ninguno",500
307,"San Bartolomé Milpas Altas","Preprimaria",476
307,"San Bartolomé Milpas Altas","Primaria, 1-3",1074
307,"San Bartolomé Milpas Altas","Primaria, 4-5",525
307,"San Bartolomé Milpas Altas","Primaria, 6",1044
307,"San Bartolomé Milpas Altas","Basico",1399
307,"San Bartolomé Milpas Altas","Diversificado",1505
307,"San Bartolomé Milpas Altas","Licenciatura",724
307,"San Bartolomé Milpas Altas","Maestria y doctorado",51
308,"San Lucas Sacatepéquez","Ninguno",1526
308,"San Lucas Sacatepéquez","Preprimaria",1127
308,"San Lucas Sacatepéquez","Primaria, 1-3",2685
308,"San Lucas Sacatepéquez","Primaria, 4-5",1360
308,"San Lucas Sacatepéquez","Primaria, 6",2643
308,"San Lucas Sacatepéquez","Basico",3531
308,"San Lucas Sacatepéquez","Diversificado",5127
308,"San Lucas Sacatepéquez","Licenciatura",3296
308,"San Lucas Sacatepéquez","Maestria y doctorado",517
309,"Santa Lucía Milpas Altas","Ninguno",1139
309,"Santa Lucía Milpas Altas","Preprimaria",617
309,"Santa Lucía Milpas Altas","Primaria, 1-3",2179
309,"Santa Lucía Milpas Altas","Primaria, 4-5",1126
309,"Santa Lucía Milpas Altas","Primaria, 6",2591
309,"Santa Lucía Milpas Altas","Basico",2626
309,"Santa Lucía Milpas Altas","Diversificado",2791
309,"Santa Lucía Milpas Altas","Licenciatura",1302
309,"Santa Lucía Milpas Altas","Maestria y doctorado",167
310,"Magdalena Milpas Altas","Ninguno",950
310,"Magdalena Milpas Altas","Preprimaria",602
310,"Magdalena Milpas Altas","Primaria, 1-3",2070
310,"Magdalena Milpas Altas","Primaria, 4-5",1086
310,"Magdalena Milpas Altas","Primaria, 6",2286
310,"Magdalena Milpas Altas","Basico",1786
310,"Magdalena Milpas Altas","Diversificado",1827
310,"Magdalena Milpas Altas","Licenciatura",399
310,"Magdalena Milpas Altas","Maestria y doctorado",17
311,"Santa María de Jesús","Ninguno",5102
311,"Santa María de Jesús","Preprimaria",683
311,"Santa María de Jesús","Primaria, 1-3",4848
311,"Santa María de Jesús","Primaria, 4-5",1974
311,"Santa María de Jesús","Primaria, 6",3657
311,"Santa María de Jesús","Basico",1992
311,"Santa María de Jesús","Diversificado",1489
311,"Santa María de Jesús","Licenciatura",283
311,"Santa María de Jesús","Maestria y doctorado",14
312,"Ciudad Vieja","Ninguno",3190
312,"Ciudad Vieja","Preprimaria",1470
312,"Ciudad Vieja","Primaria, 1-3",5587
312,"Ciudad Vieja","Primaria, 4-5",2651
312,"Ciudad Vieja","Primaria, 6",5795
312,"Ciudad Vieja","Basico",5428
312,"Ciudad Vieja","Diversificado",5102
312,"Ciudad Vieja","Licenciatura",1613
312,"Ciudad Vieja","Maestria y doctorado",141
313,"San Miguel Dueñas","Ninguno",1464
313,"San Miguel Dueñas","Preprimaria",523
313,"San Miguel Dueñas","Primaria, 1-3",2184
313,"San Miguel Dueñas","Primaria, 4-5",918
313,"San Miguel Dueñas","Primaria, 6",2124
313,"San Miguel Dueñas","Basico",2244
313,"San Miguel Dueñas","Diversificado",1668
313,"San Miguel Dueñas","Licenciatura",549
313,"San Miguel Dueñas","Maestria y doctorado",58
314,"San Juan Alotenango","Ninguno",3807
314,"San Juan Alotenango","Preprimaria",879
314,"San Juan Alotenango","Primaria, 1-3",4597
314,"San Juan Alotenango","Primaria, 4-5",1739
314,"San Juan Alotenango","Primaria, 6",4621
314,"San Juan Alotenango","Basico",3376
314,"San Juan Alotenango","Diversificado",2530
314,"San Juan Alotenango","Licenciatura",478
314,"San Juan Alotenango","Maestria y doctorado",42
315,"San Antonio Aguas Calientes","Ninguno",974
315,"San Antonio Aguas Calientes","Preprimaria",522
315,"San Antonio Aguas Calientes","Primaria, 1-3",1938
315,"San Antonio Aguas Calientes","Primaria, 4-5",944
315,"San Antonio Aguas Calientes","Primaria, 6",1785
315,"San Antonio Aguas Calientes","Basico",1714
315,"San Antonio Aguas Calientes","Diversificado",2032
315,"San Antonio Aguas Calientes","Licenciatura",587
315,"San Antonio Aguas Calientes","Maestria y doctorado",47
316,"Santa Catarina Barahona","Ninguno",321
316,"Santa Catarina Barahona","Preprimaria",163
316,"Santa Catarina Barahona","Primaria, 1-3",708
316,"Santa Catarina Barahona","Primaria, 4-5",369
316,"Santa Catarina Barahona","Primaria, 6",855
316,"Santa Catarina Barahona","Basico",638
316,"Santa Catarina Barahona","Diversificado",575
316,"Santa Catarina Barahona","Licenciatura",115
316,"Santa Catarina Barahona","Maestria y doctorado",17
401,"Chimaltenango","Ninguno",11305
401,"Chimaltenango","Preprimaria",3780
401,"Chimaltenango","Primaria, 1-3",15083
401,"Chimaltenango","Primaria, 4-5",7296
401,"Chimaltenango","Primaria, 6",13819
401,"Chimaltenango","Basico",16019
401,"Chimaltenango","Diversificado",16002
401,"Chimaltenango","Licenciatura",5672
401,"Chimaltenango","Maestria y doctorado",420
402,"San José Poaquil","Ninguno",4509
402,"San José Poaquil","Preprimaria",1183
402,"San José Poaquil","Primaria, 1-3",5381
402,"San José Poaquil","Primaria, 4-5",2767
402,"San José Poaquil","Primaria, 6",4874
402,"San José Poaquil","Basico",2883
402,"San José Poaquil","Diversificado",2565
402,"San José Poaquil","Licenciatura",384
402,"San José Poaquil","Maestria y doctorado",31
403,"San Martín Jilotepeque","Ninguno",13880
403,"San Martín Jilotepeque","Preprimaria",2227
403,"San Martín Jilotepeque","Primaria, 1-3",16817
403,"San Martín Jilotepeque","Primaria, 4-5",8068
403,"San Martín Jilotepeque","Primaria, 6",12531
403,"San Martín Jilotepeque","Basico",7396
403,"San Martín Jilotepeque","Diversificado",5050
403,"San Martín Jilotepeque","Licenciatura",892
403,"San Martín Jilotepeque","Maestria y doctorado",116
404,"San Juan Comalapa","Ninguno",6648
404,"San Juan Comalapa","Preprimaria",1487
404,"San Juan Comalapa","Primaria, 1-3",10157
404,"San Juan Comalapa","Primaria, 4-5",4862
404,"San Juan Comalapa","Primaria, 6",6825
404,"San Juan Comalapa","Basico",6327
404,"San Juan Comalapa","Diversificado",6277
404,"San Juan Comalapa","Licenciatura",1735
404,"San Juan Comalapa","Maestria y doctorado",74
405,"Santa Apolonia","Ninguno",3332
405,"Santa Apolonia","Preprimaria",921
405,"Santa Apolonia","Primaria, 1-3",4448
405,"Santa Apolonia","Primaria, 4-5",2217
405,"Santa Apolonia","Primaria, 6",2589
405,"Santa Apolonia","Basico",1578
405,"Santa Apolonia","Diversificado",1152
405,"Santa Apolonia","Licenciatura",202
405,"Santa Apolonia","Maestria y doctorado",18
406,"Tecpán Guatemala","Ninguno",16995
406,"Tecpán Guatemala","Preprimaria",3288
406,"Tecpán Guatemala","Primaria, 1-3",20307
406,"Tecpán Guatemala","Primaria, 4-5",10765
406,"Tecpán Guatemala","Primaria, 6",13977
406,"Tecpán Guatemala","Basico",8367
406,"Tecpán Guatemala","Diversificado",7090
406,"Tecpán Guatemala","Licenciatura",1467
406,"Tecpán Guatemala","Maestria y doctorado",137
407,"Patzún","Ninguno",9181
407,"Patzún","Preprimaria",2014
407,"Patzún","Primaria, 1-3",12321
407,"Patzún","Primaria, 4-5",5942
407,"Patzún","Primaria, 6",9004
407,"Patzún","Basico",6594
407,"Patzún","Diversificado",6602
407,"Patzún","Licenciatura",1329
407,"Patzún","Maestria y doctorado",78
408,"San Miguel Pochuta","Ninguno",1753
408,"San Miguel Pochuta","Preprimaria",445
408,"San Miguel Pochuta","Primaria, 1-3",1612
408,"San Miguel Pochuta","Primaria, 4-5",742
408,"San Miguel Pochuta","Primaria, 6",1125
408,"San Miguel Pochuta","Basico",1201
408,"San Miguel Pochuta","Diversificado",1029
408,"San Miguel Pochuta","Licenciatura",132
408,"San Miguel Pochuta","Maestria y doctorado",3
409,"Patzicía","Ninguno",6037
409,"Patzicía","Preprimaria",1108
409,"Patzicía","Primaria, 1-3",6454
409,"Patzicía","Primaria, 4-5",3170
409,"Patzicía","Primaria, 6",5484
409,"Patzicía","Basico",3782
409,"Patzicía","Diversificado",3430
409,"Patzicía","Licenciatura",765
409,"Patzicía","Maestria y doctorado",49
410,"Santa Cruz Balanyá","Ninguno",1106
410,"Santa Cruz Balanyá","Preprimaria",339
410,"Santa Cruz Balanyá","Primaria, 1-3",1579
410,"Santa Cruz Balanyá","Primaria, 4-5",831
410,"Santa Cruz Balanyá","Primaria, 6",1295
410,"Santa Cruz Balanyá","Basico",1438
410,"Santa Cruz Balanyá","Diversificado",1638
410,"Santa Cruz Balanyá","Licenciatura",332
410,"Santa Cruz Balanyá","Maestria y doctorado",19
411,"Acatenango","Ninguno",4981
411,"Acatenango","Preprimaria",649
411,"Acatenango","Primaria, 1-3",5037
411,"Acatenango","Primaria, 4-5",1981
411,"Acatenango","Primaria, 6",2758
411,"Acatenango","Basico",2579
411,"Acatenango","Diversificado",2613
411,"Acatenango","Licenciatura",378
411,"Acatenango","Maestria y doctorado",29
412,"San Pedro Yepocapa","Ninguno",6626
412,"San Pedro Yepocapa","Preprimaria",1351
412,"San Pedro Yepocapa","Primaria, 1-3",8265
412,"San Pedro Yepocapa","Primaria, 4-5",3775
412,"San Pedro Yepocapa","Primaria, 6",3552
412,"San Pedro Yepocapa","Basico",5205
412,"San Pedro Yepocapa","Diversificado",2378
412,"San Pedro Yepocapa","Licenciatura",362
412,"San Pedro Yepocapa","Maestria y doctorado",17
413,"San Andrés Itzapa","Ninguno",6353
413,"San Andrés Itzapa","Preprimaria",1195
413,"San Andrés Itzapa","Primaria, 1-3",5779
413,"San Andrés Itzapa","Primaria, 4-5",2823
413,"San Andrés Itzapa","Primaria, 6",4758
413,"San Andrés Itzapa","Basico",3717
413,"San Andrés Itzapa","Diversificado",3591
413,"San Andrés Itzapa","Licenciatura",825
413,"San Andrés Itzapa","Maestria y doctorado",56
414,"Parramos","Ninguno",2383
414,"Parramos","Preprimaria",671
414,"Parramos","Primaria, 1-3",2850
414,"Parramos","Primaria, 4-5",1210
414,"Parramos","Primaria, 6",2137
414,"Parramos","Basico",2634
414,"Parramos","Diversificado",2355
414,"Parramos","Licenciatura",359
414,"Parramos","Maestria y doctorado",36
415,"Zaragoza","Ninguno",3328
415,"Zaragoza","Preprimaria",908
415,"Zaragoza","Primaria, 1-3",4002
415,"Zaragoza","Primaria, 4-5",2009
415,"Zaragoza","Primaria, 6",3711
415,"Zaragoza","Basico",3508
415,"Zaragoza","Diversificado",3537
415,"Zaragoza","Licenciatura",825
415,"Zaragoza","Maestria y doctorado",59
416,"El Tejar","Ninguno",1860
416,"El Tejar","Preprimaria",849
416,"El Tejar","Primaria, 1-3",2833
416,"El Tejar","Primaria, 4-5",1364
416,"El Tejar","Primaria, 6",3213
416,"El Tejar","Basico",3164
416,"El Tejar","Diversificado",3686
416,"El Tejar","Licenciatura",942
416,"El Tejar","Maestria y doctorado",59
501,"Escuintla","Ninguno",17801
501,"Escuintla","Preprimaria",6925
501,"Escuintla","Primaria, 1-3",22212
501,"Escuintla","Primaria, 4-5",10826
501,"Escuintla","Primaria, 6",21236
501,"Escuintla","Basico",27811
501,"Escuintla","Diversificado",29986
501,"Escuintla","Licenciatura",7371
501,"Escuintla","Maestria y doctorado",562
502,"Santa Lucía Cotzumalguapa","Ninguno",16254
502,"Santa Lucía Cotzumalguapa","Preprimaria",5286
502,"Santa Lucía Cotzumalguapa","Primaria, 1-3",19031
502,"Santa Lucía Cotzumalguapa","Primaria, 4-5",8568
502,"Santa Lucía Cotzumalguapa","Primaria, 6",16179
502,"Santa Lucía Cotzumalguapa","Basico",17137
502,"Santa Lucía Cotzumalguapa","Diversificado",16858
502,"Santa Lucía Cotzumalguapa","Licenciatura",3635
502,"Santa Lucía Cotzumalguapa","Maestria y doctorado",353
503,"La Democracia","Ninguno",3962
503,"La Democracia","Preprimaria",869
503,"La Democracia","Primaria, 1-3",3876
503,"La Democracia","Primaria, 4-5",1684
503,"La Democracia","Primaria, 6",3194
503,"La Democracia","Basico",3607
503,"La Democracia","Diversificado",3128
503,"La Democracia","Licenciatura",581
503,"La Democracia","Maestria y doctorado",44
504,"Siquinalá","Ninguno",3434
504,"Siquinalá","Preprimaria",1002
504,"Siquinalá","Primaria, 1-3",3623
504,"Siquinalá","Primaria, 4-5",1637
504,"Siquinalá","Primaria, 6",3323
504,"Siquinalá","Basico",3651
504,"Siquinalá","Diversificado",3427
504,"Siquinalá","Licenciatura",744
504,"Siquinalá","Maestria y doctorado",75
505,"Masagua","Ninguno",6951
505,"Masagua","Preprimaria",2391
505,"Masagua","Primaria, 1-3",7879
505,"Masagua","Primaria, 4-5",3713
505,"Masagua","Primaria, 6",6908
505,"Masagua","Basico",7199
505,"Masagua","Diversificado",5517
505,"Masagua","Licenciatura",554
505,"Masagua","Maestria y doctorado",108
506,"Tiquisate","Ninguno",9152
506,"Tiquisate","Preprimaria",2440
506,"Tiquisate","Primaria, 1-3",11413
506,"Tiquisate","Primaria, 4-5",5201
506,"Tiquisate","Primaria, 6",8401
506,"Tiquisate","Basico",7305
506,"Tiquisate","Diversificado",6991
506,"Tiquisate","Licenciatura",1097
506,"Tiquisate","Maestria y doctorado",142
507,"La Gomera","Ninguno",8162
507,"La Gomera","Preprimaria",1883
507,"La Gomera","Primaria, 1-3",8348
507,"La Gomera","Primaria, 4-5",3922
507,"La Gomera","Primaria, 6",7433
507,"La Gomera","Basico",6801
507,"La Gomera","Diversificado",4998
507,"La Gomera","Licenciatura",806
507,"La Gomera","Maestria y doctorado",63
508,"Guanagazapa","Ninguno",3025
508,"Guanagazapa","Preprimaria",752
508,"Guanagazapa","Primaria, 1-3",3052
508,"Guanagazapa","Primaria, 4-5",1355
508,"Guanagazapa","Primaria, 6",2474
508,"Guanagazapa","Basico",2036
508,"Guanagazapa","Diversificado",1620
508,"Guanagazapa","Licenciatura",161
508,"Guanagazapa","Maestria y doctorado",16
509,"San José","Ninguno",8634
509,"San José","Preprimaria",2579
509,"San José","Primaria, 1-3",10987
509,"San José","Primaria, 4-5",5181
509,"San José","Primaria, 6",9828
509,"San José","Basico",9527
509,"San José","Diversificado",9484
509,"San José","Licenciatura",1203
509,"San José","Maestria y doctorado",158
510,"Iztapa","Ninguno",2574
510,"Iztapa","Preprimaria",737
510,"Iztapa","Primaria, 1-3",3248
510,"Iztapa","Primaria, 4-5",1551
510,"Iztapa","Primaria, 6",2761
510,"Iztapa","Basico",2840
510,"Iztapa","Diversificado",2750
510,"Iztapa","Licenciatura",278
510,"Iztapa","Maestria y doctorado",40
511,"Palín","Ninguno",8379
511,"Palín","Preprimaria",2519
511,"Palín","Primaria, 1-3",10378
511,"Palín","Primaria, 4-5",5138
511,"Palín","Primaria, 6",9220
511,"Palín","Basico",12133
511,"Palín","Diversificado",9782
511,"Palín","Licenciatura",2740
511,"Palín","Maestria y doctorado",255
512,"San Vicente Pacaya","Ninguno",2241
512,"San Vicente Pacaya","Preprimaria",809
512,"San Vicente Pacaya","Primaria, 1-3",2759
512,"San Vicente Pacaya","Primaria, 4-5",1315
512,"San Vicente Pacaya","Primaria, 6",2850
512,"San Vicente Pacaya","Basico",2756
512,"San Vicente Pacaya","Diversificado",2165
512,"San Vicente Pacaya","Licenciatura",381
512,"San Vicente Pacaya","Maestria y doctorado",22
513,"Nueva Concepción","Ninguno",13437
513,"Nueva Concepción","Preprimaria",2861
513,"Nueva Concepción","Primaria, 1-3",14124
513,"Nueva Concepción","Primaria, 4-5",6567
513,"Nueva Concepción","Primaria, 6",11852
513,"Nueva Concepción","Basico",8751
513,"Nueva Concepción","Diversificado",7511
513,"Nueva Concepción","Licenciatura",981
513,"Nueva Concepción","Maestria y doctorado",94
514,"Sipacate","Ninguno",3228
514,"Sipacate","Preprimaria",554
514,"Sipacate","Primaria, 1-3",3351
514,"Sipacate","Primaria, 4-5",1500
514,"Sipacate","Primaria, 6",2232
514,"Sipacate","Basico",2366
514,"Sipacate","Diversificado",1349
514,"Sipacate","Licenciatura",206
514,"Sipacate","Maestria y doctorado",10
601,"Cuilapa","Ninguno",5645
601,"Cuilapa","Preprimaria",2091
601,"Cuilapa","Primaria, 1-3",7089
601,"Cuilapa","Primaria, 4-5",3358
601,"Cuilapa","Primaria, 6",6048
601,"Cuilapa","Basico",5902
601,"Cuilapa","Diversificado",6018
601,"Cuilapa","Licenciatura",1799
601,"Cuilapa","Maestria y doctorado",138
602,"Barberena","Ninguno",9377
602,"Barberena","Preprimaria",2278
602,"Barberena","Primaria, 1-3",10036
602,"Barberena","Primaria, 4-5",4701
602,"Barberena","Primaria, 6",9316
602,"Barberena","Basico",8542
602,"Barberena","Diversificado",7269
602,"Barberena","Licenciatura",1764
602,"Barberena","Maestria y doctorado",173
603,"Santa Rosa de Lima","Ninguno",3081
603,"Santa Rosa de Lima","Preprimaria",822
603,"Santa Rosa de Lima","Primaria, 1-3",4033
603,"Santa Rosa de Lima","Primaria, 4-5",1809
603,"Santa Rosa de Lima","Primaria, 6",3182
603,"Santa Rosa de Lima","Basico",2394
603,"Santa Rosa de Lima","Diversificado",2213
603,"Santa Rosa de Lima","Licenciatura",521
603,"Santa Rosa de Lima","Maestria y doctorado",31
604,"Casillas","Ninguno",5091
604,"Casillas","Preprimaria",1126
604,"Casillas","Primaria, 1-3",5366
604,"Casillas","Primaria, 4-5",2404
604,"Casillas","Primaria, 6",3826
604,"Casillas","Basico",2529
604,"Casillas","Diversificado",1941
604,"Casillas","Licenciatura",557
604,"Casillas","Maestria y doctorado",30
605,"San Rafael las Flores","Ninguno",2475
605,"San Rafael las Flores","Preprimaria",466
605,"San Rafael las Flores","Primaria, 1-3",2675
605,"San Rafael las Flores","Primaria, 4-5",1210
605,"San Rafael las Flores","Primaria, 6",1921
605,"San Rafael las Flores","Basico",1435
605,"San Rafael las Flores","Diversificado",1039
605,"San Rafael las Flores","Licenciatura",210
605,"San Rafael las Flores","Maestria y doctorado",11
606,"Oratorio","Ninguno",4347
606,"Oratorio","Preprimaria",1184
606,"Oratorio","Primaria, 1-3",4771
606,"Oratorio","Primaria, 4-5",2060
606,"Oratorio","Primaria, 6",3808
606,"Oratorio","Basico",2924
606,"Oratorio","Diversificado",3120
606,"Oratorio","Licenciatura",573
606,"Oratorio","Maestria y doctorado",54
607,"San Juan Tecuaco","Ninguno",1634
607,"San Juan Tecuaco","Preprimaria",333
607,"San Juan Tecuaco","Primaria, 1-3",1760
607,"San Juan Tecuaco","Primaria, 4-5",845
607,"San Juan Tecuaco","Primaria, 6",1575
607,"San Juan Tecuaco","Basico",1263
607,"San Juan Tecuaco","Diversificado",1414
607,"San Juan Tecuaco","Licenciatura",317
607,"San Juan Tecuaco","Maestria y doctorado",10
608,"Chiquimulilla","Ninguno",7383
608,"Chiquimulilla","Preprimaria",2739
608,"Chiquimulilla","Primaria, 1-3",9882
608,"Chiquimulilla","Primaria, 4-5",4691
608,"Chiquimulilla","Primaria, 6",7682
608,"Chiquimulilla","Basico",7300
608,"Chiquimulilla","Diversificado",7675
608,"Chiquimulilla","Licenciatura",1950
608,"Chiquimulilla","Maestria y doctorado",104
609,"Taxisco","Ninguno",4404
609,"Taxisco","Preprimaria",1248
609,"Taxisco","Primaria, 1-3",5735
609,"Taxisco","Primaria, 4-5",2729
609,"Taxisco","Primaria, 6",4614
609,"Taxisco","Basico",4239
609,"Taxisco","Diversificado",3794
609,"Taxisco","Licenciatura",486
609,"Taxisco","Maestria y doctorado",38
610,"Santa María Ixhuatán","Ninguno",4051
610,"Santa María Ixhuatán","Preprimaria",978
610,"Santa María Ixhuatán","Primaria, 1-3",4364
610,"Santa María Ixhuatán","Primaria, 4-5",1952
610,"Santa María Ixhuatán","Primaria, 6",3557
610,"Santa María Ixhuatán","Basico",3046
610,"Santa María Ixhuatán","Diversificado",3330
610,"Santa María Ixhuatán","Licenciatura",430
610,"Santa María Ixhuatán","Maestria y doctorado",34
611,"Guazacapán","Ninguno",2533
611,"Guazacapán","Preprimaria",811
611,"Guazacapán","Primaria, 1-3",3206
611,"Guazacapán","Primaria, 4-5",1333
611,"Guazacapán","Primaria, 6",2421
611,"Guazacapán","Basico",2304
611,"Guazacapán","Diversificado",3614
611,"Guazacapán","Licenciatura",970
611,"Guazacapán","Maestria y doctorado",48
612,"Santa Cruz Naranjo","Ninguno",2024
612,"Santa Cruz Naranjo","Preprimaria",770
612,"Santa Cruz Naranjo","Primaria, 1-3",2786
612,"Santa Cruz Naranjo","Primaria, 4-5",1240
612,"Santa Cruz Naranjo","Primaria, 6",2801
612,"Santa Cruz Naranjo","Basico",2281
612,"Santa Cruz Naranjo","Diversificado",2567
612,"Santa Cruz Naranjo","Licenciatura",548
612,"Santa Cruz Naranjo","Maestria y doctorado",51
613,"Pueblo Nuevo Viñas","Ninguno",5218
613,"Pueblo Nuevo Viñas","Preprimaria",788
613,"Pueblo Nuevo Viñas","Primaria, 1-3",4829
613,"Pueblo Nuevo Viñas","Primaria, 4-5",2156
613,"Pueblo Nuevo Viñas","Primaria, 6",3962
613,"Pueblo Nuevo Viñas","Basico",3690
613,"Pueblo Nuevo Viñas","Diversificado",2256
613,"Pueblo Nuevo Viñas","Licenciatura",381
613,"Pueblo Nuevo Viñas","Maestria y doctorado",44
614,"Nueva Santa Rosa","Ninguno",5643
614,"Nueva Santa Rosa","Preprimaria",1499
614,"Nueva Santa Rosa","Primaria, 1-3",8051
614,"Nueva Santa Rosa","Primaria, 4-5",3146
614,"Nueva Santa Rosa","Primaria, 6",5531
614,"Nueva Santa Rosa","Basico",4197
614,"Nueva Santa Rosa","Diversificado",4304
614,"Nueva Santa Rosa","Licenciatura",1007
614,"Nueva Santa Rosa","Maestria y doctorado",59
701,"Sololá","Ninguno",18014
701,"Sololá","Preprimaria",4312
701,"Sololá","Primaria, 1-3",16136
701,"Sololá","Primaria, 4-5",8401
701,"Sololá","Primaria, 6",14560
701,"Sololá","Basico",8062
701,"Sololá","Diversificado",9217
701,"Sololá","Licenciatura",2340
701,"Sololá","Maestria y doctorado",194
702,"San José Chacayá","Ninguno",749
702,"San José Chacayá","Preprimaria",180
702,"San José Chacayá","Primaria, 1-3",713
702,"San José Chacayá","Primaria, 4-5",366
702,"San José Chacayá","Primaria, 6",484
702,"San José Chacayá","Basico",522
