"Código","Municipio","Total de personas","Lugar de Residencia en 2013","Personas","Porcentaje de la Poblacion"
709,"San Andrés Semetabaj",13142,"En el mismo municipio",11351,86.37
710,"Panajachel",15077,"En el mismo municipio",12873,85.38
711,"Santa Catarina Palopó",3924,"En el mismo municipio",3391,86.42
712,"San Antonio Palopó",14437,"En el mismo municipio",12663,87.71
713,"San Lucas Tolimán",29772,"En el mismo municipio",26235,88.12
714,"Santa Cruz la Laguna",5820,"En el mismo municipio",5080,87.29
715,"San Pablo la Laguna",7299,"En el mismo municipio",6541,89.62
716,"San Marcos la Laguna",2617,"En el mismo municipio",2359,90.14
717,"San Juan la Laguna",12162,"En el mismo municipio",10513,86.44
718,"San Pedro la Laguna",10705,"En el mismo municipio",9521,88.94
719,"Santiago Atitlán",41877,"En el mismo municipio",37504,89.56
801,"Totonicapán",103952,"En el mismo municipio",93075,89.54
802,"San Cristóbal Totonicapán",36119,"En el mismo municipio",30437,84.27
803,"San Francisco el Alto",57894,"En el mismo municipio",48057,83.01
804,"San Andrés Xecul",26984,"En el mismo municipio",23449,86.9
805,"Momostenango",105617,"En el mismo municipio",89838,85.06
806,"Santa María Chiquimula",55013,"En el mismo municipio",46772,85.02
807,"Santa Lucía la Reforma",22378,"En el mismo municipio",18765,83.85
808,"San Bartolo Aguas Calientes",10612,"En el mismo municipio",8900,83.87
901,"Quetzaltenango",180706,"En el mismo municipio",154839,85.69
902,"Salcajá",19434,"En el mismo municipio",16883,86.87
903,"San Juan Olintepeque",35060,"En el mismo municipio",29236,83.39
904,"San Carlos Sija",30224,"En el mismo municipio",26408,87.37
905,"Sibilia",8407,"En el mismo municipio",7330,87.19
906,"Cabricán",23033,"En el mismo municipio",20335,88.29
907,"Cajolá",14948,"En el mismo municipio",12669,84.75
908,"San Miguel Siguilá",7889,"En el mismo municipio",6673,84.59
909,"San Juan Ostuncalco",51828,"En el mismo municipio",43597,84.12
910,"San Mateo",7895,"En el mismo municipio",6181,78.29
911,"Concepción Chiquirichapa",17342,"En el mismo municipio",15087,87
912,"San Martín Sacatepéquez",29373,"En el mismo municipio",25286,86.09
913,"Almolonga",15724,"En el mismo municipio",14255,90.66
914,"Cantel",42142,"En el mismo municipio",36075,85.6
915,"Huitán",13450,"En el mismo municipio",11264,83.75
916,"Zunil",14118,"En el mismo municipio",12708,90.01
917,"Colomba Costa Cuca",47544,"En el mismo municipio",41447,87.18
918,"San Francisco la Unión",7939,"En el mismo municipio",6995,88.11
919,"El Palmar",29132,"En el mismo municipio",24969,85.71
920,"Coatepeque",105415,"En el mismo municipio",90903,86.23
921,"Génova",37497,"En el mismo municipio",32376,86.34
922,"Flores Costa Cuca",21630,"En el mismo municipio",18795,86.89
923,"La Esperanza",22166,"En el mismo municipio",18387,82.95
924,"Palestina de los Altos",16205,"En el mismo municipio",13897,85.76
1001,"Mazatenango",77431,"En el mismo municipio",66721,86.17
1002,"Cuyotenango",33436,"En el mismo municipio",28381,84.88
1003,"San Francisco Zapotitlán",22533,"En el mismo municipio",19221,85.3
1004,"San Bernardino",15849,"En el mismo municipio",13432,84.75
1005,"San José el Ídolo",10212,"En el mismo municipio",8763,85.81
1006,"Santo Domingo Suchitepéquez",42291,"En el mismo municipio",36117,85.4
1007,"San Lorenzo",13282,"En el mismo municipio",11545,86.92
1008,"Samayac",24790,"En el mismo municipio",20209,81.52
1009,"San Pablo Jocopilas",20433,"En el mismo municipio",17648,86.37
1010,"San Antonio Suchitepéquez",59184,"En el mismo municipio",50837,85.9
1011,"San Miguel Panán",10320,"En el mismo municipio",8608,83.41
1012,"San Gabriel",7383,"En el mismo municipio",5650,76.53
1013,"Chicacao",60735,"En el mismo municipio",52124,85.82
1014,"Patulul",40683,"En el mismo municipio",34909,85.81
1015,"Santa Bárbara",26346,"En el mismo municipio",22192,84.23
1016,"San Juan Bautista",7826,"En el mismo municipio",6433,82.2
1017,"Santo Tomas la Unión",11698,"En el mismo municipio",10358,88.55
1018,"Zunilito",8280,"En el mismo municipio",7140,86.23
1019,"Pueblo Nuevo",11315,"En el mismo municipio",9858,87.12
1020,"Río Bravo",27606,"En el mismo municipio",22751,82.41
1021,"San José La Máquina",23062,"En el mismo municipio",19422,84.22
1101,"Retalhuleu",90505,"En el mismo municipio",78660,86.91
1102,"San Sebastián",29167,"En el mismo municipio",25205,86.42
1103,"Santa Cruz Muluá",13545,"En el mismo municipio",11548,85.26
1104,"San Martín Zapotitlán",12083,"En el mismo municipio",10009,82.84
1105,"San Felipe",24446,"En el mismo municipio",20489,83.81
1106,"San Andrés Villa Seca",47820,"En el mismo municipio",40297,84.27
1107,"Champerico",32815,"En el mismo municipio",27805,84.73
1108,"Nuevo San Carlos",39565,"En el mismo municipio",34187,86.41
1109,"El Asintal",36882,"En el mismo municipio",31865,86.4
1201,"San Marcos",47063,"En el mismo municipio",40378,85.8
1202,"San Pedro Sacatepéquez",79158,"En el mismo municipio",68938,87.09
1203,"San Antonio Sacatepéquez",19100,"En el mismo municipio",16339,85.54
1204,"Comitancillo",59489,"En el mismo municipio",49901,83.88
1205,"San Miguel Ixtahuacán",47301,"En el mismo municipio",39640,83.8
1206,"Concepción Tutuapa",68148,"En el mismo municipio",56276,82.58
1207,"Tacaná",75788,"En el mismo municipio",65253,86.1
1208,"Sibinal",15733,"En el mismo municipio",13554,86.15
1209,"Tajumulco",50907,"En el mismo municipio",42221,82.94
1210,"Tejutla",38669,"En el mismo municipio",32531,84.13
1211,"San Rafael Pie de la Cuesta",17139,"En el mismo municipio",14989,87.46
1212,"Nuevo Progreso",30067,"En el mismo municipio",25987,86.43
1213,"El Tumbador",44395,"En el mismo municipio",37986,85.56
1214,"San José el Rodeo",17881,"En el mismo municipio",15286,85.49
1215,"Malacatán",92816,"En el mismo municipio",80042,86.24
1216,"Catarina",30014,"En el mismo municipio",26113,87
1217,"Ayutla",37049,"En el mismo municipio",31483,84.98
1218,"Ocós",10841,"En el mismo municipio",9248,85.31
1219,"San Pablo",48937,"En el mismo municipio",42102,86.03
1220,"El Quetzal",23511,"En el mismo municipio",20149,85.7
1221,"La Reforma",17918,"En el mismo municipio",15577,86.93
1222,"Pajapita",21725,"En el mismo municipio",18529,85.29
1223,"Ixchiguán",22375,"En el mismo municipio",18584,83.06
1224,"San José Ojetenam",19009,"En el mismo municipio",16216,85.31
1225,"San Cristóbal Cucho",16619,"En el mismo municipio",14352,86.36
1226,"Sipacapa",20178,"En el mismo municipio",16917,83.84
1227,"Esquipulas Palo Gordo",12892,"En el mismo municipio",10982,85.18
1228,"Río Blanco",5318,"En el mismo municipio",4594,86.39
1229,"San Lorenzo",13125,"En el mismo municipio",11068,84.33
1230,"La Blanca",29112,"En el mismo municipio",24473,84.06
1301,"Huehuetenango",117818,"En el mismo municipio",101316,85.99
1302,"Chiantla",87447,"En el mismo municipio",75137,85.92
1303,"Malacatancito",19155,"En el mismo municipio",16237,84.77
1304,"Cuilco",60395,"En el mismo municipio",50362,83.39
1305,"Nentón",45679,"En el mismo municipio",37817,82.79
1306,"San Pedro Necta",38510,"En el mismo municipio",32865,85.34
1307,"Jacaltenango",37171,"En el mismo municipio",32284,86.85
1308,"San Pedro Soloma",49030,"En el mismo municipio",40396,82.39
1309,"San Ildefonso Ixtahuacán",44424,"En el mismo municipio",37064,83.43
1310,"Santa Bárbara",33608,"En el mismo municipio",27975,83.24
1311,"La Libertad",38234,"En el mismo municipio",32544,85.12
1312,"La Democracia",55434,"En el mismo municipio",46633,84.12
1313,"San Miguel Acatán",27128,"En el mismo municipio",22496,82.93
1314,"San Rafael La Independencia",14149,"En el mismo municipio",11648,82.32
1315,"Todos Santos Cuchumatán",30186,"En el mismo municipio",25706,85.16
1316,"San Juan Atitán",19418,"En el mismo municipio",16887,86.97
1317,"Santa Eulalia",39025,"En el mismo municipio",31736,81.32
1318,"San Mateo Ixtatán",43810,"En el mismo municipio",36495,83.3
1319,"Colotenango",34834,"En el mismo municipio",29110,83.57
1320,"San Sebastián Huehuetenango",32608,"En el mismo municipio",27827,85.34
1321,"Tectitán",10830,"En el mismo municipio",9129,84.29
1322,"Concepción Huista",18915,"En el mismo municipio",15984,84.5
1323,"San Juan Ixcoy",23204,"En el mismo municipio",19164,82.59
1324,"San Antonio Huista",16697,"En el mismo municipio",14181,84.93
1325,"San Sebastián Coatán",20905,"En el mismo municipio",17619,84.28
1326,"Santa Cruz Barillas",100849,"En el mismo municipio",84145,83.44
1327,"Aguacatán",49607,"En el mismo municipio",42757,86.19
1328,"San Rafael Petzal",11271,"En el mismo municipio",9728,86.31
1329,"San Gaspar Ixchil",8142,"En el mismo municipio",6762,83.05
1330,"Santiago Chimaltenango",10507,"En el mismo municipio",9208,87.64
1331,"Santa Ana Huista",9413,"En el mismo municipio",7965,84.62
1332,"Unión Cantinil",15900,"En el mismo municipio",13548,85.21
1333,"Petatán",6366,"En el mismo municipio",5119,80.41
1401,"Santa Cruz del Quiché",78279,"En el mismo municipio",66574,85.05
1402,"Chiché",29646,"En el mismo municipio",25312,85.38
1403,"Chinique",11382,"En el mismo municipio",9813,86.22
1404,"Zacualpa",32750,"En el mismo municipio",28090,85.77
1405,"Chajul",46658,"En el mismo municipio",40035,85.81
1406,"Santo Tomás Chichicastenango",141567,"En el mismo municipio",123343,87.13
1407,"Patzité",6144,"En el mismo municipio",5169,84.13
1408,"San Antonio Ilotenango",25590,"En el mismo municipio",21313,83.29
1409,"San Pedro Jocopilas",31950,"En el mismo municipio",26493,82.92
1410,"Cunén",41455,"En el mismo municipio",34621,83.51
1411,"San Juan Cotzal",31532,"En el mismo municipio",27146,86.09
1412,"Joyabaj",82369,"En el mismo municipio",68753,83.47
1413,"Santa María Nebaj",72686,"En el mismo municipio",63621,87.53
1414,"San Andrés Sajcabajá",24981,"En el mismo municipio",21628,86.58
1415,"San Miguel Uspantán",65872,"En el mismo municipio",55397,84.1
1416,"Sacapulas",52620,"En el mismo municipio",45339,86.16
1417,"San Bartolomé Jocotenango",13568,"En el mismo municipio",11520,84.91
1418,"Canillá",12172,"En el mismo municipio",10101,82.99
1419,"Chicamán",39731,"En el mismo municipio",33202,83.57
1420,"Playa Grande Ixcán",99470,"En el mismo municipio",82578,83.02
1421,"Pachalum",8839,"En el mismo municipio",7534,85.24
1501,"Salamá",65275,"En el mismo municipio",55790,85.47
1502,"San Miguel Chicaj",33121,"En el mismo municipio",28323,85.51
1503,"Rabinal",40797,"En el mismo municipio",35592,87.24
1504,"Cubulco",54869,"En el mismo municipio",47420,86.42
1505,"Granados",13595,"En el mismo municipio",11786,86.69
1506,"Santa Cruz El Chol",9538,"En el mismo municipio",8248,86.48
1507,"San Jerónimo",25459,"En el mismo municipio",21019,82.56
1508,"Purulhá",56822,"En el mismo municipio",46997,82.71
1601,"Cobán",212421,"En el mismo municipio",181171,85.29
1602,"Santa Cruz Verapaz",32042,"En el mismo municipio",26309,82.11
1603,"San Cristóbal Verapaz",68819,"En el mismo municipio",58245,84.64
1604,"Tactic",38052,"En el mismo municipio",32184,84.58
1605,"Tamahú",19984,"En el mismo municipio",17022,85.18
1606,"San Miguel Tucurú",43473,"En el mismo municipio",36162,83.18
1607,"Panzós",71846,"En el mismo municipio",59976,83.48
1608,"Senahú",91974,"En el mismo municipio",77771,84.56
1609,"San Pedro Carchá",235275,"En el mismo municipio",201092,85.47
1610,"San Juan Chamelco",57456,"En el mismo municipio",48696,84.75
1611,"San Agustín Lanquín",24099,"En el mismo municipio",20792,86.28
1612,"Santa María Cahabón",64911,"En el mismo municipio",55725,85.85
1613,"Chisec",84553,"En el mismo municipio",70138,82.95
1614,"Chahal",26644,"En el mismo municipio",22203,83.33
1615,"Fray Bartolomé de las Casas",66141,"En el mismo municipio",55559,84
1616,"Santa Catalina La Tinta",40516,"En el mismo municipio",34257,84.55
1617,"Raxruhá",36832,"En el mismo municipio",30874,83.82
1701,"Flores",38186,"En el mismo municipio",32923,86.22
1702,"San José",6989,"En el mismo municipio",5522,79.01
1703,"San Benito",43841,"En el mismo municipio",37646,85.87
1704,"San Andrés",32878,"En el mismo municipio",26125,79.46
1705,"La Libertad",71939,"En el mismo municipio",60545,84.16
1706,"San Francisco",15371,"En el mismo municipio",12495,81.29
1707,"Santa Ana",21970,"En el mismo municipio",17786,80.96
1708,"Dolores",26920,"En el mismo municipio",22114,82.15
1709,"San Luis",67038,"En el mismo municipio",57530,85.82
1710,"Sayaxché",93414,"En el mismo municipio",76892,82.31
1711,"Melchor de Mencos",28238,"En el mismo municipio",23464,83.09
1712,"Poptún",52282,"En el mismo municipio",43835,83.84
1713,"Las Cruces",32715,"En el mismo municipio",26975,82.45
1714,"El Chal",13819,"En el mismo municipio",11617,84.07
1801,"Puerto Barrios",100593,"En el mismo municipio",87667,87.15
1802,"Livingston",73492,"En el mismo municipio",61813,84.11
1803,"El Estor",73328,"En el mismo municipio",60739,82.83
1804,"Morales",100361,"En el mismo municipio",86421,86.11
1805,"Los Amates",60914,"En el mismo municipio",52359,85.96
1901,"Zacapa",60424,"En el mismo municipio",51745,85.64
1902,"Estanzuela",9797,"En el mismo municipio",8744,89.25
1903,"Río Hondo",21434,"En el mismo municipio",18697,87.23
1904,"Gualán",45663,"En el mismo municipio",39442,86.38
1905,"Teculután",17602,"En el mismo municipio",15417,87.59
1906,"Usumatlán",12232,"En el mismo municipio",10309,84.28
1907,"Cabañas",13641,"En el mismo municipio",11810,86.58
1908,"San Diego",7235,"En el mismo municipio",6136,84.81
1909,"La Unión",33572,"En el mismo municipio",28325,84.37
1910,"Huité",11470,"En el mismo municipio",9688,84.46
1911,"San Jorge",12304,"En el mismo municipio",10912,88.69
2001,"Chiquimula",111505,"En el mismo municipio",96779,86.79
2002,"San José la Arada",8756,"En el mismo municipio",7349,83.93
2003,"San Juan Ermita",16418,"En el mismo municipio",13881,84.55
2004,"Jocotán",66379,"En el mismo municipio",55238,83.22
2005,"Camotán",56138,"En el mismo municipio",46764,83.3
2006,"Olopa",27511,"En el mismo municipio",22919,83.31
2007,"Esquipulas",53556,"En el mismo municipio",45916,85.73
2008,"Concepción las Minas",11693,"En el mismo municipio",10350,88.51
2009,"Quezaltepeque",28075,"En el mismo municipio",24494,87.24
2010,"San Jacinto",12619,"En el mismo municipio",11022,87.34
2011,"Ipala",22413,"En el mismo municipio",19572,87.32
2101,"Jalapa",159840,"En el mismo municipio",136204,85.21
2102,"San Pedro Pinula",61908,"En el mismo municipio",52491,84.79
2103,"San Luis Jilotepeque",24679,"En el mismo municipio",21642,87.69
2104,"San Manuel Chaparrón",8317,"En el mismo municipio",7251,87.18
2105,"San Carlos Alzatate",18977,"En el mismo municipio",16128,84.99
2106,"Monjas",27354,"En el mismo municipio",23477,85.83
2107,"Mataquescuintla",41848,"En el mismo municipio",36158,86.4
2201,"Jutiapa",145880,"En el mismo municipio",127117,87.14
2202,"El Progreso",22114,"En el mismo municipio",19234,86.98
2203,"Santa Catarina Mita",28983,"En el mismo municipio",24981,86.19
2204,"Agua Blanca",16353,"En el mismo municipio",14395,88.03
2205,"Asunción Mita",48297,"En el mismo municipio",42039,87.04
2206,"Yupiltepeque",17389,"En el mismo municipio",15097,86.82
2207,"Atescatempa",18402,"En el mismo municipio",16247,88.29
2208,"Jerez",6309,"En el mismo municipio",5455,86.46
2209,"El Adelanto",6500,"En el mismo municipio",5571,85.71
2210,"Zapotitlán",9126,"En el mismo municipio",7961,87.23
2211,"Comapa",32207,"En el mismo municipio",27793,86.29
2212,"Jalpatagua",28832,"En el mismo municipio",24780,85.95
2213,"Conguaco",23452,"En el mismo municipio",19664,83.85
2214,"Moyuta",39781,"En el mismo municipio",34478,86.67
2215,"Pasaco",8854,"En el mismo municipio",7537,85.13
2216,"San José Acatempa",13206,"En el mismo municipio",11806,89.4
2217,"Quesada",22710,"En el mismo municipio",19865,87.47
101,"Guatemala",923392,"En otro municipio",19875,2.15
102,"Santa Catarina Pinula",80582,"En otro municipio",4832,6
103,"San José Pinula",79844,"En otro municipio",8624,10.8
104,"San José del Golfo",7229,"En otro municipio",439,6.07
105,"Palencia",70973,"En otro municipio",3063,4.32
106,"Chinautla",114752,"En otro municipio",5072,4.42
107,"San Pedro Ayampuc",58609,"En otro municipio",1476,2.52
108,"Mixco",465773,"En otro municipio",22081,4.74
109,"San Pedro Sacatepéquez",51292,"En otro municipio",2781,5.42
110,"San Juan Sacatepéquez",218156,"En otro municipio",5965,2.73
111,"San Raymundo",31605,"En otro municipio",1271,4.02
112,"Chuarrancho",12638,"En otro municipio",357,2.82
113,"Fraijanes",58922,"En otro municipio",6938,11.77
114,"Amatitlán",116711,"En otro municipio",3646,3.12
115,"Villa Nueva",433734,"En otro municipio",19561,4.51
116,"Villa Canales",155422,"En otro municipio",4830,3.11
117,"San Miguel Petapa",135447,"En otro municipio",7646,5.65
201,"Guastatoya",24821,"En otro municipio",1115,4.49
202,"Morazán",12164,"En otro municipio",176,1.45
203,"San Agustín Acasaguastlán",45765,"En otro municipio",649,1.42
204,"San Cristóbal Acasaguastlán",7199,"En otro municipio",178,2.47
205,"El Jícaro",13128,"En otro municipio",143,1.09
206,"Sansare",13154,"En otro municipio",263,2
207,"Sanarate",39444,"En otro municipio",739,1.87
208,"San Antonio la Paz",20957,"En otro municipio",774,3.69
301,"Antigua Guatemala",46054,"En otro municipio",1365,2.96
302,"Jocotenango",21657,"En otro municipio",924,4.27
303,"Pastores",17814,"En otro municipio",567,3.18
304,"Sumpango",37260,"En otro municipio",661,1.77
305,"Santo Domingo Xenacoj",12402,"En otro municipio",509,4.1
306,"Santiago Sacatepéquez",29238,"En otro municipio",1364,4.67
307,"San Bartolomé Milpas Altas",7816,"En otro municipio",978,12.51
308,"San Lucas Sacatepéquez",23369,"En otro municipio",1873,8.01
309,"Santa Lucía Milpas Altas",15570,"En otro municipio",1102,7.08
310,"Magdalena Milpas Altas",11856,"En otro municipio",258,2.18
311,"Santa María de Jesús",21938,"En otro municipio",281,1.28
312,"Ciudad Vieja",33405,"En otro municipio",1159,3.47
313,"San Miguel Dueñas",12696,"En otro municipio",560,4.41
314,"San Juan Alotenango",23986,"En otro municipio",327,1.36
315,"San Antonio Aguas Calientes",11347,"En otro municipio",438,3.86
316,"Santa Catarina Barahona",4061,"En otro municipio",285,7.02
401,"Chimaltenango",96985,"En otro municipio",3120,3.22
402,"San José Poaquil",26845,"En otro municipio",192,0.72
403,"San Martín Jilotepeque",73469,"En otro municipio",342,0.47
404,"San Juan Comalapa",48597,"En otro municipio",467,0.96
405,"Santa Apolonia",18540,"En otro municipio",257,1.39
406,"Tecpán Guatemala",91927,"En otro municipio",810,0.88
407,"Patzún",58240,"En otro municipio",421,0.72
408,"San Miguel Pochuta",8790,"En otro municipio",138,1.57
409,"Patzicía",33207,"En otro municipio",530,1.6
410,"Santa Cruz Balanyá",9479,"En otro municipio",414,4.37
411,"Acatenango",23228,"En otro municipio",277,1.19
412,"San Pedro Yepocapa",34948,"En otro municipio",528,1.51
413,"San Andrés Itzapa",32083,"En otro municipio",970,3.02
414,"Parramos",15924,"En otro municipio",459,2.88
415,"Zaragoza",24022,"En otro municipio",865,3.6
416,"El Tejar",19492,"En otro municipio",804,4.12
501,"Escuintla",156313,"En otro municipio",3675,2.35
502,"Santa Lucía Cotzumalguapa",112780,"En otro municipio",1241,1.1
503,"La Democracia",23017,"En otro municipio",967,4.2
504,"Siquinalá",22968,"En otro municipio",823,3.58
505,"Masagua",45323,"En otro municipio",1323,2.92
506,"Tiquisate",57292,"En otro municipio",1254,2.19
507,"La Gomera",46666,"En otro municipio",1038,2.22
508,"Guanagazapa",15958,"En otro municipio",489,3.06
509,"San José",62801,"En otro municipio",1351,2.15
510,"Iztapa",18342,"En otro municipio",374,2.04
511,"Palín",65873,"En otro municipio",4687,7.12
512,"San Vicente Pacaya",16705,"En otro municipio",462,2.77
513,"Nueva Concepción",72909,"En otro municipio",1202,1.65
514,"Sipacate",16234,"En otro municipio",464,2.86
601,"Cuilapa",41359,"En otro municipio",1052,2.54
602,"Barberena",58276,"En otro municipio",2130,3.66
603,"Santa Rosa de Lima",19702,"En otro municipio",1116,5.66
604,"Casillas",24956,"En otro municipio",453,1.82
605,"San Rafael las Flores",12641,"En otro municipio",618,4.89
606,"Oratorio",24954,"En otro municipio",991,3.97
607,"San Juan Tecuaco",10122,"En otro municipio",317,3.13
608,"Chiquimulilla",53727,"En otro municipio",1191,2.22
609,"Taxisco",29846,"En otro municipio",1116,3.74
610,"Santa María Ixhuatán",23801,"En otro municipio",521,2.19
611,"Guazacapán",18855,"En otro municipio",563,2.99
612,"Santa Cruz Naranjo",16385,"En otro municipio",897,5.47
613,"Pueblo Nuevo Viñas",25529,"En otro municipio",562,2.2
614,"Nueva Santa Rosa",36454,"En otro municipio",1097,3.01
701,"Sololá",88612,"En otro municipio",440,0.5
702,"San José Chacayá",4068,"En otro municipio",110,2.7
703,"Santa María Visitación",2370,"En otro municipio",56,2.36
704,"Santa Lucía Utatlán",21284,"En otro municipio",255,1.2
705,"Nahualá",75430,"En otro municipio",141,0.19
706,"Santa Catarina Ixtahuacán",56981,"En otro municipio",327,0.57
707,"Santa Clara la Laguna",9405,"En otro municipio",141,1.5
708,"Concepción",6601,"En otro municipio",80,1.21
709,"San Andrés Semetabaj",13142,"En otro municipio",219,1.67
710,"Panajachel",15077,"En otro municipio",676,4.48
711,"Santa Catarina Palopó",3924,"En otro municipio",40,1.02
712,"San Antonio Palopó",14437,"En otro municipio",133,0.92
713,"San Lucas Tolimán",29772,"En otro municipio",313,1.05
714,"Santa Cruz la Laguna",5820,"En otro municipio",17,0.29
715,"San Pablo la Laguna",7299,"En otro municipio",16,0.22
716,"San Marcos la Laguna",2617,"En otro municipio",11,0.42
717,"San Juan la Laguna",12162,"En otro municipio",272,2.24
718,"San Pedro la Laguna",10705,"En otro municipio",200,1.87
719,"Santiago Atitlán",41877,"En otro municipio",305,0.73
801,"Totonicapán",103952,"En otro municipio",650,0.63
802,"San Cristóbal Totonicapán",36119,"En otro municipio",576,1.59
803,"San Francisco el Alto",57894,"En otro municipio",338,0.58
804,"San Andrés Xecul",26984,"En otro municipio",246,0.91
805,"Momostenango",105617,"En otro municipio",656,0.62
806,"Santa María Chiquimula",55013,"En otro municipio",377,0.69
807,"Santa Lucía la Reforma",22378,"En otro municipio",113,0.5
808,"San Bartolo Aguas Calientes",10612,"En otro municipio",174,1.64
901,"Quetzaltenango",180706,"En otro municipio",7533,4.17
902,"Salcajá",19434,"En otro municipio",731,3.76
903,"San Juan Olintepeque",35060,"En otro municipio",1930,5.5
904,"San Carlos Sija",30224,"En otro municipio",411,1.36
905,"Sibilia",8407,"En otro municipio",82,0.98
906,"Cabricán",23033,"En otro municipio",82,0.36
907,"Cajolá",14948,"En otro municipio",65,0.43
908,"San Miguel Siguilá",7889,"En otro municipio",130,1.65
909,"San Juan Ostuncalco",51828,"En otro municipio",470,0.91
910,"San Mateo",7895,"En otro municipio",748,9.47
911,"Concepción Chiquirichapa",17342,"En otro municipio",75,0.43
912,"San Martín Sacatepéquez",29373,"En otro municipio",216,0.74
913,"Almolonga",15724,"En otro municipio",82,0.52
914,"Cantel",42142,"En otro municipio",1660,3.94
915,"Huitán",13450,"En otro municipio",243,1.81
916,"Zunil",14118,"En otro municipio",115,0.81
917,"Colomba Costa Cuca",47544,"En otro municipio",470,0.99
918,"San Francisco la Unión",7939,"En otro municipio",65,0.82
919,"El Palmar",29132,"En otro municipio",600,2.06
920,"Coatepeque",105415,"En otro municipio",1708,1.62
921,"Génova",37497,"En otro municipio",360,0.96
922,"Flores Costa Cuca",21630,"En otro municipio",372,1.72
923,"La Esperanza",22166,"En otro municipio",1237,5.58
924,"Palestina de los Altos",16205,"En otro municipio",106,0.65
1001,"Mazatenango",77431,"En otro municipio",1899,2.45
1002,"Cuyotenango",33436,"En otro municipio",973,2.91
1003,"San Francisco Zapotitlán",22533,"En otro municipio",868,3.85
1004,"San Bernardino",15849,"En otro municipio",441,2.78
1005,"San José el Ídolo",10212,"En otro municipio",91,0.89
1006,"Santo Domingo Suchitepéquez",42291,"En otro municipio",736,1.74
1007,"San Lorenzo",13282,"En otro municipio",181,1.36
1008,"Samayac",24790,"En otro municipio",1683,6.79
1009,"San Pablo Jocopilas",20433,"En otro municipio",526,2.57
1010,"San Antonio Suchitepéquez",59184,"En otro municipio",776,1.31
1011,"San Miguel Panán",10320,"En otro municipio",289,2.8
1012,"San Gabriel",7383,"En otro municipio",857,11.61
1013,"Chicacao",60735,"En otro municipio",622,1.02
1014,"Patulul",40683,"En otro municipio",867,2.13
1015,"Santa Bárbara",26346,"En otro municipio",667,2.53
1016,"San Juan Bautista",7826,"En otro municipio",350,4.47
1017,"Santo Tomas la Unión",11698,"En otro municipio",187,1.6
1018,"Zunilito",8280,"En otro municipio",199,2.4
1019,"Pueblo Nuevo",11315,"En otro municipio",152,1.34
1020,"Río Bravo",27606,"En otro municipio",1155,4.18
1021,"San José La Máquina",23062,"En otro municipio",614,2.66
1101,"Retalhuleu",90505,"En otro municipio",1342,1.48
1102,"San Sebastián",29167,"En otro municipio",522,1.79
1103,"Santa Cruz Muluá",13545,"En otro municipio",286,2.11
1104,"San Martín Zapotitlán",12083,"En otro municipio",724,5.99
1105,"San Felipe",24446,"En otro municipio",1060,4.34
1106,"San Andrés Villa Seca",47820,"En otro municipio",919,1.92
1107,"Champerico",32815,"En otro municipio",654,1.99
1108,"Nuevo San Carlos",39565,"En otro municipio",729,1.84
1109,"El Asintal",36882,"En otro municipio",613,1.66
1201,"San Marcos",47063,"En otro municipio",1211,2.57
1202,"San Pedro Sacatepéquez",79158,"En otro municipio",1422,1.8
1203,"San Antonio Sacatepéquez",19100,"En otro municipio",317,1.66
1204,"Comitancillo",59489,"En otro municipio",195,0.33
1205,"San Miguel Ixtahuacán",47301,"En otro municipio",176,0.37
1206,"Concepción Tutuapa",68148,"En otro municipio",256,0.38
1207,"Tacaná",75788,"En otro municipio",123,0.16
1208,"Sibinal",15733,"En otro municipio",64,0.41
1209,"Tajumulco",50907,"En otro municipio",103,0.2
1210,"Tejutla",38669,"En otro municipio",489,1.26
1211,"San Rafael Pie de la Cuesta",17139,"En otro municipio",240,1.4
1212,"Nuevo Progreso",30067,"En otro municipio",401,1.33
1213,"El Tumbador",44395,"En otro municipio",683,1.54
1214,"San José el Rodeo",17881,"En otro municipio",391,2.19
1215,"Malacatán",92816,"En otro municipio",376,0.41
1216,"Catarina",30014,"En otro municipio",472,1.57
1217,"Ayutla",37049,"En otro municipio",782,2.11
1218,"Ocós",10841,"En otro municipio",257,2.37
1219,"San Pablo",48937,"En otro municipio",806,1.65
1220,"El Quetzal",23511,"En otro municipio",213,0.91
1221,"La Reforma",17918,"En otro municipio",193,1.08
1222,"Pajapita",21725,"En otro municipio",639,2.94
1223,"Ixchiguán",22375,"En otro municipio",170,0.76
1224,"San José Ojetenam",19009,"En otro municipio",98,0.52
1225,"San Cristóbal Cucho",16619,"En otro municipio",90,0.54
1226,"Sipacapa",20178,"En otro municipio",125,0.62
1227,"Esquipulas Palo Gordo",12892,"En otro municipio",315,2.44
1228,"Río Blanco",5318,"En otro municipio",53,1
1229,"San Lorenzo",13125,"En otro municipio",300,2.29
1230,"La Blanca",29112,"En otro municipio",672,2.31
1301,"Huehuetenango",117818,"En otro municipio",4098,3.48
1302,"Chiantla",87447,"En otro municipio",585,0.67
1303,"Malacatancito",19155,"En otro municipio",603,3.15
1304,"Cuilco",60395,"En otro municipio",692,1.15
1305,"Nentón",45679,"En otro municipio",660,1.44
1306,"San Pedro Necta",38510,"En otro municipio",328,0.85
1307,"Jacaltenango",37171,"En otro municipio",464,1.25
1308,"San Pedro Soloma",49030,"En otro municipio",448,0.91
