"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
1020,"Río Bravo",27606,"En otro municipio",9476,34.33
1021,"San José La Máquina",23062,"En otro municipio",4843,21
1101,"Retalhuleu",90505,"En otro municipio",10957,12.11
1102,"San Sebastián",29167,"En otro municipio",2901,9.95
1103,"Santa Cruz Muluá",13545,"En otro municipio",3195,23.59
1104,"San Martín Zapotitlán",12083,"En otro municipio",4364,36.12
1105,"San Felipe",24446,"En otro municipio",4239,17.34
1106,"San Andrés Villa Seca",47820,"En otro municipio",9403,19.66
1107,"Champerico",32815,"En otro municipio",9897,30.16
1108,"Nuevo San Carlos",39565,"En otro municipio",4123,10.42
1109,"El Asintal",36882,"En otro municipio",4701,12.75
1201,"San Marcos",47063,"En otro municipio",8519,18.1
1202,"San Pedro Sacatepéquez",79158,"En otro municipio",8738,11.04
1203,"San Antonio Sacatepéquez",19100,"En otro municipio",1960,10.26
1204,"Comitancillo",59489,"En otro municipio",882,1.48
1205,"San Miguel Ixtahuacán",47301,"En otro municipio",1126,2.38
1206,"Concepción Tutuapa",68148,"En otro municipio",1359,1.99
1207,"Tacaná",75788,"En otro municipio",607,0.8
1208,"Sibinal",15733,"En otro municipio",607,3.86
1209,"Tajumulco",50907,"En otro municipio",614,1.21
1210,"Tejutla",38669,"En otro municipio",4304,11.13
1211,"San Rafael Pie de la Cuesta",17139,"En otro municipio",2014,11.75
1212,"Nuevo Progreso",30067,"En otro municipio",3118,10.37
1213,"El Tumbador",44395,"En otro municipio",3794,8.55
1214,"San José el Rodeo",17881,"En otro municipio",2594,14.51
1215,"Malacatán",92816,"En otro municipio",3436,3.7
1216,"Catarina",30014,"En otro municipio",3786,12.61
1217,"Ayutla",37049,"En otro municipio",7616,20.56
1218,"Ocós",10841,"En otro municipio",1600,14.76
1219,"San Pablo",48937,"En otro municipio",5609,11.46
1220,"El Quetzal",23511,"En otro municipio",2567,10.92
1221,"La Reforma",17918,"En otro municipio",1446,8.07
1222,"Pajapita",21725,"En otro municipio",5697,26.22
1223,"Ixchiguán",22375,"En otro municipio",1021,4.56
1224,"San José Ojetenam",19009,"En otro municipio",358,1.88
1225,"San Cristóbal Cucho",16619,"En otro municipio",420,2.53
1226,"Sipacapa",20178,"En otro municipio",1283,6.36
1227,"Esquipulas Palo Gordo",12892,"En otro municipio",1829,14.19
1228,"Río Blanco",5318,"En otro municipio",355,6.68
1229,"San Lorenzo",13125,"En otro municipio",1299,9.9
1230,"La Blanca",29112,"En otro municipio",6602,22.68
1301,"Huehuetenango",117818,"En otro municipio",23714,20.13
1302,"Chiantla",87447,"En otro municipio",4730,5.41
1303,"Malacatancito",19155,"En otro municipio",2972,15.52
1304,"Cuilco",60395,"En otro municipio",4854,8.04
1305,"Nentón",45679,"En otro municipio",5857,12.82
1306,"San Pedro Necta",38510,"En otro municipio",1405,3.65
1307,"Jacaltenango",37171,"En otro municipio",1937,5.21
1308,"San Pedro Soloma",49030,"En otro municipio",1462,2.98
1309,"San Ildefonso Ixtahuacán",44424,"En otro municipio",1253,2.82
