"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
707,"Santa Clara la Laguna",9405,"En otro paÍs",10,0.11
708,"Concepción",6601,"En otro paÍs",8,0.12
709,"San Andrés Semetabaj",13142,"En otro paÍs",36,0.27
710,"Panajachel",15077,"En otro paÍs",245,1.62
711,"Santa Catarina Palopó",3924,"En otro paÍs",8,0.2
712,"San Antonio Palopó",14437,"En otro paÍs",16,0.11
713,"San Lucas Tolimán",29772,"En otro paÍs",40,0.13
714,"Santa Cruz la Laguna",5820,"En otro paÍs",17,0.29
715,"San Pablo la Laguna",7299,"En otro paÍs",7,0.1
716,"San Marcos la Laguna",2617,"En otro paÍs",38,1.45
717,"San Juan la Laguna",12162,"En otro paÍs",6,0.05
718,"San Pedro la Laguna",10705,"En otro paÍs",70,0.65
719,"Santiago Atitlán",41877,"En otro paÍs",52,0.12
801,"Totonicapán",103952,"En otro paÍs",133,0.13
802,"San Cristóbal Totonicapán",36119,"En otro paÍs",51,0.14
803,"San Francisco el Alto",57894,"En otro paÍs",53,0.09
804,"San Andrés Xecul",26984,"En otro paÍs",22,0.08
805,"Momostenango",105617,"En otro paÍs",80,0.08
806,"Santa María Chiquimula",55013,"En otro paÍs",12,0.02
807,"Santa Lucía la Reforma",22378,"En otro paÍs",2,0.01
808,"San Bartolo Aguas Calientes",10612,"En otro paÍs",26,0.25
901,"Quetzaltenango",180706,"En otro paÍs",1489,0.82
902,"Salcajá",19434,"En otro paÍs",101,0.52
903,"San Juan Olintepeque",35060,"En otro paÍs",221,0.63
904,"San Carlos Sija",30224,"En otro paÍs",63,0.21
905,"Sibilia",8407,"En otro paÍs",56,0.67
906,"Cabricán",23033,"En otro paÍs",25,0.11
907,"Cajolá",14948,"En otro paÍs",128,0.86
908,"San Miguel Siguilá",7889,"En otro paÍs",13,0.16
909,"San Juan Ostuncalco",51828,"En otro paÍs",79,0.15
910,"San Mateo",7895,"En otro paÍs",67,0.85
911,"Concepción Chiquirichapa",17342,"En otro paÍs",54,0.31
912,"San Martín Sacatepéquez",29373,"En otro paÍs",52,0.18
913,"Almolonga",15724,"En otro paÍs",17,0.11
914,"Cantel",42142,"En otro paÍs",104,0.25
915,"Huitán",13450,"En otro paÍs",18,0.13
916,"Zunil",14118,"En otro paÍs",13,0.09
917,"Colomba Costa Cuca",47544,"En otro paÍs",74,0.16
918,"San Francisco la Unión",7939,"En otro paÍs",17,0.21
919,"El Palmar",29132,"En otro paÍs",55,0.19
920,"Coatepeque",105415,"En otro paÍs",512,0.49
921,"Génova",37497,"En otro paÍs",87,0.23
922,"Flores Costa Cuca",21630,"En otro paÍs",84,0.39
923,"La Esperanza",22166,"En otro paÍs",190,0.86
924,"Palestina de los Altos",16205,"En otro paÍs",49,0.3
1001,"Mazatenango",77431,"En otro paÍs",436,0.56
1002,"Cuyotenango",33436,"En otro paÍs",97,0.29
1003,"San Francisco Zapotitlán",22533,"En otro paÍs",58,0.26
1004,"San Bernardino",15849,"En otro paÍs",54,0.34
1005,"San José el Ídolo",10212,"En otro paÍs",19,0.19
1006,"Santo Domingo Suchitepéquez",42291,"En otro paÍs",238,0.56
1007,"San Lorenzo",13282,"En otro paÍs",11,0.08
1008,"Samayac",24790,"En otro paÍs",58,0.23
1009,"San Pablo Jocopilas",20433,"En otro paÍs",33,0.16
1010,"San Antonio Suchitepéquez",59184,"En otro paÍs",149,0.25
1011,"San Miguel Panán",10320,"En otro paÍs",6,0.06
1012,"San Gabriel",7383,"En otro paÍs",48,0.65
1013,"Chicacao",60735,"En otro paÍs",29,0.05
1014,"Patulul",40683,"En otro paÍs",108,0.27
1015,"Santa Bárbara",26346,"En otro paÍs",23,0.09
1016,"San Juan Bautista",7826,"En otro paÍs",19,0.24
1017,"Santo Tomas la Unión",11698,"En otro paÍs",32,0.27
1018,"Zunilito",8280,"En otro paÍs",14,0.17
1019,"Pueblo Nuevo",11315,"En otro paÍs",23,0.2
1020,"Río Bravo",27606,"En otro paÍs",56,0.2
1021,"San José La Máquina",23062,"En otro paÍs",130,0.56
1101,"Retalhuleu",90505,"En otro paÍs",353,0.39
1102,"San Sebastián",29167,"En otro paÍs",59,0.2
1103,"Santa Cruz Muluá",13545,"En otro paÍs",36,0.27
1104,"San Martín Zapotitlán",12083,"En otro paÍs",29,0.24
1105,"San Felipe",24446,"En otro paÍs",70,0.29
1106,"San Andrés Villa Seca",47820,"En otro paÍs",139,0.29
1107,"Champerico",32815,"En otro paÍs",108,0.33
1108,"Nuevo San Carlos",39565,"En otro paÍs",83,0.21
1109,"El Asintal",36882,"En otro paÍs",53,0.14
1201,"San Marcos",47063,"En otro paÍs",257,0.55
1202,"San Pedro Sacatepéquez",79158,"En otro paÍs",281,0.35
1203,"San Antonio Sacatepéquez",19100,"En otro paÍs",27,0.14
1204,"Comitancillo",59489,"En otro paÍs",34,0.06
1205,"San Miguel Ixtahuacán",47301,"En otro paÍs",45,0.1
1206,"Concepción Tutuapa",68148,"En otro paÍs",202,0.3
1207,"Tacaná",75788,"En otro paÍs",186,0.25
1208,"Sibinal",15733,"En otro paÍs",102,0.65
1209,"Tajumulco",50907,"En otro paÍs",43,0.08
1210,"Tejutla",38669,"En otro paÍs",62,0.16
1211,"San Rafael Pie de la Cuesta",17139,"En otro paÍs",38,0.22
1212,"Nuevo Progreso",30067,"En otro paÍs",129,0.43
1213,"El Tumbador",44395,"En otro paÍs",68,0.15
1214,"San José el Rodeo",17881,"En otro paÍs",67,0.37
1215,"Malacatán",92816,"En otro paÍs",229,0.25
1216,"Catarina",30014,"En otro paÍs",178,0.59
1217,"Ayutla",37049,"En otro paÍs",545,1.47
1218,"Ocós",10841,"En otro paÍs",80,0.74
1219,"San Pablo",48937,"En otro paÍs",171,0.35
1220,"El Quetzal",23511,"En otro paÍs",55,0.23
1221,"La Reforma",17918,"En otro paÍs",23,0.13
1222,"Pajapita",21725,"En otro paÍs",164,0.75
1223,"Ixchiguán",22375,"En otro paÍs",136,0.61
1224,"San José Ojetenam",19009,"En otro paÍs",74,0.39
1225,"San Cristóbal Cucho",16619,"En otro paÍs",53,0.32
1226,"Sipacapa",20178,"En otro paÍs",26,0.13
1227,"Esquipulas Palo Gordo",12892,"En otro paÍs",25,0.19
1228,"Río Blanco",5318,"En otro paÍs",11,0.21
1229,"San Lorenzo",13125,"En otro paÍs",39,0.3
1230,"La Blanca",29112,"En otro paÍs",211,0.72
1301,"Huehuetenango",117818,"En otro paÍs",680,0.58
1302,"Chiantla",87447,"En otro paÍs",100,0.11
1303,"Malacatancito",19155,"En otro paÍs",31,0.16
1304,"Cuilco",60395,"En otro paÍs",359,0.59
1305,"Nentón",45679,"En otro paÍs",708,1.55
1306,"San Pedro Necta",38510,"En otro paÍs",51,0.13
1307,"Jacaltenango",37171,"En otro paÍs",173,0.47
1308,"San Pedro Soloma",49030,"En otro paÍs",163,0.33
1309,"San Ildefonso Ixtahuacán",44424,"En otro paÍs",67,0.15
1310,"Santa Bárbara",33608,"En otro paÍs",22,0.07
1311,"La Libertad",38234,"En otro paÍs",64,0.17
1312,"La Democracia",55434,"En otro paÍs",463,0.84
1313,"San Miguel Acatán",27128,"En otro paÍs",113,0.42
1314,"San Rafael La Independencia",14149,"En otro paÍs",57,0.4
1315,"Todos Santos Cuchumatán",30186,"En otro paÍs",65,0.22
1316,"San Juan Atitán",19418,"En otro paÍs",2,0.01
1317,"Santa Eulalia",39025,"En otro paÍs",13,0.03
1318,"San Mateo Ixtatán",43810,"En otro paÍs",51,0.12
1319,"Colotenango",34834,"En otro paÍs",44,0.13
1320,"San Sebastián Huehuetenango",32608,"En otro paÍs",11,0.03
1321,"Tectitán",10830,"En otro paÍs",40,0.37
1322,"Concepción Huista",18915,"En otro paÍs",16,0.08
1323,"San Juan Ixcoy",23204,"En otro paÍs",63,0.27
1324,"San Antonio Huista",16697,"En otro paÍs",105,0.63
1325,"San Sebastián Coatán",20905,"En otro paÍs",56,0.27
1326,"Santa Cruz Barillas",100849,"En otro paÍs",648,0.64
1327,"Aguacatán",49607,"En otro paÍs",56,0.11
1328,"San Rafael Petzal",11271,"En otro paÍs",11,0.1
1329,"San Gaspar Ixchil",8142,"En otro paÍs",15,0.18
1330,"Santiago Chimaltenango",10507,"En otro paÍs",3,0.03
1331,"Santa Ana Huista",9413,"En otro paÍs",339,3.6
1332,"Unión Cantinil",15900,"En otro paÍs",25,0.16
1333,"Petatán",6366,"En otro paÍs",13,0.2
1401,"Santa Cruz del Quiché",78279,"En otro paÍs",156,0.2
1402,"Chiché",29646,"En otro paÍs",10,0.03
1403,"Chinique",11382,"En otro paÍs",15,0.13
1404,"Zacualpa",32750,"En otro paÍs",47,0.14
1405,"Chajul",46658,"En otro paÍs",1,0
1406,"Santo Tomás Chichicastenango",141567,"En otro paÍs",61,0.04
1407,"Patzité",6144,"En otro paÍs",5,0.08
1408,"San Antonio Ilotenango",25590,"En otro paÍs",28,0.11
1409,"San Pedro Jocopilas",31950,"En otro paÍs",13,0.04
1410,"Cunén",41455,"En otro paÍs",7,0.02
1411,"San Juan Cotzal",31532,"En otro paÍs",9,0.03
1412,"Joyabaj",82369,"En otro paÍs",147,0.18
1413,"Santa María Nebaj",72686,"En otro paÍs",44,0.06
1414,"San Andrés Sajcabajá",24981,"En otro paÍs",17,0.07
1415,"San Miguel Uspantán",65872,"En otro paÍs",57,0.09
1416,"Sacapulas",52620,"En otro paÍs",18,0.03
1417,"San Bartolomé Jocotenango",13568,"En otro paÍs",3,0.02
1418,"Canillá",12172,"En otro paÍs",25,0.21
1419,"Chicamán",39731,"En otro paÍs",36,0.09
1420,"Playa Grande Ixcán",99470,"En otro paÍs",1484,1.49
1421,"Pachalum",8839,"En otro paÍs",81,0.92
1501,"Salamá",65275,"En otro paÍs",272,0.42
1502,"San Miguel Chicaj",33121,"En otro paÍs",33,0.1
1503,"Rabinal",40797,"En otro paÍs",33,0.08
1504,"Cubulco",54869,"En otro paÍs",66,0.12
1505,"Granados",13595,"En otro paÍs",31,0.23
1506,"Santa Cruz El Chol",9538,"En otro paÍs",25,0.26
1507,"San Jerónimo",25459,"En otro paÍs",102,0.4
1508,"Purulhá",56822,"En otro paÍs",17,0.03
1601,"Cobán",212421,"En otro paÍs",645,0.3
1602,"Santa Cruz Verapaz",32042,"En otro paÍs",63,0.2
1603,"San Cristóbal Verapaz",68819,"En otro paÍs",42,0.06
1604,"Tactic",38052,"En otro paÍs",73,0.19
1605,"Tamahú",19984,"En otro paÍs",9,0.05
1606,"San Miguel Tucurú",43473,"En otro paÍs",12,0.03
1607,"Panzós",71846,"En otro paÍs",8,0.01
1608,"Senahú",91974,"En otro paÍs",56,0.06
1609,"San Pedro Carchá",235275,"En otro paÍs",70,0.03
1610,"San Juan Chamelco",57456,"En otro paÍs",49,0.09
1611,"San Agustín Lanquín",24099,"En otro paÍs",5,0.02
1612,"Santa María Cahabón",64911,"En otro paÍs",110,0.17
1613,"Chisec",84553,"En otro paÍs",181,0.21
1614,"Chahal",26644,"En otro paÍs",30,0.11
1615,"Fray Bartolomé de las Casas",66141,"En otro paÍs",374,0.57
1616,"Santa Catalina La Tinta",40516,"En otro paÍs",29,0.07
1617,"Raxruhá",36832,"En otro paÍs",33,0.09
1701,"Flores",38186,"En otro paÍs",327,0.86
1702,"San José",6989,"En otro paÍs",49,0.7
1703,"San Benito",43841,"En otro paÍs",277,0.63
1704,"San Andrés",32878,"En otro paÍs",296,0.9
1705,"La Libertad",71939,"En otro paÍs",469,0.65
1706,"San Francisco",15371,"En otro paÍs",269,1.75
1707,"Santa Ana",21970,"En otro paÍs",132,0.6
1708,"Dolores",26920,"En otro paÍs",206,0.77
1709,"San Luis",67038,"En otro paÍs",150,0.22
1710,"Sayaxché",93414,"En otro paÍs",391,0.42
1711,"Melchor de Mencos",28238,"En otro paÍs",467,1.65
1712,"Poptún",52282,"En otro paÍs",344,0.66
1713,"Las Cruces",32715,"En otro paÍs",344,1.05
1714,"El Chal",13819,"En otro paÍs",128,0.93
1801,"Puerto Barrios",100593,"En otro paÍs",1606,1.6
1802,"Livingston",73492,"En otro paÍs",414,0.56
1803,"El Estor",73328,"En otro paÍs",185,0.25
1804,"Morales",100361,"En otro paÍs",879,0.88
1805,"Los Amates",60914,"En otro paÍs",452,0.74
1901,"Zacapa",60424,"En otro paÍs",496,0.82
1902,"Estanzuela",9797,"En otro paÍs",47,0.48
1903,"Río Hondo",21434,"En otro paÍs",88,0.41
1904,"Gualán",45663,"En otro paÍs",133,0.29
1905,"Teculután",17602,"En otro paÍs",49,0.28
1906,"Usumatlán",12232,"En otro paÍs",54,0.44
1907,"Cabañas",13641,"En otro paÍs",45,0.33
1908,"San Diego",7235,"En otro paÍs",25,0.35
1909,"La Unión",33572,"En otro paÍs",42,0.13
1910,"Huité",11470,"En otro paÍs",10,0.09
1911,"San Jorge",12304,"En otro paÍs",69,0.56
2001,"Chiquimula",111505,"En otro paÍs",564,0.51
2002,"San José la Arada",8756,"En otro paÍs",50,0.57
2003,"San Juan Ermita",16418,"En otro paÍs",37,0.23
2004,"Jocotán",66379,"En otro paÍs",67,0.1
2005,"Camotán",56138,"En otro paÍs",255,0.45
2006,"Olopa",27511,"En otro paÍs",76,0.28
2007,"Esquipulas",53556,"En otro paÍs",2189,4.09
2008,"Concepción las Minas",11693,"En otro paÍs",166,1.42
2009,"Quezaltepeque",28075,"En otro paÍs",137,0.49
2010,"San Jacinto",12619,"En otro paÍs",30,0.24
2011,"Ipala",22413,"En otro paÍs",227,1.01
2101,"Jalapa",159840,"En otro paÍs",510,0.32
2102,"San Pedro Pinula",61908,"En otro paÍs",57,0.09
2103,"San Luis Jilotepeque",24679,"En otro paÍs",111,0.45
2104,"San Manuel Chaparrón",8317,"En otro paÍs",32,0.38
2105,"San Carlos Alzatate",18977,"En otro paÍs",5,0.03
2106,"Monjas",27354,"En otro paÍs",180,0.66
2107,"Mataquescuintla",41848,"En otro paÍs",96,0.23
2201,"Jutiapa",145880,"En otro paÍs",500,0.34
2202,"El Progreso",22114,"En otro paÍs",287,1.3
2203,"Santa Catarina Mita",28983,"En otro paÍs",269,0.93
2204,"Agua Blanca",16353,"En otro paÍs",176,1.08
2205,"Asunción Mita",48297,"En otro paÍs",1068,2.21
2206,"Yupiltepeque",17389,"En otro paÍs",47,0.27
2207,"Atescatempa",18402,"En otro paÍs",457,2.48
2208,"Jerez",6309,"En otro paÍs",301,4.77
2209,"El Adelanto",6500,"En otro paÍs",17,0.26
2210,"Zapotitlán",9126,"En otro paÍs",63,0.69
2211,"Comapa",32207,"En otro paÍs",221,0.69
2212,"Jalpatagua",28832,"En otro paÍs",383,1.33
2213,"Conguaco",23452,"En otro paÍs",61,0.26
2214,"Moyuta",39781,"En otro paÍs",340,0.85
2215,"Pasaco",8854,"En otro paÍs",77,0.87
2216,"San José Acatempa",13206,"En otro paÍs",35,0.27
2217,"Quesada",22710,"En otro paÍs",84,0.37
101,"Guatemala",923392,"No especificado",14301,1.55
102,"Santa Catarina Pinula",80582,"No especificado",1660,2.06
103,"San José Pinula",79844,"No especificado",1192,1.49
104,"San José del Golfo",7229,"No especificado",98,1.36
105,"Palencia",70973,"No especificado",815,1.15
106,"Chinautla",114752,"No especificado",1545,1.35
107,"San Pedro Ayampuc",58609,"No especificado",949,1.62
108,"Mixco",465773,"No especificado",8594,1.85
109,"San Pedro Sacatepéquez",51292,"No especificado",446,0.87
110,"San Juan Sacatepéquez",218156,"No especificado",5954,2.73
111,"San Raymundo",31605,"No especificado",303,0.96
112,"Chuarrancho",12638,"No especificado",131,1.04
113,"Fraijanes",58922,"No especificado",947,1.61
114,"Amatitlán",116711,"No especificado",1891,1.62
115,"Villa Nueva",433734,"No especificado",9572,2.21
116,"Villa Canales",155422,"No especificado",3089,1.99
117,"San Miguel Petapa",135447,"No especificado",3121,2.3
201,"Guastatoya",24821,"No especificado",934,3.76
202,"Morazán",12164,"No especificado",248,2.04
203,"San Agustín Acasaguastlán",45765,"No especificado",1571,3.43
204,"San Cristóbal Acasaguastlán",7199,"No especificado",268,3.72
205,"El Jícaro",13128,"No especificado",396,3.02
206,"Sansare",13154,"No especificado",224,1.7
207,"Sanarate",39444,"No especificado",1447,3.67
208,"San Antonio la Paz",20957,"No especificado",502,2.4
301,"Antigua Guatemala",46054,"No especificado",1092,2.37
302,"Jocotenango",21657,"No especificado",330,1.52
303,"Pastores",17814,"No especificado",317,1.78
304,"Sumpango",37260,"No especificado",1478,3.97
305,"Santo Domingo Xenacoj",12402,"No especificado",183,1.48
306,"Santiago Sacatepéquez",29238,"No especificado",451,1.54
307,"San Bartolomé Milpas Altas",7816,"No especificado",39,0.5
308,"San Lucas Sacatepéquez",23369,"No especificado",474,2.03
309,"Santa Lucía Milpas Altas",15570,"No especificado",317,2.04
310,"Magdalena Milpas Altas",11856,"No especificado",149,1.26
311,"Santa María de Jesús",21938,"No especificado",201,0.92
312,"Ciudad Vieja",33405,"No especificado",879,2.63
313,"San Miguel Dueñas",12696,"No especificado",141,1.11
314,"San Juan Alotenango",23986,"No especificado",400,1.67
315,"San Antonio Aguas Calientes",11347,"No especificado",121,1.07
316,"Santa Catarina Barahona",4061,"No especificado",38,0.94
401,"Chimaltenango",96985,"No especificado",1574,1.62
402,"San José Poaquil",26845,"No especificado",133,0.5
403,"San Martín Jilotepeque",73469,"No especificado",658,0.9
404,"San Juan Comalapa",48597,"No especificado",511,1.05
405,"Santa Apolonia",18540,"No especificado",145,0.78
406,"Tecpán Guatemala",91927,"No especificado",671,0.73
407,"Patzún",58240,"No especificado",627,1.08
408,"San Miguel Pochuta",8790,"No especificado",65,0.74
409,"Patzicía",33207,"No especificado",380,1.14
410,"Santa Cruz Balanyá",9479,"No especificado",72,0.76
411,"Acatenango",23228,"No especificado",292,1.26
412,"San Pedro Yepocapa",34948,"No especificado",432,1.24
413,"San Andrés Itzapa",32083,"No especificado",398,1.24
414,"Parramos",15924,"No especificado",245,1.54
415,"Zaragoza",24022,"No especificado",303,1.26
416,"El Tejar",19492,"No especificado",355,1.82
501,"Escuintla",156313,"No especificado",3514,2.25
502,"Santa Lucía Cotzumalguapa",112780,"No especificado",3034,2.69
503,"La Democracia",23017,"No especificado",248,1.08
504,"Siquinalá",22968,"No especificado",467,2.03
505,"Masagua",45323,"No especificado",923,2.04
506,"Tiquisate",57292,"No especificado",806,1.41
507,"La Gomera",46666,"No especificado",827,1.77
508,"Guanagazapa",15958,"No especificado",184,1.15
509,"San José",62801,"No especificado",1120,1.78
510,"Iztapa",18342,"No especificado",204,1.11
511,"Palín",65873,"No especificado",1129,1.71
512,"San Vicente Pacaya",16705,"No especificado",176,1.05
513,"Nueva Concepción",72909,"No especificado",738,1.01
514,"Sipacate",16234,"No especificado",267,1.64
601,"Cuilapa",41359,"No especificado",635,1.54
602,"Barberena",58276,"No especificado",732,1.26
603,"Santa Rosa de Lima",19702,"No especificado",219,1.11
604,"Casillas",24956,"No especificado",203,0.81
605,"San Rafael las Flores",12641,"No especificado",124,0.98
606,"Oratorio",24954,"No especificado",177,0.71
607,"San Juan Tecuaco",10122,"No especificado",76,0.75
608,"Chiquimulilla",53727,"No especificado",627,1.17
609,"Taxisco",29846,"No especificado",361,1.21
610,"Santa María Ixhuatán",23801,"No especificado",226,0.95
611,"Guazacapán",18855,"No especificado",158,0.84
612,"Santa Cruz Naranjo",16385,"No especificado",152,0.93
613,"Pueblo Nuevo Viñas",25529,"No especificado",286,1.12
614,"Nueva Santa Rosa",36454,"No especificado",256,0.7
701,"Sololá",88612,"No especificado",1097,1.24
702,"San José Chacayá",4068,"No especificado",55,1.35
703,"Santa María Visitación",2370,"No especificado",14,0.59
704,"Santa Lucía Utatlán",21284,"No especificado",168,0.79
705,"Nahualá",75430,"No especificado",624,0.83
706,"Santa Catarina Ixtahuacán",56981,"No especificado",819,1.44
707,"Santa Clara la Laguna",9405,"No especificado",71,0.75
708,"Concepción",6601,"No especificado",84,1.27
709,"San Andrés Semetabaj",13142,"No especificado",152,1.16
710,"Panajachel",15077,"No especificado",116,0.77
711,"Santa Catarina Palopó",3924,"No especificado",63,1.61
712,"San Antonio Palopó",14437,"No especificado",132,0.91
713,"San Lucas Tolimán",29772,"No especificado",283,0.95
714,"Santa Cruz la Laguna",5820,"No especificado",46,0.79
715,"San Pablo la Laguna",7299,"No especificado",69,0.95
716,"San Marcos la Laguna",2617,"No especificado",22,0.84
717,"San Juan la Laguna",12162,"No especificado",260,2.14
718,"San Pedro la Laguna",10705,"No especificado",95,0.89
719,"Santiago Atitlán",41877,"No especificado",553,1.32
801,"Totonicapán",103952,"No especificado",1264,1.22
802,"San Cristóbal Totonicapán",36119,"No especificado",2131,5.9
803,"San Francisco el Alto",57894,"No especificado",3548,6.13
804,"San Andrés Xecul",26984,"No especificado",500,1.85
805,"Momostenango",105617,"No especificado",2479,2.35
806,"Santa María Chiquimula",55013,"No especificado",790,1.44
807,"Santa Lucía la Reforma",22378,"No especificado",241,1.08
808,"San Bartolo Aguas Calientes",10612,"No especificado",177,1.67
901,"Quetzaltenango",180706,"No especificado",3393,1.88
902,"Salcajá",19434,"No especificado",191,0.98
903,"San Juan Olintepeque",35060,"No especificado",336,0.96
904,"San Carlos Sija",30224,"No especificado",461,1.53
905,"Sibilia",8407,"No especificado",68,0.81
906,"Cabricán",23033,"No especificado",284,1.23
907,"Cajolá",14948,"No especificado",109,0.73
908,"San Miguel Siguilá",7889,"No especificado",49,0.62
909,"San Juan Ostuncalco",51828,"No especificado",1762,3.4
910,"San Mateo",7895,"No especificado",104,1.32
911,"Concepción Chiquirichapa",17342,"No especificado",244,1.41
912,"San Martín Sacatepéquez",29373,"No especificado",204,0.69
913,"Almolonga",15724,"No especificado",244,1.55
914,"Cantel",42142,"No especificado",427,1.01
915,"Huitán",13450,"No especificado",88,0.65
916,"Zunil",14118,"No especificado",124,0.88
917,"Colomba Costa Cuca",47544,"No especificado",595,1.25
918,"San Francisco la Unión",7939,"No especificado",47,0.59
919,"El Palmar",29132,"No especificado",360,1.24
920,"Coatepeque",105415,"No especificado",2202,2.09
921,"Génova",37497,"No especificado",462,1.23
922,"Flores Costa Cuca",21630,"No especificado",282,1.3
923,"La Esperanza",22166,"No especificado",482,2.17
924,"Palestina de los Altos",16205,"No especificado",100,0.62
1001,"Mazatenango",77431,"No especificado",1321,1.71
1002,"Cuyotenango",33436,"No especificado",315,0.94
1003,"San Francisco Zapotitlán",22533,"No especificado",218,0.97
1004,"San Bernardino",15849,"No especificado",198,1.25
1005,"San José el Ídolo",10212,"No especificado",196,1.92
1006,"Santo Domingo Suchitepéquez",42291,"No especificado",572,1.35
1007,"San Lorenzo",13282,"No especificado",74,0.56
1008,"Samayac",24790,"No especificado",359,1.45
1009,"San Pablo Jocopilas",20433,"No especificado",219,1.07
1010,"San Antonio Suchitepéquez",59184,"No especificado",714,1.21
1011,"San Miguel Panán",10320,"No especificado",73,0.71
1012,"San Gabriel",7383,"No especificado",108,1.46
1013,"Chicacao",60735,"No especificado",609,1
1014,"Patulul",40683,"No especificado",362,0.89
1015,"Santa Bárbara",26346,"No especificado",276,1.05
1016,"San Juan Bautista",7826,"No especificado",76,0.97
1017,"Santo Tomas la Unión",11698,"No especificado",95,0.81
1018,"Zunilito",8280,"No especificado",44,0.53
1019,"Pueblo Nuevo",11315,"No especificado",128,1.13
1020,"Río Bravo",27606,"No especificado",228,0.83
1021,"San José La Máquina",23062,"No especificado",151,0.65
1101,"Retalhuleu",90505,"No especificado",1076,1.19
1102,"San Sebastián",29167,"No especificado",563,1.93
1103,"Santa Cruz Muluá",13545,"No especificado",227,1.68
1104,"San Martín Zapotitlán",12083,"No especificado",58,0.48
1105,"San Felipe",24446,"No especificado",217,0.89
1106,"San Andrés Villa Seca",47820,"No especificado",624,1.3
1107,"Champerico",32815,"No especificado",461,1.4
1108,"Nuevo San Carlos",39565,"No especificado",347,0.88
1109,"El Asintal",36882,"No especificado",472,1.28
1201,"San Marcos",47063,"No especificado",713,1.51
1202,"San Pedro Sacatepéquez",79158,"No especificado",1207,1.52
1203,"San Antonio Sacatepéquez",19100,"No especificado",176,0.92
1204,"Comitancillo",59489,"No especificado",858,1.44
1205,"San Miguel Ixtahuacán",47301,"No especificado",512,1.08
1206,"Concepción Tutuapa",68148,"No especificado",1305,1.91
1207,"Tacaná",75788,"No especificado",1135,1.5
1208,"Sibinal",15733,"No especificado",173,1.1
1209,"Tajumulco",50907,"No especificado",1339,2.63
1210,"Tejutla",38669,"No especificado",510,1.32
1211,"San Rafael Pie de la Cuesta",17139,"No especificado",205,1.2
1212,"Nuevo Progreso",30067,"No especificado",332,1.1
1213,"El Tumbador",44395,"No especificado",663,1.49
1214,"San José el Rodeo",17881,"No especificado",226,1.26
1215,"Malacatán",92816,"No especificado",2045,2.2
1216,"Catarina",30014,"No especificado",348,1.16
1217,"Ayutla",37049,"No especificado",492,1.33
1218,"Ocós",10841,"No especificado",124,1.14
1219,"San Pablo",48937,"No especificado",546,1.12
1220,"El Quetzal",23511,"No especificado",217,0.92
1221,"La Reforma",17918,"No especificado",100,0.56
1222,"Pajapita",21725,"No especificado",168,0.77
1223,"Ixchiguán",22375,"No especificado",637,2.85
1224,"San José Ojetenam",19009,"No especificado",411,2.16
1225,"San Cristóbal Cucho",16619,"No especificado",181,1.09
1226,"Sipacapa",20178,"No especificado",282,1.4
1227,"Esquipulas Palo Gordo",12892,"No especificado",124,0.96
1228,"Río Blanco",5318,"No especificado",42,0.79
1229,"San Lorenzo",13125,"No especificado",228,1.74
1230,"La Blanca",29112,"No especificado",258,0.89
1301,"Huehuetenango",117818,"No especificado",1108,0.94
1302,"Chiantla",87447,"No especificado",1144,1.31
1303,"Malacatancito",19155,"No especificado",185,0.97
1304,"Cuilco",60395,"No especificado",808,1.34
1305,"Nentón",45679,"No especificado",786,1.72
1306,"San Pedro Necta",38510,"No especificado",360,0.93
1307,"Jacaltenango",37171,"No especificado",422,1.14
1308,"San Pedro Soloma",49030,"No especificado",824,1.68
1309,"San Ildefonso Ixtahuacán",44424,"No especificado",405,0.91
1310,"Santa Bárbara",33608,"No especificado",663,1.97
1311,"La Libertad",38234,"No especificado",800,2.09
1312,"La Democracia",55434,"No especificado",1198,2.16
1313,"San Miguel Acatán",27128,"No especificado",283,1.04
1314,"San Rafael La Independencia",14149,"No especificado",134,0.95
1315,"Todos Santos Cuchumatán",30186,"No especificado",447,1.48
1316,"San Juan Atitán",19418,"No especificado",170,0.88
1317,"Santa Eulalia",39025,"No especificado",1175,3.01
1318,"San Mateo Ixtatán",43810,"No especificado",518,1.18
1319,"Colotenango",34834,"No especificado",314,0.9
1320,"San Sebastián Huehuetenango",32608,"No especificado",388,1.19
1321,"Tectitán",10830,"No especificado",210,1.94
1322,"Concepción Huista",18915,"No especificado",210,1.11
1323,"San Juan Ixcoy",23204,"No especificado",388,1.67
1324,"San Antonio Huista",16697,"No especificado",167,1
1325,"San Sebastián Coatán",20905,"No especificado",283,1.35
1326,"Santa Cruz Barillas",100849,"No especificado",1483,1.47
1327,"Aguacatán",49607,"No especificado",421,0.85
1328,"San Rafael Petzal",11271,"No especificado",156,1.38
1329,"San Gaspar Ixchil",8142,"No especificado",83,1.02
1330,"Santiago Chimaltenango",10507,"No especificado",129,1.23
1331,"Santa Ana Huista",9413,"No especificado",143,1.52
1332,"Unión Cantinil",15900,"No especificado",264,1.66
1333,"Petatán",6366,"No especificado",37,0.58
1401,"Santa Cruz del Quiché",78279,"No especificado",3120,3.99
1402,"Chiché",29646,"No especificado",246,0.83
1403,"Chinique",11382,"No especificado",133,1.17
1404,"Zacualpa",32750,"No especificado",493,1.51
1405,"Chajul",46658,"No especificado",459,0.98
