"Código","Municipio","Total de personas","Zona","Cantidad de Personas","Porcentaje de Poblacion"
1002,"Cuyotenango",33436,"Urbano",8332,24.92
1002,"Cuyotenango",33436,"Rural",25104,75.08
1003,"San Francisco Zapotitlán",22533,"Urbano",18468,81.96
1003,"San Francisco Zapotitlán",22533,"Rural",4065,18.04
1004,"San Bernardino",15849,"Urbano",3961,24.99
1004,"San Bernardino",15849,"Rural",11888,75.01
1005,"San José el Ídolo",10212,"Urbano",3049,29.86
1005,"San José el Ídolo",10212,"Rural",7163,70.14
1006,"Santo Domingo Suchitepéquez",42291,"Urbano",7578,17.92
1006,"Santo Domingo Suchitepéquez",42291,"Rural",34713,82.08
1007,"San Lorenzo",13282,"Urbano",4663,35.11
1007,"San Lorenzo",13282,"Rural",8619,64.89
1008,"Samayac",24790,"Urbano",9681,39.05
1008,"Samayac",24790,"Rural",15109,60.95
1009,"San Pablo Jocopilas",20433,"Urbano",16872,82.57
1009,"San Pablo Jocopilas",20433,"Rural",3561,17.43
1010,"San Antonio Suchitepéquez",59184,"Urbano",13666,23.09
1010,"San Antonio Suchitepéquez",59184,"Rural",45518,76.91
1011,"San Miguel Panán",10320,"Urbano",4885,47.34
1011,"San Miguel Panán",10320,"Rural",5435,52.66
1012,"San Gabriel",7383,"Urbano",6599,89.38
1012,"San Gabriel",7383,"Rural",784,10.62
1013,"Chicacao",60735,"Urbano",26309,43.32
1013,"Chicacao",60735,"Rural",34426,56.68
1014,"Patulul",40683,"Urbano",11343,27.88
1014,"Patulul",40683,"Rural",29340,72.12
1015,"Santa Bárbara",26346,"Urbano",17172,65.18
1015,"Santa Bárbara",26346,"Rural",9174,34.82
1016,"San Juan Bautista",7826,"Urbano",3788,48.4
1016,"San Juan Bautista",7826,"Rural",4038,51.6
1017,"Santo Tomas la Unión",11698,"Urbano",4365,37.31
1017,"Santo Tomas la Unión",11698,"Rural",7333,62.69
1018,"Zunilito",8280,"Urbano",4457,53.83
1018,"Zunilito",8280,"Rural",3823,46.17
1019,"Pueblo Nuevo",11315,"Urbano",3404,30.08
1019,"Pueblo Nuevo",11315,"Rural",7911,69.92
1020,"Río Bravo",27606,"Urbano",15391,55.75
1020,"Río Bravo",27606,"Rural",12215,44.25
1021,"San José La Máquina",23062,"Urbano",4775,20.71
1021,"San José La Máquina",23062,"Rural",18287,79.29
1101,"Retalhuleu",90505,"Urbano",90505,100
1101,"Retalhuleu",90505,"Rural",0,0
1102,"San Sebastián",29167,"Urbano",9362,32.1
1102,"San Sebastián",29167,"Rural",19805,67.9
1103,"Santa Cruz Muluá",13545,"Urbano",4674,34.51
1103,"Santa Cruz Muluá",13545,"Rural",8871,65.49
1104,"San Martín Zapotitlán",12083,"Urbano",3751,31.04
1104,"San Martín Zapotitlán",12083,"Rural",8332,68.96
1105,"San Felipe",24446,"Urbano",17360,71.01
1105,"San Felipe",24446,"Rural",7086,28.99
1106,"San Andrés Villa Seca",47820,"Urbano",11763,24.6
1106,"San Andrés Villa Seca",47820,"Rural",36057,75.4
1107,"Champerico",32815,"Urbano",9941,30.29
1107,"Champerico",32815,"Rural",22874,69.71
1108,"Nuevo San Carlos",39565,"Urbano",22657,57.27
1108,"Nuevo San Carlos",39565,"Rural",16908,42.73
1109,"El Asintal",36882,"Urbano",17388,47.14
1109,"El Asintal",36882,"Rural",19494,52.86
1201,"San Marcos",47063,"Urbano",47063,100
1201,"San Marcos",47063,"Rural",0,0
1202,"San Pedro Sacatepéquez",79158,"Urbano",49589,62.65
1202,"San Pedro Sacatepéquez",79158,"Rural",29569,37.35
1203,"San Antonio Sacatepéquez",19100,"Urbano",1702,8.91
