"Código","Municipio","Total de personas","Zona","Cantidad de Personas","Porcentaje de Poblacion"
2203,"Santa Catarina Mita",28983,"Rural",14463,49.9
2204,"Agua Blanca",16353,"Urbano",3897,23.83
2204,"Agua Blanca",16353,"Rural",12456,76.17
2205,"Asunción Mita",48297,"Urbano",20936,43.35
2205,"Asunción Mita",48297,"Rural",27361,56.65
2206,"Yupiltepeque",17389,"Urbano",3016,17.34
2206,"Yupiltepeque",17389,"Rural",14373,82.66
2207,"Atescatempa",18402,"Urbano",9606,52.2
2207,"Atescatempa",18402,"Rural",8796,47.8
2208,"Jerez",6309,"Urbano",3744,59.34
2208,"Jerez",6309,"Rural",2565,40.66
2209,"El Adelanto",6500,"Urbano",2341,36.02
2209,"El Adelanto",6500,"Rural",4159,63.98
2210,"Zapotitlán",9126,"Urbano",2118,23.21
2210,"Zapotitlán",9126,"Rural",7008,76.79
2211,"Comapa",32207,"Urbano",4400,13.66
2211,"Comapa",32207,"Rural",27807,86.34
2212,"Jalpatagua",28832,"Urbano",10336,35.85
2212,"Jalpatagua",28832,"Rural",18496,64.15
2213,"Conguaco",23452,"Urbano",2936,12.52
2213,"Conguaco",23452,"Rural",20516,87.48
2214,"Moyuta",39781,"Urbano",6779,17.04
2214,"Moyuta",39781,"Rural",33002,82.96
2215,"Pasaco",8854,"Urbano",1912,21.59
2215,"Pasaco",8854,"Rural",6942,78.41
2216,"San José Acatempa",13206,"Urbano",5285,40.02
2216,"San José Acatempa",13206,"Rural",7921,59.98
2217,"Quesada",22710,"Urbano",2544,11.2
2217,"Quesada",22710,"Rural",20166,88.8
