"Código","Municipio","Total de personas","Grupo de Edades 15 años","Cantidad","Porcentaje de Poblacion"
305,"Santo Domingo Xenacoj",12402,"0 - 14",3859,31.12
305,"Santo Domingo Xenacoj",12402,"15 - 29",3950,31.85
305,"Santo Domingo Xenacoj",12402,"30 - 64",4009,32.33
305,"Santo Domingo Xenacoj",12402,"65 - 84",532,4.29
305,"Santo Domingo Xenacoj",12402,"85 o más",52,0.42
306,"Santiago Sacatepéquez",29238,"0 - 14",8602,29.42
306,"Santiago Sacatepéquez",29238,"15 - 29",9193,31.44
306,"Santiago Sacatepéquez",29238,"30 - 64",9958,34.06
306,"Santiago Sacatepéquez",29238,"65 - 84",1348,4.61
306,"Santiago Sacatepéquez",29238,"85 o más",137,0.47
307,"San Bartolomé Milpas Altas",7816,"0 - 14",2254,28.84
307,"San Bartolomé Milpas Altas",7816,"15 - 29",2398,30.68
307,"San Bartolomé Milpas Altas",7816,"30 - 64",2756,35.26
307,"San Bartolomé Milpas Altas",7816,"65 - 84",385,4.93
307,"San Bartolomé Milpas Altas",7816,"85 o más",23,0.29
308,"San Lucas Sacatepéquez",23369,"0 - 14",6076,26
308,"San Lucas Sacatepéquez",23369,"15 - 29",6703,28.68
308,"San Lucas Sacatepéquez",23369,"30 - 64",8992,38.48
308,"San Lucas Sacatepéquez",23369,"65 - 84",1464,6.26
308,"San Lucas Sacatepéquez",23369,"85 o más",134,0.57
309,"Santa Lucía Milpas Altas",15570,"0 - 14",4330,27.81
309,"Santa Lucía Milpas Altas",15570,"15 - 29",4750,30.51
309,"Santa Lucía Milpas Altas",15570,"30 - 64",5679,36.47
309,"Santa Lucía Milpas Altas",15570,"65 - 84",735,4.72
309,"Santa Lucía Milpas Altas",15570,"85 o más",76,0.49
310,"Magdalena Milpas Altas",11856,"0 - 14",3473,29.29
310,"Magdalena Milpas Altas",11856,"15 - 29",3723,31.4
310,"Magdalena Milpas Altas",11856,"30 - 64",4061,34.25
310,"Magdalena Milpas Altas",11856,"65 - 84",532,4.49
310,"Magdalena Milpas Altas",11856,"85 o más",67,0.57
311,"Santa María de Jesús",21938,"0 - 14",7574,34.52
311,"Santa María de Jesús",21938,"15 - 29",6971,31.78
311,"Santa María de Jesús",21938,"30 - 64",6343,28.91
311,"Santa María de Jesús",21938,"65 - 84",930,4.24
311,"Santa María de Jesús",21938,"85 o más",120,0.55
312,"Ciudad Vieja",33405,"0 - 14",9500,28.44
312,"Ciudad Vieja",33405,"15 - 29",10190,30.5
312,"Ciudad Vieja",33405,"30 - 64",11820,35.38
312,"Ciudad Vieja",33405,"65 - 84",1709,5.12
312,"Ciudad Vieja",33405,"85 o más",186,0.56
313,"San Miguel Dueñas",12696,"0 - 14",3705,29.18
313,"San Miguel Dueñas",12696,"15 - 29",3900,30.72
313,"San Miguel Dueñas",12696,"30 - 64",4357,34.32
313,"San Miguel Dueñas",12696,"65 - 84",659,5.19
313,"San Miguel Dueñas",12696,"85 o más",75,0.59
314,"San Juan Alotenango",23986,"0 - 14",7622,31.78
314,"San Juan Alotenango",23986,"15 - 29",7527,31.38
314,"San Juan Alotenango",23986,"30 - 64",7579,31.6
314,"San Juan Alotenango",23986,"65 - 84",1123,4.68
314,"San Juan Alotenango",23986,"85 o más",135,0.56
315,"San Antonio Aguas Calientes",11347,"0 - 14",3182,28.04
315,"San Antonio Aguas Calientes",11347,"15 - 29",3380,29.79
315,"San Antonio Aguas Calientes",11347,"30 - 64",4015,35.38
315,"San Antonio Aguas Calientes",11347,"65 - 84",682,6.01
315,"San Antonio Aguas Calientes",11347,"85 o más",88,0.78
316,"Santa Catarina Barahona",4061,"0 - 14",1143,28.15
316,"Santa Catarina Barahona",4061,"15 - 29",1187,29.23
316,"Santa Catarina Barahona",4061,"30 - 64",1456,35.85
316,"Santa Catarina Barahona",4061,"65 - 84",244,6.01
316,"Santa Catarina Barahona",4061,"85 o más",31,0.76
401,"Chimaltenango",96985,"0 - 14",29235,30.14
401,"Chimaltenango",96985,"15 - 29",30856,31.82
401,"Chimaltenango",96985,"30 - 64",32280,33.28
401,"Chimaltenango",96985,"65 - 84",4163,4.29
401,"Chimaltenango",96985,"85 o más",451,0.47
402,"San José Poaquil",26845,"0 - 14",8921,33.23
402,"San José Poaquil",26845,"15 - 29",8403,31.3
402,"San José Poaquil",26845,"30 - 64",8183,30.48
402,"San José Poaquil",26845,"65 - 84",1234,4.6
402,"San José Poaquil",26845,"85 o más",104,0.39
403,"San Martín Jilotepeque",73469,"0 - 14",25269,34.39
403,"San Martín Jilotepeque",73469,"15 - 29",22393,30.48
403,"San Martín Jilotepeque",73469,"30 - 64",21488,29.25
403,"San Martín Jilotepeque",73469,"65 - 84",3832,5.22
403,"San Martín Jilotepeque",73469,"85 o más",487,0.66
404,"San Juan Comalapa",48597,"0 - 14",15592,32.08
404,"San Juan Comalapa",48597,"15 - 29",15184,31.24
404,"San Juan Comalapa",48597,"30 - 64",15118,31.11
404,"San Juan Comalapa",48597,"65 - 84",2410,4.96
404,"San Juan Comalapa",48597,"85 o más",293,0.6
405,"Santa Apolonia",18540,"0 - 14",7176,38.71
405,"Santa Apolonia",18540,"15 - 29",5678,30.63
405,"Santa Apolonia",18540,"30 - 64",5017,27.06
405,"Santa Apolonia",18540,"65 - 84",624,3.37
405,"Santa Apolonia",18540,"85 o más",45,0.24
406,"Tecpán Guatemala",91927,"0 - 14",35285,38.38
406,"Tecpán Guatemala",91927,"15 - 29",27686,30.12
406,"Tecpán Guatemala",91927,"30 - 64",25275,27.49
406,"Tecpán Guatemala",91927,"65 - 84",3300,3.59
406,"Tecpán Guatemala",91927,"85 o más",381,0.41
407,"Patzún",58240,"0 - 14",19574,33.61
407,"Patzún",58240,"15 - 29",17496,30.04
407,"Patzún",58240,"30 - 64",18133,31.13
407,"Patzún",58240,"65 - 84",2705,4.64
407,"Patzún",58240,"85 o más",332,0.57
408,"San Miguel Pochuta",8790,"0 - 14",2983,33.94
408,"San Miguel Pochuta",8790,"15 - 29",2643,30.07
408,"San Miguel Pochuta",8790,"30 - 64",2579,29.34
408,"San Miguel Pochuta",8790,"65 - 84",536,6.1
408,"San Miguel Pochuta",8790,"85 o más",49,0.56
409,"Patzicía",33207,"0 - 14",10951,32.98
409,"Patzicía",33207,"15 - 29",9967,30.01
409,"Patzicía",33207,"30 - 64",10547,31.76
409,"Patzicía",33207,"65 - 84",1565,4.71
409,"Patzicía",33207,"85 o más",177,0.53
410,"Santa Cruz Balanyá",9479,"0 - 14",3223,34
410,"Santa Cruz Balanyá",9479,"15 - 29",2853,30.1
410,"Santa Cruz Balanyá",9479,"30 - 64",2930,30.91
410,"Santa Cruz Balanyá",9479,"65 - 84",436,4.6
410,"Santa Cruz Balanyá",9479,"85 o más",37,0.39
411,"Acatenango",23228,"0 - 14",8069,34.74
411,"Acatenango",23228,"15 - 29",7034,30.28
411,"Acatenango",23228,"30 - 64",6914,29.77
411,"Acatenango",23228,"65 - 84",1086,4.68
411,"Acatenango",23228,"85 o más",125,0.54
412,"San Pedro Yepocapa",34948,"0 - 14",13242,37.89
412,"San Pedro Yepocapa",34948,"15 - 29",10612,30.37
412,"San Pedro Yepocapa",34948,"30 - 64",9466,27.09
412,"San Pedro Yepocapa",34948,"65 - 84",1470,4.21
412,"San Pedro Yepocapa",34948,"85 o más",158,0.45
413,"San Andrés Itzapa",32083,"0 - 14",10976,34.21
413,"San Andrés Itzapa",32083,"15 - 29",9800,30.55
413,"San Andrés Itzapa",32083,"30 - 64",9819,30.6
413,"San Andrés Itzapa",32083,"65 - 84",1362,4.25
413,"San Andrés Itzapa",32083,"85 o más",126,0.39
414,"Parramos",15924,"0 - 14",5224,32.81
414,"Parramos",15924,"15 - 29",5053,31.73
414,"Parramos",15924,"30 - 64",4925,30.93
414,"Parramos",15924,"65 - 84",651,4.09
414,"Parramos",15924,"85 o más",71,0.45
415,"Zaragoza",24022,"0 - 14",7932,33.02
415,"Zaragoza",24022,"15 - 29",7275,30.28
415,"Zaragoza",24022,"30 - 64",7534,31.36
415,"Zaragoza",24022,"65 - 84",1140,4.75
415,"Zaragoza",24022,"85 o más",141,0.59
416,"El Tejar",19492,"0 - 14",5791,29.71
416,"El Tejar",19492,"15 - 29",6073,31.16
416,"El Tejar",19492,"30 - 64",6662,34.18
416,"El Tejar",19492,"65 - 84",872,4.47
416,"El Tejar",19492,"85 o más",94,0.48
501,"Escuintla",156313,"0 - 14",44691,28.59
501,"Escuintla",156313,"15 - 29",46603,29.81
501,"Escuintla",156313,"30 - 64",55540,35.53
501,"Escuintla",156313,"65 - 84",8590,5.5
501,"Escuintla",156313,"85 o más",889,0.57
502,"Santa Lucía Cotzumalguapa",112780,"0 - 14",35713,31.67
502,"Santa Lucía Cotzumalguapa",112780,"15 - 29",34007,30.15
502,"Santa Lucía Cotzumalguapa",112780,"30 - 64",36969,32.78
502,"Santa Lucía Cotzumalguapa",112780,"65 - 84",5541,4.91
502,"Santa Lucía Cotzumalguapa",112780,"85 o más",550,0.49
503,"La Democracia",23017,"0 - 14",7554,32.82
503,"La Democracia",23017,"15 - 29",6735,29.26
503,"La Democracia",23017,"30 - 64",7394,32.12
503,"La Democracia",23017,"65 - 84",1202,5.22
503,"La Democracia",23017,"85 o más",132,0.57
504,"Siquinalá",22968,"0 - 14",7544,32.85
504,"Siquinalá",22968,"15 - 29",6940,30.22
504,"Siquinalá",22968,"30 - 64",7304,31.8
504,"Siquinalá",22968,"65 - 84",1069,4.65
504,"Siquinalá",22968,"85 o más",111,0.48
505,"Masagua",45323,"0 - 14",14958,33
505,"Masagua",45323,"15 - 29",13797,30.44
505,"Masagua",45323,"30 - 64",14185,31.3
505,"Masagua",45323,"65 - 84",2163,4.77
505,"Masagua",45323,"85 o más",220,0.49
506,"Tiquisate",57292,"0 - 14",18651,32.55
506,"Tiquisate",57292,"15 - 29",16740,29.22
506,"Tiquisate",57292,"30 - 64",18639,32.53
506,"Tiquisate",57292,"65 - 84",2935,5.12
506,"Tiquisate",57292,"85 o más",327,0.57
507,"La Gomera",46666,"0 - 14",15068,32.29
507,"La Gomera",46666,"15 - 29",14420,30.9
507,"La Gomera",46666,"30 - 64",14802,31.72
507,"La Gomera",46666,"65 - 84",2141,4.59
507,"La Gomera",46666,"85 o más",235,0.5
508,"Guanagazapa",15958,"0 - 14",5735,35.94
508,"Guanagazapa",15958,"15 - 29",4721,29.58
508,"Guanagazapa",15958,"30 - 64",4681,29.33
508,"Guanagazapa",15958,"65 - 84",753,4.72
508,"Guanagazapa",15958,"85 o más",68,0.43
509,"San José",62801,"0 - 14",19529,31.1
509,"San José",62801,"15 - 29",18888,30.08
509,"San José",62801,"30 - 64",21199,33.76
509,"San José",62801,"65 - 84",2870,4.57
509,"San José",62801,"85 o más",315,0.5
510,"Iztapa",18342,"0 - 14",5579,30.42
510,"Iztapa",18342,"15 - 29",5625,30.67
510,"Iztapa",18342,"30 - 64",6241,34.03
510,"Iztapa",18342,"65 - 84",809,4.41
510,"Iztapa",18342,"85 o más",88,0.48
511,"Palín",65873,"0 - 14",20533,31.17
511,"Palín",65873,"15 - 29",20147,30.58
511,"Palín",65873,"30 - 64",22420,34.04
511,"Palín",65873,"65 - 84",2523,3.83
511,"Palín",65873,"85 o más",250,0.38
512,"San Vicente Pacaya",16705,"0 - 14",5175,30.98
512,"San Vicente Pacaya",16705,"15 - 29",5095,30.5
512,"San Vicente Pacaya",16705,"30 - 64",5427,32.49
512,"San Vicente Pacaya",16705,"65 - 84",895,5.36
512,"San Vicente Pacaya",16705,"85 o más",113,0.68
513,"Nueva Concepción",72909,"0 - 14",23449,32.16
513,"Nueva Concepción",72909,"15 - 29",22260,30.53
513,"Nueva Concepción",72909,"30 - 64",22908,31.42
513,"Nueva Concepción",72909,"65 - 84",3856,5.29
513,"Nueva Concepción",72909,"85 o más",436,0.6
514,"Sipacate",16234,"0 - 14",5099,31.41
514,"Sipacate",16234,"15 - 29",5112,31.49
514,"Sipacate",16234,"30 - 64",5133,31.62
514,"Sipacate",16234,"65 - 84",791,4.87
514,"Sipacate",16234,"85 o más",99,0.61
601,"Cuilapa",41359,"0 - 14",12963,31.34
601,"Cuilapa",41359,"15 - 29",12404,29.99
601,"Cuilapa",41359,"30 - 64",13562,32.79
601,"Cuilapa",41359,"65 - 84",2191,5.3
601,"Cuilapa",41359,"85 o más",239,0.58
602,"Barberena",58276,"0 - 14",19091,32.76
602,"Barberena",58276,"15 - 29",17428,29.91
602,"Barberena",58276,"30 - 64",18687,32.07
602,"Barberena",58276,"65 - 84",2768,4.75
602,"Barberena",58276,"85 o más",302,0.52
603,"Santa Rosa de Lima",19702,"0 - 14",6310,32.03
603,"Santa Rosa de Lima",19702,"15 - 29",5807,29.47
603,"Santa Rosa de Lima",19702,"30 - 64",6139,31.16
603,"Santa Rosa de Lima",19702,"65 - 84",1301,6.6
603,"Santa Rosa de Lima",19702,"85 o más",145,0.74
604,"Casillas",24956,"0 - 14",8060,32.3
604,"Casillas",24956,"15 - 29",7532,30.18
604,"Casillas",24956,"30 - 64",7796,31.24
604,"Casillas",24956,"65 - 84",1373,5.5
604,"Casillas",24956,"85 o más",195,0.78
605,"San Rafael las Flores",12641,"0 - 14",4286,33.91
605,"San Rafael las Flores",12641,"15 - 29",3871,30.62
605,"San Rafael las Flores",12641,"30 - 64",3716,29.4
605,"San Rafael las Flores",12641,"65 - 84",679,5.37
605,"San Rafael las Flores",12641,"85 o más",89,0.7
606,"Oratorio",24954,"0 - 14",8161,32.7
606,"Oratorio",24954,"15 - 29",7000,28.05
606,"Oratorio",24954,"30 - 64",8085,32.4
606,"Oratorio",24954,"65 - 84",1536,6.16
606,"Oratorio",24954,"85 o más",172,0.69
607,"San Juan Tecuaco",10122,"0 - 14",3525,34.83
607,"San Juan Tecuaco",10122,"15 - 29",3033,29.96
607,"San Juan Tecuaco",10122,"30 - 64",2956,29.2
607,"San Juan Tecuaco",10122,"65 - 84",557,5.5
607,"San Juan Tecuaco",10122,"85 o más",51,0.5
608,"Chiquimulilla",53727,"0 - 14",16194,30.14
608,"Chiquimulilla",53727,"15 - 29",15510,28.87
608,"Chiquimulilla",53727,"30 - 64",18153,33.79
608,"Chiquimulilla",53727,"65 - 84",3430,6.38
608,"Chiquimulilla",53727,"85 o más",440,0.82
609,"Taxisco",29846,"0 - 14",9341,31.3
609,"Taxisco",29846,"15 - 29",8316,27.86
609,"Taxisco",29846,"30 - 64",9972,33.41
609,"Taxisco",29846,"65 - 84",1945,6.52
609,"Taxisco",29846,"85 o más",272,0.91
610,"Santa María Ixhuatán",23801,"0 - 14",7624,32.03
610,"Santa María Ixhuatán",23801,"15 - 29",6917,29.06
610,"Santa María Ixhuatán",23801,"30 - 64",7740,32.52
610,"Santa María Ixhuatán",23801,"65 - 84",1340,5.63
610,"Santa María Ixhuatán",23801,"85 o más",180,0.76
611,"Guazacapán",18855,"0 - 14",5903,31.31
611,"Guazacapán",18855,"15 - 29",5431,28.8
611,"Guazacapán",18855,"30 - 64",6284,33.33
611,"Guazacapán",18855,"65 - 84",1110,5.89
611,"Guazacapán",18855,"85 o más",127,0.67
612,"Santa Cruz Naranjo",16385,"0 - 14",5050,30.82
612,"Santa Cruz Naranjo",16385,"15 - 29",4708,28.73
612,"Santa Cruz Naranjo",16385,"30 - 64",5548,33.86
612,"Santa Cruz Naranjo",16385,"65 - 84",947,5.78
612,"Santa Cruz Naranjo",16385,"85 o más",132,0.81
613,"Pueblo Nuevo Viñas",25529,"0 - 14",8701,34.08
613,"Pueblo Nuevo Viñas",25529,"15 - 29",7330,28.71
613,"Pueblo Nuevo Viñas",25529,"30 - 64",7751,30.36
613,"Pueblo Nuevo Viñas",25529,"65 - 84",1545,6.05
613,"Pueblo Nuevo Viñas",25529,"85 o más",202,0.79
614,"Nueva Santa Rosa",36454,"0 - 14",11232,30.81
614,"Nueva Santa Rosa",36454,"15 - 29",10887,29.87
614,"Nueva Santa Rosa",36454,"30 - 64",11840,32.48
614,"Nueva Santa Rosa",36454,"65 - 84",2170,5.95
614,"Nueva Santa Rosa",36454,"85 o más",325,0.89
701,"Sololá",88612,"0 - 14",30102,33.97
701,"Sololá",88612,"15 - 29",27484,31.02
701,"Sololá",88612,"30 - 64",26585,30
701,"Sololá",88612,"65 - 84",3965,4.47
701,"Sololá",88612,"85 o más",476,0.54
702,"San José Chacayá",4068,"0 - 14",1470,36.14
702,"San José Chacayá",4068,"15 - 29",1232,30.29
702,"San José Chacayá",4068,"30 - 64",1142,28.07
702,"San José Chacayá",4068,"65 - 84",199,4.89
702,"San José Chacayá",4068,"85 o más",25,0.61
703,"Santa María Visitación",2370,"0 - 14",664,28.02
703,"Santa María Visitación",2370,"15 - 29",750,31.65
703,"Santa María Visitación",2370,"30 - 64",807,34.05
703,"Santa María Visitación",2370,"65 - 84",131,5.53
703,"Santa María Visitación",2370,"85 o más",18,0.76
704,"Santa Lucía Utatlán",21284,"0 - 14",6585,30.94
704,"Santa Lucía Utatlán",21284,"15 - 29",6467,30.38
704,"Santa Lucía Utatlán",21284,"30 - 64",6724,31.59
704,"Santa Lucía Utatlán",21284,"65 - 84",1336,6.28
704,"Santa Lucía Utatlán",21284,"85 o más",172,0.81
705,"Nahualá",75430,"0 - 14",25944,34.39
705,"Nahualá",75430,"15 - 29",23385,31
705,"Nahualá",75430,"30 - 64",22522,29.86
705,"Nahualá",75430,"65 - 84",3276,4.34
705,"Nahualá",75430,"85 o más",303,0.4
706,"Santa Catarina Ixtahuacán",56981,"0 - 14",20446,35.88
706,"Santa Catarina Ixtahuacán",56981,"15 - 29",17467,30.65
706,"Santa Catarina Ixtahuacán",56981,"30 - 64",16600,29.13
706,"Santa Catarina Ixtahuacán",56981,"65 - 84",2249,3.95
706,"Santa Catarina Ixtahuacán",56981,"85 o más",219,0.38
707,"Santa Clara la Laguna",9405,"0 - 14",3025,32.16
707,"Santa Clara la Laguna",9405,"15 - 29",3054,32.47
707,"Santa Clara la Laguna",9405,"30 - 64",2883,30.65
707,"Santa Clara la Laguna",9405,"65 - 84",387,4.11
707,"Santa Clara la Laguna",9405,"85 o más",56,0.6
708,"Concepción",6601,"0 - 14",2693,40.8
708,"Concepción",6601,"15 - 29",1999,30.28
708,"Concepción",6601,"30 - 64",1671,25.31
708,"Concepción",6601,"65 - 84",226,3.42
708,"Concepción",6601,"85 o más",12,0.18
709,"San Andrés Semetabaj",13142,"0 - 14",4474,34.04
709,"San Andrés Semetabaj",13142,"15 - 29",4009,30.51
709,"San Andrés Semetabaj",13142,"30 - 64",3991,30.37
709,"San Andrés Semetabaj",13142,"65 - 84",603,4.59
709,"San Andrés Semetabaj",13142,"85 o más",65,0.49
710,"Panajachel",15077,"0 - 14",4475,29.68
710,"Panajachel",15077,"15 - 29",4451,29.52
710,"Panajachel",15077,"30 - 64",5339,35.41
710,"Panajachel",15077,"65 - 84",747,4.95
710,"Panajachel",15077,"85 o más",65,0.43
711,"Santa Catarina Palopó",3924,"0 - 14",1403,35.75
711,"Santa Catarina Palopó",3924,"15 - 29",1271,32.39
711,"Santa Catarina Palopó",3924,"30 - 64",1079,27.5
711,"Santa Catarina Palopó",3924,"65 - 84",164,4.18
711,"Santa Catarina Palopó",3924,"85 o más",7,0.18
712,"San Antonio Palopó",14437,"0 - 14",4915,34.04
712,"San Antonio Palopó",14437,"15 - 29",4384,30.37
712,"San Antonio Palopó",14437,"30 - 64",4438,30.74
712,"San Antonio Palopó",14437,"65 - 84",639,4.43
712,"San Antonio Palopó",14437,"85 o más",61,0.42
713,"San Lucas Tolimán",29772,"0 - 14",9783,32.86
713,"San Lucas Tolimán",29772,"15 - 29",9329,31.33
