"Código","Municipio","Total de personas","Grupo de Edades 15 años","Cantidad","Porcentaje de Poblacion"
101,"Guatemala",923392,"0 - 14",216690,23.47
101,"Guatemala",923392,"15 - 29",260240,28.18
101,"Guatemala",923392,"30 - 64",366000,39.64
101,"Guatemala",923392,"65 - 84",71213,7.71
101,"Guatemala",923392,"85 o más",9249,1
102,"Santa Catarina Pinula",80582,"0 - 14",21063,26.14
102,"Santa Catarina Pinula",80582,"15 - 29",23500,29.16
102,"Santa Catarina Pinula",80582,"30 - 64",31068,38.55
102,"Santa Catarina Pinula",80582,"65 - 84",4487,5.57
102,"Santa Catarina Pinula",80582,"85 o más",464,0.58
103,"San José Pinula",79844,"0 - 14",24119,30.21
103,"San José Pinula",79844,"15 - 29",23937,29.98
103,"San José Pinula",79844,"30 - 64",28132,35.23
103,"San José Pinula",79844,"65 - 84",3354,4.2
103,"San José Pinula",79844,"85 o más",302,0.38
104,"San José del Golfo",7229,"0 - 14",2161,29.89
104,"San José del Golfo",7229,"15 - 29",2045,28.29
104,"San José del Golfo",7229,"30 - 64",2471,34.18
104,"San José del Golfo",7229,"65 - 84",485,6.71
104,"San José del Golfo",7229,"85 o más",67,0.93
105,"Palencia",70973,"0 - 14",23483,33.09
105,"Palencia",70973,"15 - 29",21038,29.64
105,"Palencia",70973,"30 - 64",22835,32.17
105,"Palencia",70973,"65 - 84",3215,4.53
105,"Palencia",70973,"85 o más",402,0.57
106,"Chinautla",114752,"0 - 14",34128,29.74
106,"Chinautla",114752,"15 - 29",34268,29.86
106,"Chinautla",114752,"30 - 64",40501,35.29
106,"Chinautla",114752,"65 - 84",5259,4.58
106,"Chinautla",114752,"85 o más",596,0.52
107,"San Pedro Ayampuc",58609,"0 - 14",18188,31.03
107,"San Pedro Ayampuc",58609,"15 - 29",18019,30.74
107,"San Pedro Ayampuc",58609,"30 - 64",19415,33.13
107,"San Pedro Ayampuc",58609,"65 - 84",2699,4.61
107,"San Pedro Ayampuc",58609,"85 o más",288,0.49
108,"Mixco",465773,"0 - 14",114412,24.56
108,"Mixco",465773,"15 - 29",131209,28.17
108,"Mixco",465773,"30 - 64",185424,39.81
108,"Mixco",465773,"65 - 84",31386,6.74
108,"Mixco",465773,"85 o más",3342,0.72
109,"San Pedro Sacatepéquez",51292,"0 - 14",15931,31.06
109,"San Pedro Sacatepéquez",51292,"15 - 29",15521,30.26
109,"San Pedro Sacatepéquez",51292,"30 - 64",17397,33.92
109,"San Pedro Sacatepéquez",51292,"65 - 84",2226,4.34
109,"San Pedro Sacatepéquez",51292,"85 o más",217,0.42
110,"San Juan Sacatepéquez",218156,"0 - 14",71916,32.97
110,"San Juan Sacatepéquez",218156,"15 - 29",66549,30.51
110,"San Juan Sacatepéquez",218156,"30 - 64",69781,31.99
110,"San Juan Sacatepéquez",218156,"65 - 84",9067,4.16
110,"San Juan Sacatepéquez",218156,"85 o más",843,0.39
111,"San Raymundo",31605,"0 - 14",10244,32.41
111,"San Raymundo",31605,"15 - 29",9920,31.39
111,"San Raymundo",31605,"30 - 64",9526,30.14
111,"San Raymundo",31605,"65 - 84",1691,5.35
111,"San Raymundo",31605,"85 o más",224,0.71
112,"Chuarrancho",12638,"0 - 14",4281,33.87
112,"Chuarrancho",12638,"15 - 29",3646,28.85
112,"Chuarrancho",12638,"30 - 64",3760,29.75
112,"Chuarrancho",12638,"65 - 84",842,6.66
112,"Chuarrancho",12638,"85 o más",109,0.86
113,"Fraijanes",58922,"0 - 14",14679,24.91
113,"Fraijanes",58922,"15 - 29",17810,30.23
113,"Fraijanes",58922,"30 - 64",23223,39.41
113,"Fraijanes",58922,"65 - 84",2925,4.96
113,"Fraijanes",58922,"85 o más",285,0.48
114,"Amatitlán",116711,"0 - 14",33702,28.88
114,"Amatitlán",116711,"15 - 29",35614,30.51
114,"Amatitlán",116711,"30 - 64",41342,35.42
114,"Amatitlán",116711,"65 - 84",5446,4.67
114,"Amatitlán",116711,"85 o más",607,0.52
115,"Villa Nueva",433734,"0 - 14",119595,27.57
115,"Villa Nueva",433734,"15 - 29",127417,29.38
115,"Villa Nueva",433734,"30 - 64",163769,37.76
115,"Villa Nueva",433734,"65 - 84",20973,4.84
115,"Villa Nueva",433734,"85 o más",1980,0.46
116,"Villa Canales",155422,"0 - 14",46721,30.06
116,"Villa Canales",155422,"15 - 29",47425,30.51
116,"Villa Canales",155422,"30 - 64",53825,34.63
116,"Villa Canales",155422,"65 - 84",6785,4.37
116,"Villa Canales",155422,"85 o más",666,0.43
117,"San Miguel Petapa",135447,"0 - 14",35566,26.26
117,"San Miguel Petapa",135447,"15 - 29",40616,29.99
117,"San Miguel Petapa",135447,"30 - 64",52731,38.93
117,"San Miguel Petapa",135447,"65 - 84",5942,4.39
117,"San Miguel Petapa",135447,"85 o más",592,0.44
201,"Guastatoya",24821,"0 - 14",6638,26.74
201,"Guastatoya",24821,"15 - 29",7056,28.43
201,"Guastatoya",24821,"30 - 64",9233,37.2
201,"Guastatoya",24821,"65 - 84",1655,6.67
201,"Guastatoya",24821,"85 o más",239,0.96
202,"Morazán",12164,"0 - 14",3549,29.18
202,"Morazán",12164,"15 - 29",3370,27.7
202,"Morazán",12164,"30 - 64",4137,34.01
202,"Morazán",12164,"65 - 84",964,7.93
202,"Morazán",12164,"85 o más",144,1.18
203,"San Agustín Acasaguastlán",45765,"0 - 14",16088,35.15
203,"San Agustín Acasaguastlán",45765,"15 - 29",13370,29.21
203,"San Agustín Acasaguastlán",45765,"30 - 64",13715,29.97
203,"San Agustín Acasaguastlán",45765,"65 - 84",2272,4.96
203,"San Agustín Acasaguastlán",45765,"85 o más",320,0.7
204,"San Cristóbal Acasaguastlán",7199,"0 - 14",2183,30.32
204,"San Cristóbal Acasaguastlán",7199,"15 - 29",2063,28.66
204,"San Cristóbal Acasaguastlán",7199,"30 - 64",2434,33.81
204,"San Cristóbal Acasaguastlán",7199,"65 - 84",446,6.2
204,"San Cristóbal Acasaguastlán",7199,"85 o más",73,1.01
205,"El Jícaro",13128,"0 - 14",3692,28.12
205,"El Jícaro",13128,"15 - 29",3800,28.95
205,"El Jícaro",13128,"30 - 64",4571,34.82
205,"El Jícaro",13128,"65 - 84",945,7.2
205,"El Jícaro",13128,"85 o más",120,0.91
206,"Sansare",13154,"0 - 14",3681,27.98
206,"Sansare",13154,"15 - 29",3748,28.49
206,"Sansare",13154,"30 - 64",4622,35.14
206,"Sansare",13154,"65 - 84",976,7.42
206,"Sansare",13154,"85 o más",127,0.97
207,"Sanarate",39444,"0 - 14",11351,28.78
207,"Sanarate",39444,"15 - 29",11197,28.39
207,"Sanarate",39444,"30 - 64",14072,35.68
207,"Sanarate",39444,"65 - 84",2531,6.42
207,"Sanarate",39444,"85 o más",293,0.74
208,"San Antonio la Paz",20957,"0 - 14",6747,32.19
208,"San Antonio la Paz",20957,"15 - 29",6039,28.82
208,"San Antonio la Paz",20957,"30 - 64",6977,33.29
208,"San Antonio la Paz",20957,"65 - 84",1058,5.05
208,"San Antonio la Paz",20957,"85 o más",136,0.65
301,"Antigua Guatemala",46054,"0 - 14",11357,24.66
301,"Antigua Guatemala",46054,"15 - 29",13499,29.31
301,"Antigua Guatemala",46054,"30 - 64",17177,37.3
301,"Antigua Guatemala",46054,"65 - 84",3466,7.53
301,"Antigua Guatemala",46054,"85 o más",555,1.21
302,"Jocotenango",21657,"0 - 14",5377,24.83
302,"Jocotenango",21657,"15 - 29",6153,28.41
302,"Jocotenango",21657,"30 - 64",8446,39
302,"Jocotenango",21657,"65 - 84",1543,7.12
302,"Jocotenango",21657,"85 o más",138,0.64
303,"Pastores",17814,"0 - 14",5363,30.11
303,"Pastores",17814,"15 - 29",5277,29.62
303,"Pastores",17814,"30 - 64",6189,34.74
303,"Pastores",17814,"65 - 84",874,4.91
303,"Pastores",17814,"85 o más",111,0.62
304,"Sumpango",37260,"0 - 14",11677,31.34
304,"Sumpango",37260,"15 - 29",11377,30.53
304,"Sumpango",37260,"30 - 64",12462,33.45
304,"Sumpango",37260,"65 - 84",1544,4.14
304,"Sumpango",37260,"85 o más",200,0.54
