"Código","Municipio","Población de 7 años o más","Uso de Tecnologias","Cantidad de Personas","Porcentaje de Poblacion"
902,"Salcajá",17024,"NA_Celular",175,1.03
902,"Salcajá",17024,"Usa Computadora",6614,38.85
902,"Salcajá",17024,"No usa Computadora",10242,60.16
902,"Salcajá",17024,"NA_Computadora",168,0.99
902,"Salcajá",17024,"Usa Internet",8504,49.95
902,"Salcajá",17024,"No usa Internet",8310,48.81
902,"Salcajá",17024,"NA_Internet",210,1.23
903,"San Juan Olintepeque",29934,"Usa Celular",23246,77.66
903,"San Juan Olintepeque",29934,"No Usa Celular",6477,21.64
903,"San Juan Olintepeque",29934,"NA_Celular",211,0.7
903,"San Juan Olintepeque",29934,"Usa Computadora",10716,35.8
903,"San Juan Olintepeque",29934,"No usa Computadora",18957,63.33
903,"San Juan Olintepeque",29934,"NA_Computadora",261,0.87
903,"San Juan Olintepeque",29934,"Usa Internet",13395,44.75
903,"San Juan Olintepeque",29934,"No usa Internet",16224,54.2
903,"San Juan Olintepeque",29934,"NA_Internet",315,1.05
904,"San Carlos Sija",25812,"Usa Celular",17179,66.55
904,"San Carlos Sija",25812,"No Usa Celular",8337,32.3
904,"San Carlos Sija",25812,"NA_Celular",296,1.15
904,"San Carlos Sija",25812,"Usa Computadora",3173,12.29
904,"San Carlos Sija",25812,"No usa Computadora",22383,86.72
904,"San Carlos Sija",25812,"NA_Computadora",256,0.99
904,"San Carlos Sija",25812,"Usa Internet",5047,19.55
904,"San Carlos Sija",25812,"No usa Internet",20388,78.99
904,"San Carlos Sija",25812,"NA_Internet",377,1.46
905,"Sibilia",7094,"Usa Celular",5361,75.57
905,"Sibilia",7094,"No Usa Celular",1691,23.84
905,"Sibilia",7094,"NA_Celular",42,0.59
905,"Sibilia",7094,"Usa Computadora",913,12.87
905,"Sibilia",7094,"No usa Computadora",6116,86.21
905,"Sibilia",7094,"NA_Computadora",65,0.92
905,"Sibilia",7094,"Usa Internet",1831,25.81
905,"Sibilia",7094,"No usa Internet",5178,72.99
905,"Sibilia",7094,"NA_Internet",85,1.2
906,"Cabricán",19462,"Usa Celular",11042,56.74
906,"Cabricán",19462,"No Usa Celular",8232,42.3
906,"Cabricán",19462,"NA_Celular",188,0.97
906,"Cabricán",19462,"Usa Computadora",2117,10.88
906,"Cabricán",19462,"No usa Computadora",17221,88.49
906,"Cabricán",19462,"NA_Computadora",124,0.64
906,"Cabricán",19462,"Usa Internet",2647,13.6
906,"Cabricán",19462,"No usa Internet",16593,85.26
906,"Cabricán",19462,"NA_Internet",222,1.14
907,"Cajolá",11908,"Usa Celular",7856,65.97
907,"Cajolá",11908,"No Usa Celular",3899,32.74
907,"Cajolá",11908,"NA_Celular",153,1.28
907,"Cajolá",11908,"Usa Computadora",883,7.42
907,"Cajolá",11908,"No usa Computadora",10846,91.08
907,"Cajolá",11908,"NA_Computadora",179,1.5
907,"Cajolá",11908,"Usa Internet",1796,15.08
907,"Cajolá",11908,"No usa Internet",9833,82.57
907,"Cajolá",11908,"NA_Internet",279,2.34
908,"San Miguel Siguilá",6369,"Usa Celular",4747,74.53
908,"San Miguel Siguilá",6369,"No Usa Celular",1595,25.04
908,"San Miguel Siguilá",6369,"NA_Celular",27,0.42
908,"San Miguel Siguilá",6369,"Usa Computadora",1141,17.91
908,"San Miguel Siguilá",6369,"No usa Computadora",5202,81.68
908,"San Miguel Siguilá",6369,"NA_Computadora",26,0.41
908,"San Miguel Siguilá",6369,"Usa Internet",1868,29.33
908,"San Miguel Siguilá",6369,"No usa Internet",4454,69.93
908,"San Miguel Siguilá",6369,"NA_Internet",47,0.74
909,"San Juan Ostuncalco",42771,"Usa Celular",26389,61.7
909,"San Juan Ostuncalco",42771,"No Usa Celular",14910,34.86
909,"San Juan Ostuncalco",42771,"NA_Celular",1472,3.44
909,"San Juan Ostuncalco",42771,"Usa Computadora",5736,13.41
909,"San Juan Ostuncalco",42771,"No usa Computadora",35976,84.11
909,"San Juan Ostuncalco",42771,"NA_Computadora",1059,2.48
909,"San Juan Ostuncalco",42771,"Usa Internet",7392,17.28
909,"San Juan Ostuncalco",42771,"No usa Internet",33737,78.88
909,"San Juan Ostuncalco",42771,"NA_Internet",1642,3.84
910,"San Mateo",6756,"Usa Celular",5085,75.27
910,"San Mateo",6756,"No Usa Celular",1516,22.44
910,"San Mateo",6756,"NA_Celular",155,2.29
910,"San Mateo",6756,"Usa Computadora",2099,31.07
910,"San Mateo",6756,"No usa Computadora",4514,66.81
910,"San Mateo",6756,"NA_Computadora",143,2.12
910,"San Mateo",6756,"Usa Internet",2108,31.2
910,"San Mateo",6756,"No usa Internet",4442,65.75
910,"San Mateo",6756,"NA_Internet",206,3.05
911,"Concepción Chiquirichapa",14424,"Usa Celular",8767,60.78
911,"Concepción Chiquirichapa",14424,"No Usa Celular",5412,37.52
911,"Concepción Chiquirichapa",14424,"NA_Celular",245,1.7
911,"Concepción Chiquirichapa",14424,"Usa Computadora",2737,18.98
911,"Concepción Chiquirichapa",14424,"No usa Computadora",11468,79.51
911,"Concepción Chiquirichapa",14424,"NA_Computadora",219,1.52
911,"Concepción Chiquirichapa",14424,"Usa Internet",3135,21.73
911,"Concepción Chiquirichapa",14424,"No usa Internet",10992,76.21
911,"Concepción Chiquirichapa",14424,"NA_Internet",297,2.06
912,"San Martín Sacatepéquez",24031,"Usa Celular",14250,59.3
912,"San Martín Sacatepéquez",24031,"No Usa Celular",9594,39.92
912,"San Martín Sacatepéquez",24031,"NA_Celular",187,0.78
912,"San Martín Sacatepéquez",24031,"Usa Computadora",2375,9.88
912,"San Martín Sacatepéquez",24031,"No usa Computadora",21542,89.64
912,"San Martín Sacatepéquez",24031,"NA_Computadora",114,0.47
912,"San Martín Sacatepéquez",24031,"Usa Internet",3201,13.32
912,"San Martín Sacatepéquez",24031,"No usa Internet",20587,85.67
912,"San Martín Sacatepéquez",24031,"NA_Internet",243,1.01
913,"Almolonga",13874,"Usa Celular",10236,73.78
913,"Almolonga",13874,"No Usa Celular",3339,24.07
913,"Almolonga",13874,"NA_Celular",299,2.16
913,"Almolonga",13874,"Usa Computadora",1738,12.53
913,"Almolonga",13874,"No usa Computadora",11769,84.83
913,"Almolonga",13874,"NA_Computadora",367,2.65
913,"Almolonga",13874,"Usa Internet",2579,18.59
913,"Almolonga",13874,"No usa Internet",10804,77.87
913,"Almolonga",13874,"NA_Internet",491,3.54
914,"Cantel",36428,"Usa Celular",22942,62.98
914,"Cantel",36428,"No Usa Celular",13185,36.19
914,"Cantel",36428,"NA_Celular",301,0.83
914,"Cantel",36428,"Usa Computadora",8739,23.99
914,"Cantel",36428,"No usa Computadora",27409,75.24
914,"Cantel",36428,"NA_Computadora",280,0.77
914,"Cantel",36428,"Usa Internet",10441,28.66
914,"Cantel",36428,"No usa Internet",25596,70.26
914,"Cantel",36428,"NA_Internet",391,1.07
915,"Huitán",10758,"Usa Celular",6602,61.37
915,"Huitán",10758,"No Usa Celular",4048,37.63
915,"Huitán",10758,"NA_Celular",108,1
915,"Huitán",10758,"Usa Computadora",869,8.08
915,"Huitán",10758,"No usa Computadora",9745,90.58
915,"Huitán",10758,"NA_Computadora",144,1.34
915,"Huitán",10758,"Usa Internet",1037,9.64
915,"Huitán",10758,"No usa Internet",9500,88.31
915,"Huitán",10758,"NA_Internet",221,2.05
916,"Zunil",12341,"Usa Celular",8549,69.27
916,"Zunil",12341,"No Usa Celular",3687,29.88
916,"Zunil",12341,"NA_Celular",105,0.85
916,"Zunil",12341,"Usa Computadora",1297,10.51
916,"Zunil",12341,"No usa Computadora",10833,87.78
916,"Zunil",12341,"NA_Computadora",211,1.71
916,"Zunil",12341,"Usa Internet",2385,19.33
916,"Zunil",12341,"No usa Internet",9634,78.06
916,"Zunil",12341,"NA_Internet",322,2.61
917,"Colomba Costa Cuca",40012,"Usa Celular",23542,58.84
917,"Colomba Costa Cuca",40012,"No Usa Celular",15960,39.89
917,"Colomba Costa Cuca",40012,"NA_Celular",510,1.27
917,"Colomba Costa Cuca",40012,"Usa Computadora",4481,11.2
917,"Colomba Costa Cuca",40012,"No usa Computadora",35132,87.8
917,"Colomba Costa Cuca",40012,"NA_Computadora",399,1
917,"Colomba Costa Cuca",40012,"Usa Internet",6821,17.05
917,"Colomba Costa Cuca",40012,"No usa Internet",32633,81.56
917,"Colomba Costa Cuca",40012,"NA_Internet",558,1.39
918,"San Francisco la Unión",6753,"Usa Celular",4420,65.45
918,"San Francisco la Unión",6753,"No Usa Celular",2262,33.5
918,"San Francisco la Unión",6753,"NA_Celular",71,1.05
918,"San Francisco la Unión",6753,"Usa Computadora",1288,19.07
918,"San Francisco la Unión",6753,"No usa Computadora",5400,79.96
918,"San Francisco la Unión",6753,"NA_Computadora",65,0.96
918,"San Francisco la Unión",6753,"Usa Internet",1882,27.87
918,"San Francisco la Unión",6753,"No usa Internet",4783,70.83
918,"San Francisco la Unión",6753,"NA_Internet",88,1.3
919,"El Palmar",24362,"Usa Celular",15323,62.9
919,"El Palmar",24362,"No Usa Celular",8830,36.24
919,"El Palmar",24362,"NA_Celular",209,0.86
919,"El Palmar",24362,"Usa Computadora",4120,16.91
919,"El Palmar",24362,"No usa Computadora",19928,81.8
919,"El Palmar",24362,"NA_Computadora",314,1.29
919,"El Palmar",24362,"Usa Internet",6941,28.49
919,"El Palmar",24362,"No usa Internet",17081,70.11
919,"El Palmar",24362,"NA_Internet",340,1.4
920,"Coatepeque",89886,"Usa Celular",55943,62.24
920,"Coatepeque",89886,"No Usa Celular",32276,35.91
920,"Coatepeque",89886,"NA_Celular",1667,1.85
920,"Coatepeque",89886,"Usa Computadora",18558,20.65
920,"Coatepeque",89886,"No usa Computadora",69730,77.58
920,"Coatepeque",89886,"NA_Computadora",1598,1.78
920,"Coatepeque",89886,"Usa Internet",25955,28.88
920,"Coatepeque",89886,"No usa Internet",61401,68.31
920,"Coatepeque",89886,"NA_Internet",2530,2.81
921,"Génova",31049,"Usa Celular",17744,57.15
921,"Génova",31049,"No Usa Celular",13076,42.11
921,"Génova",31049,"NA_Celular",229,0.74
921,"Génova",31049,"Usa Computadora",2787,8.98
921,"Génova",31049,"No usa Computadora",28118,90.56
921,"Génova",31049,"NA_Computadora",144,0.46
921,"Génova",31049,"Usa Internet",6210,20
921,"Génova",31049,"No usa Internet",24600,79.23
921,"Génova",31049,"NA_Internet",239,0.77
922,"Flores Costa Cuca",18371,"Usa Celular",10738,58.45
922,"Flores Costa Cuca",18371,"No Usa Celular",7397,40.26
922,"Flores Costa Cuca",18371,"NA_Celular",236,1.28
922,"Flores Costa Cuca",18371,"Usa Computadora",2081,11.33
922,"Flores Costa Cuca",18371,"No usa Computadora",16134,87.82
922,"Flores Costa Cuca",18371,"NA_Computadora",156,0.85
922,"Flores Costa Cuca",18371,"Usa Internet",2718,14.8
922,"Flores Costa Cuca",18371,"No usa Internet",15408,83.87
922,"Flores Costa Cuca",18371,"NA_Internet",245,1.33
923,"La Esperanza",19218,"Usa Celular",14535,75.63
923,"La Esperanza",19218,"No Usa Celular",4249,22.11
923,"La Esperanza",19218,"NA_Celular",434,2.26
923,"La Esperanza",19218,"Usa Computadora",7006,36.46
923,"La Esperanza",19218,"No usa Computadora",11799,61.4
923,"La Esperanza",19218,"NA_Computadora",413,2.15
923,"La Esperanza",19218,"Usa Internet",9028,46.98
923,"La Esperanza",19218,"No usa Internet",9643,50.18
923,"La Esperanza",19218,"NA_Internet",547,2.85
924,"Palestina de los Altos",13087,"Usa Celular",7996,61.1
924,"Palestina de los Altos",13087,"No Usa Celular",5011,38.29
924,"Palestina de los Altos",13087,"NA_Celular",80,0.61
924,"Palestina de los Altos",13087,"Usa Computadora",786,6.01
924,"Palestina de los Altos",13087,"No usa Computadora",12240,93.53
924,"Palestina de los Altos",13087,"NA_Computadora",61,0.47
924,"Palestina de los Altos",13087,"Usa Internet",2101,16.05
924,"Palestina de los Altos",13087,"No usa Internet",10774,82.33
924,"Palestina de los Altos",13087,"NA_Internet",212,1.62
1001,"Mazatenango",66157,"Usa Celular",45683,69.05
1001,"Mazatenango",66157,"No Usa Celular",19341,29.24
1001,"Mazatenango",66157,"NA_Celular",1133,1.71
1001,"Mazatenango",66157,"Usa Computadora",18414,27.83
1001,"Mazatenango",66157,"No usa Computadora",46614,70.46
1001,"Mazatenango",66157,"NA_Computadora",1129,1.71
1001,"Mazatenango",66157,"Usa Internet",24834,37.54
1001,"Mazatenango",66157,"No usa Internet",39943,60.38
1001,"Mazatenango",66157,"NA_Internet",1380,2.09
1002,"Cuyotenango",28025,"Usa Celular",18187,64.9
1002,"Cuyotenango",28025,"No Usa Celular",9709,34.64
1002,"Cuyotenango",28025,"NA_Celular",129,0.46
1002,"Cuyotenango",28025,"Usa Computadora",5409,19.3
1002,"Cuyotenango",28025,"No usa Computadora",22494,80.26
1002,"Cuyotenango",28025,"NA_Computadora",122,0.44
1002,"Cuyotenango",28025,"Usa Internet",7971,28.44
1002,"Cuyotenango",28025,"No usa Internet",19861,70.87
1002,"Cuyotenango",28025,"NA_Internet",193,0.69
1003,"San Francisco Zapotitlán",19113,"Usa Celular",12922,67.61
1003,"San Francisco Zapotitlán",19113,"No Usa Celular",6104,31.94
1003,"San Francisco Zapotitlán",19113,"NA_Celular",87,0.46
1003,"San Francisco Zapotitlán",19113,"Usa Computadora",4522,23.66
1003,"San Francisco Zapotitlán",19113,"No usa Computadora",14497,75.85
1003,"San Francisco Zapotitlán",19113,"NA_Computadora",94,0.49
1003,"San Francisco Zapotitlán",19113,"Usa Internet",6469,33.85
1003,"San Francisco Zapotitlán",19113,"No usa Internet",12528,65.55
1003,"San Francisco Zapotitlán",19113,"NA_Internet",116,0.61
1004,"San Bernardino",13193,"Usa Celular",7348,55.7
1004,"San Bernardino",13193,"No Usa Celular",5752,43.6
1004,"San Bernardino",13193,"NA_Celular",93,0.7
1004,"San Bernardino",13193,"Usa Computadora",2658,20.15
1004,"San Bernardino",13193,"No usa Computadora",10428,79.04
1004,"San Bernardino",13193,"NA_Computadora",107,0.81
1004,"San Bernardino",13193,"Usa Internet",3274,24.82
1004,"San Bernardino",13193,"No usa Internet",9769,74.05
1004,"San Bernardino",13193,"NA_Internet",150,1.14
1005,"San José el Ídolo",8469,"Usa Celular",4998,59.02
1005,"San José el Ídolo",8469,"No Usa Celular",3301,38.98
1005,"San José el Ídolo",8469,"NA_Celular",170,2.01
1005,"San José el Ídolo",8469,"Usa Computadora",900,10.63
1005,"San José el Ídolo",8469,"No usa Computadora",7414,87.54
1005,"San José el Ídolo",8469,"NA_Computadora",155,1.83
1005,"San José el Ídolo",8469,"Usa Internet",2030,23.97
1005,"San José el Ídolo",8469,"No usa Internet",6256,73.87
1005,"San José el Ídolo",8469,"NA_Internet",183,2.16
1006,"Santo Domingo Suchitepéquez",35103,"Usa Celular",20850,59.4
1006,"Santo Domingo Suchitepéquez",35103,"No Usa Celular",13890,39.57
1006,"Santo Domingo Suchitepéquez",35103,"NA_Celular",363,1.03
1006,"Santo Domingo Suchitepéquez",35103,"Usa Computadora",3898,11.1
1006,"Santo Domingo Suchitepéquez",35103,"No usa Computadora",30933,88.12
1006,"Santo Domingo Suchitepéquez",35103,"NA_Computadora",272,0.77
1006,"Santo Domingo Suchitepéquez",35103,"Usa Internet",8199,23.36
1006,"Santo Domingo Suchitepéquez",35103,"No usa Internet",26501,75.49
1006,"Santo Domingo Suchitepéquez",35103,"NA_Internet",403,1.15
1007,"San Lorenzo",11099,"Usa Celular",6078,54.76
1007,"San Lorenzo",11099,"No Usa Celular",4959,44.68
1007,"San Lorenzo",11099,"NA_Celular",62,0.56
1007,"San Lorenzo",11099,"Usa Computadora",1551,13.97
1007,"San Lorenzo",11099,"No usa Computadora",9505,85.64
1007,"San Lorenzo",11099,"NA_Computadora",43,0.39
1007,"San Lorenzo",11099,"Usa Internet",2262,20.38
1007,"San Lorenzo",11099,"No usa Internet",8754,78.87
1007,"San Lorenzo",11099,"NA_Internet",83,0.75
1008,"Samayac",21131,"Usa Celular",14171,67.06
1008,"Samayac",21131,"No Usa Celular",6644,31.44
1008,"Samayac",21131,"NA_Celular",316,1.5
1008,"Samayac",21131,"Usa Computadora",5591,26.46
1008,"Samayac",21131,"No usa Computadora",15279,72.31
1008,"Samayac",21131,"NA_Computadora",261,1.24
1008,"Samayac",21131,"Usa Internet",7111,33.65
1008,"Samayac",21131,"No usa Internet",13672,64.7
1008,"Samayac",21131,"NA_Internet",348,1.65
1009,"San Pablo Jocopilas",17457,"Usa Celular",12223,70.02
1009,"San Pablo Jocopilas",17457,"No Usa Celular",5084,29.12
1009,"San Pablo Jocopilas",17457,"NA_Celular",150,0.86
1009,"San Pablo Jocopilas",17457,"Usa Computadora",3328,19.06
1009,"San Pablo Jocopilas",17457,"No usa Computadora",13992,80.15
1009,"San Pablo Jocopilas",17457,"NA_Computadora",137,0.78
1009,"San Pablo Jocopilas",17457,"Usa Internet",5021,28.76
1009,"San Pablo Jocopilas",17457,"No usa Internet",12260,70.23
1009,"San Pablo Jocopilas",17457,"NA_Internet",176,1.01
1010,"San Antonio Suchitepéquez",48964,"Usa Celular",25903,52.9
1010,"San Antonio Suchitepéquez",48964,"No Usa Celular",22717,46.4
1010,"San Antonio Suchitepéquez",48964,"NA_Celular",344,0.7
1010,"San Antonio Suchitepéquez",48964,"Usa Computadora",6297,12.86
1010,"San Antonio Suchitepéquez",48964,"No usa Computadora",42352,86.5
1010,"San Antonio Suchitepéquez",48964,"NA_Computadora",315,0.64
1010,"San Antonio Suchitepéquez",48964,"Usa Internet",9252,18.9
1010,"San Antonio Suchitepéquez",48964,"No usa Internet",39263,80.19
1010,"San Antonio Suchitepéquez",48964,"NA_Internet",449,0.92
1011,"San Miguel Panán",8400,"Usa Celular",4341,51.68
1011,"San Miguel Panán",8400,"No Usa Celular",4008,47.71
1011,"San Miguel Panán",8400,"NA_Celular",51,0.61
1011,"San Miguel Panán",8400,"Usa Computadora",952,11.33
1011,"San Miguel Panán",8400,"No usa Computadora",7423,88.37
1011,"San Miguel Panán",8400,"NA_Computadora",25,0.3
1011,"San Miguel Panán",8400,"Usa Internet",2194,26.12
1011,"San Miguel Panán",8400,"No usa Internet",6159,73.32
1011,"San Miguel Panán",8400,"NA_Internet",47,0.56
1012,"San Gabriel",6214,"Usa Celular",4427,71.24
1012,"San Gabriel",6214,"No Usa Celular",1733,27.89
1012,"San Gabriel",6214,"NA_Celular",54,0.87
1012,"San Gabriel",6214,"Usa Computadora",1972,31.73
1012,"San Gabriel",6214,"No usa Computadora",4212,67.78
1012,"San Gabriel",6214,"NA_Computadora",30,0.48
1012,"San Gabriel",6214,"Usa Internet",2916,46.93
1012,"San Gabriel",6214,"No usa Internet",3243,52.19
1012,"San Gabriel",6214,"NA_Internet",55,0.89
1013,"Chicacao",49666,"Usa Celular",24039,48.4
1013,"Chicacao",49666,"No Usa Celular",25231,50.8
1013,"Chicacao",49666,"NA_Celular",396,0.8
1013,"Chicacao",49666,"Usa Computadora",4536,9.13
1013,"Chicacao",49666,"No usa Computadora",44805,90.21
1013,"Chicacao",49666,"NA_Computadora",325,0.65
1013,"Chicacao",49666,"Usa Internet",7258,14.61
1013,"Chicacao",49666,"No usa Internet",41841,84.24
1013,"Chicacao",49666,"NA_Internet",567,1.14
1014,"Patulul",34020,"Usa Celular",19399,57.02
1014,"Patulul",34020,"No Usa Celular",14284,41.99
1014,"Patulul",34020,"NA_Celular",337,0.99
1014,"Patulul",34020,"Usa Computadora",5375,15.8
1014,"Patulul",34020,"No usa Computadora",28365,83.38
1014,"Patulul",34020,"NA_Computadora",280,0.82
1014,"Patulul",34020,"Usa Internet",6906,20.3
1014,"Patulul",34020,"No usa Internet",26620,78.25
1014,"Patulul",34020,"NA_Internet",494,1.45
1015,"Santa Bárbara",21612,"Usa Celular",10287,47.6
1015,"Santa Bárbara",21612,"No Usa Celular",11133,51.51
1015,"Santa Bárbara",21612,"NA_Celular",192,0.89
1015,"Santa Bárbara",21612,"Usa Computadora",1734,8.02
1015,"Santa Bárbara",21612,"No usa Computadora",19771,91.48
1015,"Santa Bárbara",21612,"NA_Computadora",107,0.5
1015,"Santa Bárbara",21612,"Usa Internet",2755,12.75
1015,"Santa Bárbara",21612,"No usa Internet",18649,86.29
1015,"Santa Bárbara",21612,"NA_Internet",208,0.96
1016,"San Juan Bautista",6454,"Usa Celular",3163,49.01
1016,"San Juan Bautista",6454,"No Usa Celular",3268,50.64
1016,"San Juan Bautista",6454,"NA_Celular",23,0.36
1016,"San Juan Bautista",6454,"Usa Computadora",735,11.39
1016,"San Juan Bautista",6454,"No usa Computadora",5709,88.46
1016,"San Juan Bautista",6454,"NA_Computadora",10,0.15
1016,"San Juan Bautista",6454,"Usa Internet",1169,18.11
1016,"San Juan Bautista",6454,"No usa Internet",5264,81.56
1016,"San Juan Bautista",6454,"NA_Internet",21,0.33
1017,"Santo Tomas la Unión",10118,"Usa Celular",7554,74.66
1017,"Santo Tomas la Unión",10118,"No Usa Celular",2514,24.85
1017,"Santo Tomas la Unión",10118,"NA_Celular",50,0.49
1017,"Santo Tomas la Unión",10118,"Usa Computadora",3343,33.04
1017,"Santo Tomas la Unión",10118,"No usa Computadora",6708,66.3
1017,"Santo Tomas la Unión",10118,"NA_Computadora",67,0.66
1017,"Santo Tomas la Unión",10118,"Usa Internet",4012,39.65
1017,"Santo Tomas la Unión",10118,"No usa Internet",6032,59.62
1017,"Santo Tomas la Unión",10118,"NA_Internet",74,0.73
1018,"Zunilito",7053,"Usa Celular",4475,63.45
1018,"Zunilito",7053,"No Usa Celular",2545,36.08
1018,"Zunilito",7053,"NA_Celular",33,0.47
1018,"Zunilito",7053,"Usa Computadora",1164,16.5
1018,"Zunilito",7053,"No usa Computadora",5865,83.16
1018,"Zunilito",7053,"NA_Computadora",24,0.34
1018,"Zunilito",7053,"Usa Internet",1344,19.06
1018,"Zunilito",7053,"No usa Internet",5668,80.36
1018,"Zunilito",7053,"NA_Internet",41,0.58
1019,"Pueblo Nuevo",9586,"Usa Celular",6530,68.12
1019,"Pueblo Nuevo",9586,"No Usa Celular",2971,30.99
1019,"Pueblo Nuevo",9586,"NA_Celular",85,0.89
1019,"Pueblo Nuevo",9586,"Usa Computadora",2030,21.18
1019,"Pueblo Nuevo",9586,"No usa Computadora",7461,77.83
1019,"Pueblo Nuevo",9586,"NA_Computadora",95,0.99
1019,"Pueblo Nuevo",9586,"Usa Internet",3120,32.55
1019,"Pueblo Nuevo",9586,"No usa Internet",6362,66.37
1019,"Pueblo Nuevo",9586,"NA_Internet",104,1.08
1020,"Río Bravo",22733,"Usa Celular",11708,51.5
1020,"Río Bravo",22733,"No Usa Celular",10873,47.83
1020,"Río Bravo",22733,"NA_Celular",152,0.67
1020,"Río Bravo",22733,"Usa Computadora",2268,9.98
1020,"Río Bravo",22733,"No usa Computadora",20349,89.51
1020,"Río Bravo",22733,"NA_Computadora",116,0.51
1020,"Río Bravo",22733,"Usa Internet",4843,21.3
1020,"Río Bravo",22733,"No usa Internet",17732,78
1020,"Río Bravo",22733,"NA_Internet",158,0.7
1021,"San José La Máquina",18997,"Usa Celular",12693,66.82
1021,"San José La Máquina",18997,"No Usa Celular",6228,32.78
1021,"San José La Máquina",18997,"NA_Celular",76,0.4
1021,"San José La Máquina",18997,"Usa Computadora",2643,13.91
1021,"San José La Máquina",18997,"No usa Computadora",16261,85.6
1021,"San José La Máquina",18997,"NA_Computadora",93,0.49
1021,"San José La Máquina",18997,"Usa Internet",6350,33.43
1021,"San José La Máquina",18997,"No usa Internet",12548,66.05
1021,"San José La Máquina",18997,"NA_Internet",99,0.52
1101,"Retalhuleu",76688,"Usa Celular",51272,66.86
1101,"Retalhuleu",76688,"No Usa Celular",24717,32.23
1101,"Retalhuleu",76688,"NA_Celular",699,0.91
1101,"Retalhuleu",76688,"Usa Computadora",19082,24.88
1101,"Retalhuleu",76688,"No usa Computadora",56831,74.11
1101,"Retalhuleu",76688,"NA_Computadora",775,1.01
1101,"Retalhuleu",76688,"Usa Internet",26892,35.07
1101,"Retalhuleu",76688,"No usa Internet",48855,63.71
1101,"Retalhuleu",76688,"NA_Internet",941,1.23
1102,"San Sebastián",24897,"Usa Celular",16724,67.17
1102,"San Sebastián",24897,"No Usa Celular",7678,30.84
1102,"San Sebastián",24897,"NA_Celular",495,1.99
1102,"San Sebastián",24897,"Usa Computadora",5101,20.49
1102,"San Sebastián",24897,"No usa Computadora",19313,77.57
1102,"San Sebastián",24897,"NA_Computadora",483,1.94
1102,"San Sebastián",24897,"Usa Internet",8120,32.61
1102,"San Sebastián",24897,"No usa Internet",16147,64.86
1102,"San Sebastián",24897,"NA_Internet",630,2.53
1103,"Santa Cruz Muluá",11360,"Usa Celular",6811,59.96
1103,"Santa Cruz Muluá",11360,"No Usa Celular",4449,39.16
1103,"Santa Cruz Muluá",11360,"NA_Celular",100,0.88
1103,"Santa Cruz Muluá",11360,"Usa Computadora",2086,18.36
1103,"Santa Cruz Muluá",11360,"No usa Computadora",9195,80.94
1103,"Santa Cruz Muluá",11360,"NA_Computadora",79,0.7
1103,"Santa Cruz Muluá",11360,"Usa Internet",3085,27.16
1103,"Santa Cruz Muluá",11360,"No usa Internet",8184,72.04
1103,"Santa Cruz Muluá",11360,"NA_Internet",91,0.8
1104,"San Martín Zapotitlán",10200,"Usa Celular",6751,66.19
1104,"San Martín Zapotitlán",10200,"No Usa Celular",3425,33.58
1104,"San Martín Zapotitlán",10200,"NA_Celular",24,0.24
1104,"San Martín Zapotitlán",10200,"Usa Computadora",2131,20.89
1104,"San Martín Zapotitlán",10200,"No usa Computadora",8044,78.86
1104,"San Martín Zapotitlán",10200,"NA_Computadora",25,0.25
1104,"San Martín Zapotitlán",10200,"Usa Internet",3522,34.53
1104,"San Martín Zapotitlán",10200,"No usa Internet",6645,65.15
1104,"San Martín Zapotitlán",10200,"NA_Internet",33,0.32
1105,"San Felipe",20609,"Usa Celular",13969,67.78
1105,"San Felipe",20609,"No Usa Celular",6511,31.59
1105,"San Felipe",20609,"NA_Celular",129,0.63
1105,"San Felipe",20609,"Usa Computadora",4785,23.22
1105,"San Felipe",20609,"No usa Computadora",15712,76.24
1105,"San Felipe",20609,"NA_Computadora",112,0.54
1105,"San Felipe",20609,"Usa Internet",6962,33.78
1105,"San Felipe",20609,"No usa Internet",13506,65.53
1105,"San Felipe",20609,"NA_Internet",141,0.68
1106,"San Andrés Villa Seca",39034,"Usa Celular",20945,53.66
1106,"San Andrés Villa Seca",39034,"No Usa Celular",17700,45.35
1106,"San Andrés Villa Seca",39034,"NA_Celular",389,1
1106,"San Andrés Villa Seca",39034,"Usa Computadora",2463,6.31
1106,"San Andrés Villa Seca",39034,"No usa Computadora",36248,92.86
1106,"San Andrés Villa Seca",39034,"NA_Computadora",323,0.83
1106,"San Andrés Villa Seca",39034,"Usa Internet",7469,19.13
1106,"San Andrés Villa Seca",39034,"No usa Internet",31125,79.74
1106,"San Andrés Villa Seca",39034,"NA_Internet",440,1.13
1107,"Champerico",27229,"Usa Celular",15291,56.16
1107,"Champerico",27229,"No Usa Celular",11574,42.51
1107,"Champerico",27229,"NA_Celular",364,1.34
1107,"Champerico",27229,"Usa Computadora",2884,10.59
1107,"Champerico",27229,"No usa Computadora",24109,88.54
1107,"Champerico",27229,"NA_Computadora",236,0.87
1107,"Champerico",27229,"Usa Internet",6613,24.29
1107,"Champerico",27229,"No usa Internet",20241,74.34
1107,"Champerico",27229,"NA_Internet",375,1.38
1108,"Nuevo San Carlos",33301,"Usa Celular",20576,61.79
1108,"Nuevo San Carlos",33301,"No Usa Celular",12519,37.59
1108,"Nuevo San Carlos",33301,"NA_Celular",206,0.62
1108,"Nuevo San Carlos",33301,"Usa Computadora",4934,14.82
