"Código","Departamento","Total de viviendas particulares","Material Predominante del Piso","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
20,"Chiquimula",108033,"Parqué o vinil",83,0.08
20,"Chiquimula",108033,"Madera",338,0.31
20,"Chiquimula",108033,"Tierra",36490,33.78
20,"Chiquimula",108033,"Otro",252,0.23
21,"Jalapa",88118,"Ladrillo cerámico",11597,13.16
21,"Jalapa",88118,"Ladrillo de cemento",10298,11.69
21,"Jalapa",88118,"Ladrillo de barro",396,0.45
21,"Jalapa",88118,"Torta de cemento",15149,17.19
21,"Jalapa",88118,"Parqué o vinil",74,0.08
21,"Jalapa",88118,"Madera",408,0.46
21,"Jalapa",88118,"Tierra",33146,37.62
21,"Jalapa",88118,"Otro",178,0.2
22,"Jutiapa",141507,"Ladrillo cerámico",25713,18.17
22,"Jutiapa",141507,"Ladrillo de cemento",23964,16.93
22,"Jutiapa",141507,"Ladrillo de barro",881,0.62
22,"Jutiapa",141507,"Torta de cemento",35004,24.74
22,"Jutiapa",141507,"Parqué o vinil",406,0.29
22,"Jutiapa",141507,"Madera",316,0.22
22,"Jutiapa",141507,"Tierra",27788,19.64
22,"Jutiapa",141507,"Otro",136,0.1
