"Código","Municipio","Total de personas","Genero","Cantidad"
501,"Escuintla",156313,"Hombre",78365
501,"Escuintla",156313,"Mujer",77948
502,"Santa Lucía Cotzumalguapa",112780,"Hombre",56258
502,"Santa Lucía Cotzumalguapa",112780,"Mujer",56522
503,"La Democracia",23017,"Hombre",11491
503,"La Democracia",23017,"Mujer",11526
504,"Siquinalá",22968,"Hombre",11543
504,"Siquinalá",22968,"Mujer",11425
505,"Masagua",45323,"Hombre",22701
505,"Masagua",45323,"Mujer",22622
506,"Tiquisate",57292,"Hombre",28423
506,"Tiquisate",57292,"Mujer",28869
507,"La Gomera",46666,"Hombre",23493
507,"La Gomera",46666,"Mujer",23173
508,"Guanagazapa",15958,"Hombre",8115
508,"Guanagazapa",15958,"Mujer",7843
509,"San José",62801,"Hombre",31246
509,"San José",62801,"Mujer",31555
510,"Iztapa",18342,"Hombre",9173
510,"Iztapa",18342,"Mujer",9169
511,"Palín",65873,"Hombre",32261
511,"Palín",65873,"Mujer",33612
512,"San Vicente Pacaya",16705,"Hombre",8346
512,"San Vicente Pacaya",16705,"Mujer",8359
513,"Nueva Concepción",72909,"Hombre",35953
513,"Nueva Concepción",72909,"Mujer",36956
514,"Sipacate",16234,"Hombre",8139
514,"Sipacate",16234,"Mujer",8095
601,"Cuilapa",41359,"Hombre",20524
601,"Cuilapa",41359,"Mujer",20835
602,"Barberena",58276,"Hombre",28398
602,"Barberena",58276,"Mujer",29878
603,"Santa Rosa de Lima",19702,"Hombre",9518
603,"Santa Rosa de Lima",19702,"Mujer",10184
604,"Casillas",24956,"Hombre",12023
604,"Casillas",24956,"Mujer",12933
605,"San Rafael las Flores",12641,"Hombre",6249
605,"San Rafael las Flores",12641,"Mujer",6392
606,"Oratorio",24954,"Hombre",12296
606,"Oratorio",24954,"Mujer",12658
607,"San Juan Tecuaco",10122,"Hombre",5100
607,"San Juan Tecuaco",10122,"Mujer",5022
608,"Chiquimulilla",53727,"Hombre",26480
608,"Chiquimulilla",53727,"Mujer",27247
609,"Taxisco",29846,"Hombre",15047
609,"Taxisco",29846,"Mujer",14799
610,"Santa María Ixhuatán",23801,"Hombre",11803
610,"Santa María Ixhuatán",23801,"Mujer",11998
611,"Guazacapán",18855,"Hombre",9354
611,"Guazacapán",18855,"Mujer",9501
612,"Santa Cruz Naranjo",16385,"Hombre",8159
612,"Santa Cruz Naranjo",16385,"Mujer",8226
613,"Pueblo Nuevo Viñas",25529,"Hombre",12972
613,"Pueblo Nuevo Viñas",25529,"Mujer",12557
614,"Nueva Santa Rosa",36454,"Hombre",17661
614,"Nueva Santa Rosa",36454,"Mujer",18793
701,"Sololá",88612,"Hombre",42261
701,"Sololá",88612,"Mujer",46351
702,"San José Chacayá",4068,"Hombre",1950
702,"San José Chacayá",4068,"Mujer",2118
703,"Santa María Visitación",2370,"Hombre",1155
703,"Santa María Visitación",2370,"Mujer",1215
704,"Santa Lucía Utatlán",21284,"Hombre",9931
704,"Santa Lucía Utatlán",21284,"Mujer",11353
705,"Nahualá",75430,"Hombre",35401
705,"Nahualá",75430,"Mujer",40029
706,"Santa Catarina Ixtahuacán",56981,"Hombre",26490
706,"Santa Catarina Ixtahuacán",56981,"Mujer",30491
707,"Santa Clara la Laguna",9405,"Hombre",4555
707,"Santa Clara la Laguna",9405,"Mujer",4850
708,"Concepción",6601,"Hombre",3171
708,"Concepción",6601,"Mujer",3430
709,"San Andrés Semetabaj",13142,"Hombre",6114
709,"San Andrés Semetabaj",13142,"Mujer",7028
710,"Panajachel",15077,"Hombre",7269
710,"Panajachel",15077,"Mujer",7808
711,"Santa Catarina Palopó",3924,"Hombre",1930
711,"Santa Catarina Palopó",3924,"Mujer",1994
712,"San Antonio Palopó",14437,"Hombre",6754
712,"San Antonio Palopó",14437,"Mujer",7683
713,"San Lucas Tolimán",29772,"Hombre",14723
713,"San Lucas Tolimán",29772,"Mujer",15049
714,"Santa Cruz la Laguna",5820,"Hombre",2850
714,"Santa Cruz la Laguna",5820,"Mujer",2970
715,"San Pablo la Laguna",7299,"Hombre",3638
715,"San Pablo la Laguna",7299,"Mujer",3661
716,"San Marcos la Laguna",2617,"Hombre",1253
716,"San Marcos la Laguna",2617,"Mujer",1364
717,"San Juan la Laguna",12162,"Hombre",6043
717,"San Juan la Laguna",12162,"Mujer",6119
718,"San Pedro la Laguna",10705,"Hombre",5202
718,"San Pedro la Laguna",10705,"Mujer",5503
719,"Santiago Atitlán",41877,"Hombre",20575
