"Código","Municipio","Total de personas","Genero","Cantidad"
1711,"Melchor de Mencos",28238,"Mujer",14101
1712,"Poptún",52282,"Hombre",25667
1712,"Poptún",52282,"Mujer",26615
1713,"Las Cruces",32715,"Hombre",16609
1713,"Las Cruces",32715,"Mujer",16106
1714,"El Chal",13819,"Hombre",6879
1714,"El Chal",13819,"Mujer",6940
1801,"Puerto Barrios",100593,"Hombre",49144
1801,"Puerto Barrios",100593,"Mujer",51449
1802,"Livingston",73492,"Hombre",36456
1802,"Livingston",73492,"Mujer",37036
1803,"El Estor",73328,"Hombre",36947
1803,"El Estor",73328,"Mujer",36381
1804,"Morales",100361,"Hombre",49191
1804,"Morales",100361,"Mujer",51170
1805,"Los Amates",60914,"Hombre",30121
1805,"Los Amates",60914,"Mujer",30793
1901,"Zacapa",60424,"Hombre",29201
1901,"Zacapa",60424,"Mujer",31223
1902,"Estanzuela",9797,"Hombre",4759
1902,"Estanzuela",9797,"Mujer",5038
1903,"Río Hondo",21434,"Hombre",10319
1903,"Río Hondo",21434,"Mujer",11115
1904,"Gualán",45663,"Hombre",22471
1904,"Gualán",45663,"Mujer",23192
1905,"Teculután",17602,"Hombre",8603
1905,"Teculután",17602,"Mujer",8999
1906,"Usumatlán",12232,"Hombre",6034
1906,"Usumatlán",12232,"Mujer",6198
1907,"Cabañas",13641,"Hombre",6808
1907,"Cabañas",13641,"Mujer",6833
1908,"San Diego",7235,"Hombre",3536
1908,"San Diego",7235,"Mujer",3699
1909,"La Unión",33572,"Hombre",16804
1909,"La Unión",33572,"Mujer",16768
1910,"Huité",11470,"Hombre",5743
1910,"Huité",11470,"Mujer",5727
1911,"San Jorge",12304,"Hombre",5961
1911,"San Jorge",12304,"Mujer",6343
2001,"Chiquimula",111505,"Hombre",53300
2001,"Chiquimula",111505,"Mujer",58205
2002,"San José la Arada",8756,"Hombre",4193
2002,"San José la Arada",8756,"Mujer",4563
2003,"San Juan Ermita",16418,"Hombre",8101
2003,"San Juan Ermita",16418,"Mujer",8317
2004,"Jocotán",66379,"Hombre",32249
2004,"Jocotán",66379,"Mujer",34130
2005,"Camotán",56138,"Hombre",27808
2005,"Camotán",56138,"Mujer",28330
2006,"Olopa",27511,"Hombre",13325
2006,"Olopa",27511,"Mujer",14186
2007,"Esquipulas",53556,"Hombre",25517
2007,"Esquipulas",53556,"Mujer",28039
2008,"Concepción las Minas",11693,"Hombre",5558
2008,"Concepción las Minas",11693,"Mujer",6135
2009,"Quezaltepeque",28075,"Hombre",13030
2009,"Quezaltepeque",28075,"Mujer",15045
2010,"San Jacinto",12619,"Hombre",6143
2010,"San Jacinto",12619,"Mujer",6476
2011,"Ipala",22413,"Hombre",10686
2011,"Ipala",22413,"Mujer",11727
2101,"Jalapa",159840,"Hombre",77140
2101,"Jalapa",159840,"Mujer",82700
2102,"San Pedro Pinula",61908,"Hombre",30545
2102,"San Pedro Pinula",61908,"Mujer",31363
2103,"San Luis Jilotepeque",24679,"Hombre",11470
2103,"San Luis Jilotepeque",24679,"Mujer",13209
2104,"San Manuel Chaparrón",8317,"Hombre",3865
2104,"San Manuel Chaparrón",8317,"Mujer",4452
2105,"San Carlos Alzatate",18977,"Hombre",9353
2105,"San Carlos Alzatate",18977,"Mujer",9624
2106,"Monjas",27354,"Hombre",13043
2106,"Monjas",27354,"Mujer",14311
2107,"Mataquescuintla",41848,"Hombre",20455
2107,"Mataquescuintla",41848,"Mujer",21393
2201,"Jutiapa",145880,"Hombre",71056
2201,"Jutiapa",145880,"Mujer",74824
2202,"El Progreso",22114,"Hombre",10399
2202,"El Progreso",22114,"Mujer",11715
2203,"Santa Catarina Mita",28983,"Hombre",13546
2203,"Santa Catarina Mita",28983,"Mujer",15437
2204,"Agua Blanca",16353,"Hombre",7810
2204,"Agua Blanca",16353,"Mujer",8543
2205,"Asunción Mita",48297,"Hombre",23188
2205,"Asunción Mita",48297,"Mujer",25109
2206,"Yupiltepeque",17389,"Hombre",8612
2206,"Yupiltepeque",17389,"Mujer",8777
2207,"Atescatempa",18402,"Hombre",8948
2207,"Atescatempa",18402,"Mujer",9454
2208,"Jerez",6309,"Hombre",3109
2208,"Jerez",6309,"Mujer",3200
2209,"El Adelanto",6500,"Hombre",3232
2209,"El Adelanto",6500,"Mujer",3268
2210,"Zapotitlán",9126,"Hombre",4551
2210,"Zapotitlán",9126,"Mujer",4575
2211,"Comapa",32207,"Hombre",15805
2211,"Comapa",32207,"Mujer",16402
2212,"Jalpatagua",28832,"Hombre",14087
2212,"Jalpatagua",28832,"Mujer",14745
2213,"Conguaco",23452,"Hombre",11619
2213,"Conguaco",23452,"Mujer",11833
2214,"Moyuta",39781,"Hombre",19429
2214,"Moyuta",39781,"Mujer",20352
2215,"Pasaco",8854,"Hombre",4347
2215,"Pasaco",8854,"Mujer",4507
2216,"San José Acatempa",13206,"Hombre",6351
2216,"San José Acatempa",13206,"Mujer",6855
2217,"Quesada",22710,"Hombre",11174
2217,"Quesada",22710,"Mujer",11536
