"Código","Municipio","Total de personas","Grupo de Edades 5 años","Cantidad","Porcentaje de Poblacion"
315,"San Antonio Aguas Calientes",11347,"75 - 79",157,1.38
315,"San Antonio Aguas Calientes",11347,"80 - 84",112,0.99
315,"San Antonio Aguas Calientes",11347,"85 - 89",60,0.53
315,"San Antonio Aguas Calientes",11347,"90 - 94",26,0.23
315,"San Antonio Aguas Calientes",11347,"95 - 99",2,0.02
315,"San Antonio Aguas Calientes",11347,"100 - más",0,0
316,"Santa Catarina Barahona",4061,"0 - 4",367,9.04
316,"Santa Catarina Barahona",4061,"5 - 9",369,9.09
316,"Santa Catarina Barahona",4061,"10 - 14",407,10.02
316,"Santa Catarina Barahona",4061,"15 - 19",462,11.38
316,"Santa Catarina Barahona",4061,"20 - 24",386,9.51
316,"Santa Catarina Barahona",4061,"25 - 29",339,8.35
316,"Santa Catarina Barahona",4061,"30 - 34",324,7.98
316,"Santa Catarina Barahona",4061,"35 - 39",325,8
316,"Santa Catarina Barahona",4061,"40 - 44",226,5.57
316,"Santa Catarina Barahona",4061,"45 - 49",200,4.92
316,"Santa Catarina Barahona",4061,"50 - 54",144,3.55
316,"Santa Catarina Barahona",4061,"55 - 59",122,3
316,"Santa Catarina Barahona",4061,"60 - 64",115,2.83
316,"Santa Catarina Barahona",4061,"65 - 69",96,2.36
316,"Santa Catarina Barahona",4061,"70 - 74",71,1.75
316,"Santa Catarina Barahona",4061,"75 - 79",49,1.21
316,"Santa Catarina Barahona",4061,"80 - 84",28,0.69
316,"Santa Catarina Barahona",4061,"85 - 89",20,0.49
316,"Santa Catarina Barahona",4061,"90 - 94",10,0.25
316,"Santa Catarina Barahona",4061,"95 - 99",1,0.02
316,"Santa Catarina Barahona",4061,"100 - más",0,0
401,"Chimaltenango",96985,"0 - 4",9448,9.74
401,"Chimaltenango",96985,"5 - 9",9793,10.1
401,"Chimaltenango",96985,"10 - 14",9994,10.3
401,"Chimaltenango",96985,"15 - 19",11694,12.06
401,"Chimaltenango",96985,"20 - 24",10359,10.68
401,"Chimaltenango",96985,"25 - 29",8803,9.08
401,"Chimaltenango",96985,"30 - 34",7232,7.46
401,"Chimaltenango",96985,"35 - 39",6837,7.05
401,"Chimaltenango",96985,"40 - 44",5317,5.48
401,"Chimaltenango",96985,"45 - 49",4139,4.27
401,"Chimaltenango",96985,"50 - 54",3598,3.71
401,"Chimaltenango",96985,"55 - 59",2838,2.93
401,"Chimaltenango",96985,"60 - 64",2319,2.39
401,"Chimaltenango",96985,"65 - 69",1772,1.83
401,"Chimaltenango",96985,"70 - 74",1120,1.15
401,"Chimaltenango",96985,"75 - 79",737,0.76
401,"Chimaltenango",96985,"80 - 84",534,0.55
401,"Chimaltenango",96985,"85 - 89",313,0.32
401,"Chimaltenango",96985,"90 - 94",99,0.1
401,"Chimaltenango",96985,"95 - 99",37,0.04
401,"Chimaltenango",96985,"100 - más",2,0
402,"San José Poaquil",26845,"0 - 4",2847,10.61
402,"San José Poaquil",26845,"5 - 9",2963,11.04
402,"San José Poaquil",26845,"10 - 14",3111,11.59
402,"San José Poaquil",26845,"15 - 19",3196,11.91
402,"San José Poaquil",26845,"20 - 24",2873,10.7
402,"San José Poaquil",26845,"25 - 29",2334,8.69
402,"San José Poaquil",26845,"30 - 34",1730,6.44
402,"San José Poaquil",26845,"35 - 39",1653,6.16
402,"San José Poaquil",26845,"40 - 44",1395,5.2
402,"San José Poaquil",26845,"45 - 49",1248,4.65
402,"San José Poaquil",26845,"50 - 54",942,3.51
402,"San José Poaquil",26845,"55 - 59",681,2.54
402,"San José Poaquil",26845,"60 - 64",534,1.99
402,"San José Poaquil",26845,"65 - 69",490,1.83
402,"San José Poaquil",26845,"70 - 74",369,1.37
402,"San José Poaquil",26845,"75 - 79",239,0.89
402,"San José Poaquil",26845,"80 - 84",136,0.51
402,"San José Poaquil",26845,"85 - 89",71,0.26
402,"San José Poaquil",26845,"90 - 94",22,0.08
402,"San José Poaquil",26845,"95 - 99",10,0.04
402,"San José Poaquil",26845,"100 - más",1,0
403,"San Martín Jilotepeque",73469,"0 - 4",8230,11.2
403,"San Martín Jilotepeque",73469,"5 - 9",8557,11.65
403,"San Martín Jilotepeque",73469,"10 - 14",8482,11.55
403,"San Martín Jilotepeque",73469,"15 - 19",9234,12.57
403,"San Martín Jilotepeque",73469,"20 - 24",7522,10.24
403,"San Martín Jilotepeque",73469,"25 - 29",5637,7.67
403,"San Martín Jilotepeque",73469,"30 - 34",4339,5.91
403,"San Martín Jilotepeque",73469,"35 - 39",4155,5.66
403,"San Martín Jilotepeque",73469,"40 - 44",3590,4.89
403,"San Martín Jilotepeque",73469,"45 - 49",2896,3.94
403,"San Martín Jilotepeque",73469,"50 - 54",2473,3.37
403,"San Martín Jilotepeque",73469,"55 - 59",2188,2.98
403,"San Martín Jilotepeque",73469,"60 - 64",1847,2.51
403,"San Martín Jilotepeque",73469,"65 - 69",1494,2.03
403,"San Martín Jilotepeque",73469,"70 - 74",1084,1.48
403,"San Martín Jilotepeque",73469,"75 - 79",779,1.06
403,"San Martín Jilotepeque",73469,"80 - 84",475,0.65
403,"San Martín Jilotepeque",73469,"85 - 89",343,0.47
403,"San Martín Jilotepeque",73469,"90 - 94",106,0.14
403,"San Martín Jilotepeque",73469,"95 - 99",35,0.05
403,"San Martín Jilotepeque",73469,"100 - más",3,0
404,"San Juan Comalapa",48597,"0 - 4",5312,10.93
404,"San Juan Comalapa",48597,"5 - 9",5034,10.36
404,"San Juan Comalapa",48597,"10 - 14",5246,10.79
404,"San Juan Comalapa",48597,"15 - 19",5743,11.82
