"Código","Municipio","Total de personas","Total de población en viviendas colectivas y situación de calle"
1217,"Ayutla",37049,23
1218,"Ocós",10841,0
1219,"San Pablo",48937,11
1220,"El Quetzal",23511,0
1221,"La Reforma",17918,0
1222,"Pajapita",21725,8
1223,"Ixchiguán",22375,1
1224,"San José Ojetenam",19009,0
1225,"San Cristóbal Cucho",16619,0
1226,"Sipacapa",20178,0
1227,"Esquipulas Palo Gordo",12892,0
1228,"Río Blanco",5318,0
1229,"San Lorenzo",13125,4
1230,"La Blanca",29112,0
1301,"Huehuetenango",117818,309
1302,"Chiantla",87447,1
1303,"Malacatancito",19155,43
1304,"Cuilco",60395,0
1305,"Nentón",45679,0
1306,"San Pedro Necta",38510,0
1307,"Jacaltenango",37171,4
1308,"San Pedro Soloma",49030,0
1309,"San Ildefonso Ixtahuacán",44424,0
1310,"Santa Bárbara",33608,0
1311,"La Libertad",38234,0
1312,"La Democracia",55434,20
1313,"San Miguel Acatán",27128,0
1314,"San Rafael La Independencia",14149,0
1315,"Todos Santos Cuchumatán",30186,0
1316,"San Juan Atitán",19418,0
1317,"Santa Eulalia",39025,0
1318,"San Mateo Ixtatán",43810,0
1319,"Colotenango",34834,7
1320,"San Sebastián Huehuetenango",32608,2
1321,"Tectitán",10830,0
1322,"Concepción Huista",18915,0
1323,"San Juan Ixcoy",23204,0
1324,"San Antonio Huista",16697,0
1325,"San Sebastián Coatán",20905,0
1326,"Santa Cruz Barillas",100849,16
1327,"Aguacatán",49607,5
1328,"San Rafael Petzal",11271,0
1329,"San Gaspar Ixchil",8142,0
1330,"Santiago Chimaltenango",10507,2
1331,"Santa Ana Huista",9413,0
1332,"Unión Cantinil",15900,0
1333,"Petatán",6366,0
1401,"Santa Cruz del Quiché",78279,247
1402,"Chiché",29646,0
1403,"Chinique",11382,0
1404,"Zacualpa",32750,6
1405,"Chajul",46658,0
1406,"Santo Tomás Chichicastenango",141567,32
1407,"Patzité",6144,0
1408,"San Antonio Ilotenango",25590,0
1409,"San Pedro Jocopilas",31950,0
1410,"Cunén",41455,0
1411,"San Juan Cotzal",31532,12
1412,"Joyabaj",82369,5
1413,"Santa María Nebaj",72686,12
1414,"San Andrés Sajcabajá",24981,16
1415,"San Miguel Uspantán",65872,84
1416,"Sacapulas",52620,13
1417,"San Bartolomé Jocotenango",13568,13
1418,"Canillá",12172,1
1419,"Chicamán",39731,0
1420,"Playa Grande Ixcán",99470,8
1421,"Pachalum",8839,8
1501,"Salamá",65275,49
1502,"San Miguel Chicaj",33121,22
1503,"Rabinal",40797,24
1504,"Cubulco",54869,2
1505,"Granados",13595,4
1506,"Santa Cruz El Chol",9538,1
1507,"San Jerónimo",25459,66
1508,"Purulhá",56822,1
1601,"Cobán",212421,625
1602,"Santa Cruz Verapaz",32042,18
1603,"San Cristóbal Verapaz",68819,42
1604,"Tactic",38052,22
1605,"Tamahú",19984,5
1606,"San Miguel Tucurú",43473,6
1607,"Panzós",71846,4
1608,"Senahú",91974,3
1609,"San Pedro Carchá",235275,78
1610,"San Juan Chamelco",57456,13
1611,"San Agustín Lanquín",24099,0
1612,"Santa María Cahabón",64911,7
1613,"Chisec",84553,0
1614,"Chahal",26644,10
1615,"Fray Bartolomé de las Casas",66141,4
1616,"Santa Catalina La Tinta",40516,4
1617,"Raxruhá",36832,6
1701,"Flores",38186,356
1702,"San José",6989,4
1703,"San Benito",43841,42
1704,"San Andrés",32878,4
1705,"La Libertad",71939,3
1706,"San Francisco",15371,4
1707,"Santa Ana",21970,11
1708,"Dolores",26920,22
1709,"San Luis",67038,66
1710,"Sayaxché",93414,45
1711,"Melchor de Mencos",28238,6
1712,"Poptún",52282,173
1713,"Las Cruces",32715,1
1714,"El Chal",13819,0
1801,"Puerto Barrios",100593,906
1802,"Livingston",73492,4
1803,"El Estor",73328,90
1804,"Morales",100361,16
1805,"Los Amates",60914,33
1901,"Zacapa",60424,735
1902,"Estanzuela",9797,0
1903,"Río Hondo",21434,256
1904,"Gualán",45663,22
1905,"Teculután",17602,13
1906,"Usumatlán",12232,0
1907,"Cabañas",13641,0
1908,"San Diego",7235,0
1909,"La Unión",33572,0
1910,"Huité",11470,0
1911,"San Jorge",12304,0
2001,"Chiquimula",111505,51
2002,"San José la Arada",8756,34
2003,"San Juan Ermita",16418,17
2004,"Jocotán",66379,98
2005,"Camotán",56138,17
2006,"Olopa",27511,2
2007,"Esquipulas",53556,198
2008,"Concepción las Minas",11693,2
2009,"Quezaltepeque",28075,32
2010,"San Jacinto",12619,40
2011,"Ipala",22413,4
2101,"Jalapa",159840,481
2102,"San Pedro Pinula",61908,29
2103,"San Luis Jilotepeque",24679,4
2104,"San Manuel Chaparrón",8317,0
2105,"San Carlos Alzatate",18977,15
2106,"Monjas",27354,86
2107,"Mataquescuintla",41848,15
2201,"Jutiapa",145880,421
2202,"El Progreso",22114,23
2203,"Santa Catarina Mita",28983,0
2204,"Agua Blanca",16353,0
2205,"Asunción Mita",48297,22
2206,"Yupiltepeque",17389,0
2207,"Atescatempa",18402,0
2208,"Jerez",6309,0
2209,"El Adelanto",6500,0
2210,"Zapotitlán",9126,0
2211,"Comapa",32207,0
2212,"Jalpatagua",28832,14
2213,"Conguaco",23452,0
2214,"Moyuta",39781,0
2215,"Pasaco",8854,0
2216,"San José Acatempa",13206,0
2217,"Quesada",22710,0
