"Código","Departamento","Total de personas","Grupo de Edades 5 años","Cantidad","Porcentaje de Poblacion"
3,"Sacatepéquez",330469,"45 - 49",14853,4.49
3,"Sacatepéquez",330469,"50 - 54",13015,3.94
3,"Sacatepéquez",330469,"55 - 59",10883,3.29
3,"Sacatepéquez",330469,"60 - 64",9071,2.74
3,"Sacatepéquez",330469,"65 - 69",7215,2.18
3,"Sacatepéquez",330469,"70 - 74",4925,1.49
3,"Sacatepéquez",330469,"75 - 79",3344,1.01
3,"Sacatepéquez",330469,"80 - 84",2286,0.69
3,"Sacatepéquez",330469,"85 - 89",1435,0.43
3,"Sacatepéquez",330469,"90 - 94",523,0.16
3,"Sacatepéquez",330469,"95 - 99",156,0.05
3,"Sacatepéquez",330469,"100 - más",14,0
4,"Chimaltenango",615776,"0 - 4",69673,11.31
4,"Chimaltenango",615776,"5 - 9",70091,11.38
4,"Chimaltenango",615776,"10 - 14",69679,11.32
4,"Chimaltenango",615776,"15 - 19",72910,11.84
4,"Chimaltenango",615776,"20 - 24",64079,10.41
4,"Chimaltenango",615776,"25 - 29",52017,8.45
4,"Chimaltenango",615776,"30 - 34",41425,6.73
4,"Chimaltenango",615776,"35 - 39",38112,6.19
4,"Chimaltenango",615776,"40 - 44",30641,4.98
4,"Chimaltenango",615776,"45 - 49",24761,4.02
4,"Chimaltenango",615776,"50 - 54",21213,3.44
4,"Chimaltenango",615776,"55 - 59",17238,2.8
4,"Chimaltenango",615776,"60 - 64",13480,2.19
4,"Chimaltenango",615776,"65 - 69",10854,1.76
4,"Chimaltenango",615776,"70 - 74",7651,1.24
4,"Chimaltenango",615776,"75 - 79",5391,0.88
4,"Chimaltenango",615776,"80 - 84",3490,0.57
4,"Chimaltenango",615776,"85 - 89",2121,0.34
4,"Chimaltenango",615776,"90 - 94",709,0.12
4,"Chimaltenango",615776,"95 - 99",213,0.03
4,"Chimaltenango",615776,"100 - más",28,0
5,"Escuintla",733181,"0 - 4",78201,10.67
5,"Escuintla",733181,"5 - 9",76969,10.5
5,"Escuintla",733181,"10 - 14",74108,10.11
5,"Escuintla",733181,"15 - 19",79515,10.85
5,"Escuintla",733181,"20 - 24",75713,10.33
5,"Escuintla",733181,"25 - 29",65862,8.98
5,"Escuintla",733181,"30 - 34",53747,7.33
5,"Escuintla",733181,"35 - 39",48287,6.59
5,"Escuintla",733181,"40 - 44",39979,5.45
5,"Escuintla",733181,"45 - 49",32055,4.37
5,"Escuintla",733181,"50 - 54",27306,3.72
5,"Escuintla",733181,"55 - 59",23005,3.14
5,"Escuintla",733181,"60 - 64",18463,2.52
5,"Escuintla",733181,"65 - 69",14611,1.99
5,"Escuintla",733181,"70 - 74",10219,1.39
5,"Escuintla",733181,"75 - 79",6875,0.94
5,"Escuintla",733181,"80 - 84",4433,0.6
5,"Escuintla",733181,"85 - 89",2598,0.35
5,"Escuintla",733181,"90 - 94",906,0.12
5,"Escuintla",733181,"95 - 99",282,0.04
5,"Escuintla",733181,"100 - más",47,0.01
6,"Santa Rosa",396607,"0 - 4",42164,10.63
6,"Santa Rosa",396607,"5 - 9",42645,10.75
6,"Santa Rosa",396607,"10 - 14",41632,10.5
6,"Santa Rosa",396607,"15 - 19",44334,11.18
6,"Santa Rosa",396607,"20 - 24",39363,9.92
6,"Santa Rosa",396607,"25 - 29",32477,8.19
6,"Santa Rosa",396607,"30 - 34",26301,6.63
6,"Santa Rosa",396607,"35 - 39",24480,6.17
6,"Santa Rosa",396607,"40 - 44",20633,5.2
6,"Santa Rosa",396607,"45 - 49",17309,4.36
6,"Santa Rosa",396607,"50 - 54",15311,3.86
6,"Santa Rosa",396607,"55 - 59",13307,3.36
6,"Santa Rosa",396607,"60 - 64",10888,2.75
6,"Santa Rosa",396607,"65 - 69",8931,2.25
6,"Santa Rosa",396607,"70 - 74",6403,1.61
6,"Santa Rosa",396607,"75 - 79",4590,1.16
6,"Santa Rosa",396607,"80 - 84",2968,0.75
6,"Santa Rosa",396607,"85 - 89",1859,0.47
6,"Santa Rosa",396607,"90 - 94",761,0.19
6,"Santa Rosa",396607,"95 - 99",212,0.05
6,"Santa Rosa",396607,"100 - más",39,0.01
7,"Sololá",421583,"0 - 4",44590,10.58
7,"Sololá",421583,"5 - 9",45768,10.86
7,"Sololá",421583,"10 - 14",48890,11.6
7,"Sololá",421583,"15 - 19",50564,11.99
7,"Sololá",421583,"20 - 24",43999,10.44
7,"Sololá",421583,"25 - 29",35503,8.42
7,"Sololá",421583,"30 - 34",29035,6.89
7,"Sololá",421583,"35 - 39",27091,6.43
7,"Sololá",421583,"40 - 44",21457,5.09
7,"Sololá",421583,"45 - 49",17740,4.21
7,"Sololá",421583,"50 - 54",14350,3.4
7,"Sololá",421583,"55 - 59",11571,2.74
7,"Sololá",421583,"60 - 64",9486,2.25
7,"Sololá",421583,"65 - 69",7601,1.8
7,"Sololá",421583,"70 - 74",5602,1.33
7,"Sololá",421583,"75 - 79",3972,0.94
7,"Sololá",421583,"80 - 84",2335,0.55
7,"Sololá",421583,"85 - 89",1356,0.32
7,"Sololá",421583,"90 - 94",491,0.12
7,"Sololá",421583,"95 - 99",154,0.04
7,"Sololá",421583,"100 - más",28,0.01
8,"Totonicapán",418569,"0 - 4",48076,11.49
8,"Totonicapán",418569,"5 - 9",47526,11.35
8,"Totonicapán",418569,"10 - 14",48720,11.64
8,"Totonicapán",418569,"15 - 19",49872,11.91
8,"Totonicapán",418569,"20 - 24",43740,10.45
8,"Totonicapán",418569,"25 - 29",34653,8.28
8,"Totonicapán",418569,"30 - 34",25812,6.17
8,"Totonicapán",418569,"35 - 39",23280,5.56
8,"Totonicapán",418569,"40 - 44",19008,4.54
8,"Totonicapán",418569,"45 - 49",17163,4.1
8,"Totonicapán",418569,"50 - 54",15055,3.6
8,"Totonicapán",418569,"55 - 59",12063,2.88
8,"Totonicapán",418569,"60 - 64",10060,2.4
8,"Totonicapán",418569,"65 - 69",8191,1.96
8,"Totonicapán",418569,"70 - 74",6115,1.46
8,"Totonicapán",418569,"75 - 79",4259,1.02
8,"Totonicapán",418569,"80 - 84",2569,0.61
8,"Totonicapán",418569,"85 - 89",1628,0.39
8,"Totonicapán",418569,"90 - 94",599,0.14
8,"Totonicapán",418569,"95 - 99",158,0.04
8,"Totonicapán",418569,"100 - más",22,0.01
9,"Quetzaltenango",799101,"0 - 4",83506,10.45
9,"Quetzaltenango",799101,"5 - 9",84815,10.61
9,"Quetzaltenango",799101,"10 - 14",81912,10.25
9,"Quetzaltenango",799101,"15 - 19",89963,11.26
9,"Quetzaltenango",799101,"20 - 24",81672,10.22
9,"Quetzaltenango",799101,"25 - 29",68143,8.53
9,"Quetzaltenango",799101,"30 - 34",54551,6.83
9,"Quetzaltenango",799101,"35 - 39",50160,6.28
9,"Quetzaltenango",799101,"40 - 44",39952,5
9,"Quetzaltenango",799101,"45 - 49",34927,4.37
9,"Quetzaltenango",799101,"50 - 54",31358,3.92
9,"Quetzaltenango",799101,"55 - 59",26289,3.29
9,"Quetzaltenango",799101,"60 - 64",21742,2.72
9,"Quetzaltenango",799101,"65 - 69",17589,2.2
9,"Quetzaltenango",799101,"70 - 74",12296,1.54
9,"Quetzaltenango",799101,"75 - 79",8772,1.1
9,"Quetzaltenango",799101,"80 - 84",5844,0.73
9,"Quetzaltenango",799101,"85 - 89",3792,0.47
9,"Quetzaltenango",799101,"90 - 94",1357,0.17
9,"Quetzaltenango",799101,"95 - 99",404,0.05
9,"Quetzaltenango",799101,"100 - más",57,0.01
10,"Suchitepéquez",554695,"0 - 4",64572,11.64
10,"Suchitepéquez",554695,"5 - 9",63528,11.45
10,"Suchitepéquez",554695,"10 - 14",61834,11.15
10,"Suchitepéquez",554695,"15 - 19",63201,11.39
10,"Suchitepéquez",554695,"20 - 24",56842,10.25
10,"Suchitepéquez",554695,"25 - 29",45559,8.21
10,"Suchitepéquez",554695,"30 - 34",37325,6.73
10,"Suchitepéquez",554695,"35 - 39",33731,6.08
10,"Suchitepéquez",554695,"40 - 44",26768,4.83
10,"Suchitepéquez",554695,"45 - 49",21541,3.88
10,"Suchitepéquez",554695,"50 - 54",19354,3.49
10,"Suchitepéquez",554695,"55 - 59",16541,2.98
10,"Suchitepéquez",554695,"60 - 64",13451,2.42
10,"Suchitepéquez",554695,"65 - 69",10964,1.98
10,"Suchitepéquez",554695,"70 - 74",7465,1.35
10,"Suchitepéquez",554695,"75 - 79",5475,0.99
10,"Suchitepéquez",554695,"80 - 84",3614,0.65
10,"Suchitepéquez",554695,"85 - 89",2090,0.38
10,"Suchitepéquez",554695,"90 - 94",634,0.11
10,"Suchitepéquez",554695,"95 - 99",181,0.03
10,"Suchitepéquez",554695,"100 - más",25,0
11,"Retalhuleu",326828,"0 - 4",37249,11.4
11,"Retalhuleu",326828,"5 - 9",36781,11.25
11,"Retalhuleu",326828,"10 - 14",34868,10.67
11,"Retalhuleu",326828,"15 - 19",36841,11.27
11,"Retalhuleu",326828,"20 - 24",33516,10.25
11,"Retalhuleu",326828,"25 - 29",27482,8.41
11,"Retalhuleu",326828,"30 - 34",22261,6.81
11,"Retalhuleu",326828,"35 - 39",19602,6
11,"Retalhuleu",326828,"40 - 44",16132,4.94
11,"Retalhuleu",326828,"45 - 49",12845,3.93
11,"Retalhuleu",326828,"50 - 54",11329,3.47
11,"Retalhuleu",326828,"55 - 59",10142,3.1
11,"Retalhuleu",326828,"60 - 64",8309,2.54
11,"Retalhuleu",326828,"65 - 69",6949,2.13
11,"Retalhuleu",326828,"70 - 74",4813,1.47
11,"Retalhuleu",326828,"75 - 79",3404,1.04
11,"Retalhuleu",326828,"80 - 84",2279,0.7
11,"Retalhuleu",326828,"85 - 89",1423,0.44
11,"Retalhuleu",326828,"90 - 94",436,0.13
11,"Retalhuleu",326828,"95 - 99",148,0.05
11,"Retalhuleu",326828,"100 - más",19,0.01
12,"San Marcos",1032277,"0 - 4",130902,12.68
12,"San Marcos",1032277,"5 - 9",128937,12.49
12,"San Marcos",1032277,"10 - 14",123463,11.96
12,"San Marcos",1032277,"15 - 19",118659,11.49
12,"San Marcos",1032277,"20 - 24",95544,9.26
12,"San Marcos",1032277,"25 - 29",76713,7.43
12,"San Marcos",1032277,"30 - 34",62087,6.01
12,"San Marcos",1032277,"35 - 39",58318,5.65
12,"San Marcos",1032277,"40 - 44",47098,4.56
12,"San Marcos",1032277,"45 - 49",39404,3.82
12,"San Marcos",1032277,"50 - 54",35153,3.41
12,"San Marcos",1032277,"55 - 59",30047,2.91
12,"San Marcos",1032277,"60 - 64",25249,2.45
12,"San Marcos",1032277,"65 - 69",20602,2
12,"San Marcos",1032277,"70 - 74",14954,1.45
12,"San Marcos",1032277,"75 - 79",10823,1.05
12,"San Marcos",1032277,"80 - 84",7342,0.71
12,"San Marcos",1032277,"85 - 89",4569,0.44
12,"San Marcos",1032277,"90 - 94",1731,0.17
12,"San Marcos",1032277,"95 - 99",558,0.05
12,"San Marcos",1032277,"100 - más",124,0.01
13,"Huehuetenango",1170669,"0 - 4",159796,13.65
13,"Huehuetenango",1170669,"5 - 9",154123,13.17
13,"Huehuetenango",1170669,"10 - 14",139264,11.9
13,"Huehuetenango",1170669,"15 - 19",134413,11.48
13,"Huehuetenango",1170669,"20 - 24",112827,9.64
13,"Huehuetenango",1170669,"25 - 29",89094,7.61
13,"Huehuetenango",1170669,"30 - 34",70828,6.05
13,"Huehuetenango",1170669,"35 - 39",66012,5.64
13,"Huehuetenango",1170669,"40 - 44",51989,4.44
13,"Huehuetenango",1170669,"45 - 49",42776,3.65
13,"Huehuetenango",1170669,"50 - 54",35062,3
13,"Huehuetenango",1170669,"55 - 59",30271,2.59
13,"Huehuetenango",1170669,"60 - 64",24718,2.11
13,"Huehuetenango",1170669,"65 - 69",20787,1.78
13,"Huehuetenango",1170669,"70 - 74",14974,1.28
13,"Huehuetenango",1170669,"75 - 79",10669,0.91
13,"Huehuetenango",1170669,"80 - 84",6764,0.58
13,"Huehuetenango",1170669,"85 - 89",4105,0.35
13,"Huehuetenango",1170669,"90 - 94",1464,0.13
13,"Huehuetenango",1170669,"95 - 99",564,0.05
13,"Huehuetenango",1170669,"100 - más",169,0.01
14,"Quiché",949261,"0 - 4",124298,13.09
14,"Quiché",949261,"5 - 9",125496,13.22
14,"Quiché",949261,"10 - 14",119096,12.55
14,"Quiché",949261,"15 - 19",117248,12.35
14,"Quiché",949261,"20 - 24",94214,9.92
14,"Quiché",949261,"25 - 29",73199,7.71
14,"Quiché",949261,"30 - 34",55182,5.81
14,"Quiché",949261,"35 - 39",49525,5.22
14,"Quiché",949261,"40 - 44",41790,4.4
14,"Quiché",949261,"45 - 49",35646,3.76
14,"Quiché",949261,"50 - 54",28329,2.98
14,"Quiché",949261,"55 - 59",23659,2.49
14,"Quiché",949261,"60 - 64",18984,2
14,"Quiché",949261,"65 - 69",15325,1.61
14,"Quiché",949261,"70 - 74",11209,1.18
14,"Quiché",949261,"75 - 79",7538,0.79
14,"Quiché",949261,"80 - 84",4579,0.48
14,"Quiché",949261,"85 - 89",2596,0.27
14,"Quiché",949261,"90 - 94",901,0.09
14,"Quiché",949261,"95 - 99",320,0.03
14,"Quiché",949261,"100 - más",127,0.01
15,"Baja Verapaz",299476,"0 - 4",36814,12.29
15,"Baja Verapaz",299476,"5 - 9",35157,11.74
15,"Baja Verapaz",299476,"10 - 14",33418,11.16
15,"Baja Verapaz",299476,"15 - 19",35123,11.73
15,"Baja Verapaz",299476,"20 - 24",30163,10.07
15,"Baja Verapaz",299476,"25 - 29",23595,7.88
15,"Baja Verapaz",299476,"30 - 34",19702,6.58
15,"Baja Verapaz",299476,"35 - 39",17485,5.84
15,"Baja Verapaz",299476,"40 - 44",13920,4.65
15,"Baja Verapaz",299476,"45 - 49",11419,3.81
15,"Baja Verapaz",299476,"50 - 54",9740,3.25
15,"Baja Verapaz",299476,"55 - 59",8756,2.92
15,"Baja Verapaz",299476,"60 - 64",7477,2.5
15,"Baja Verapaz",299476,"65 - 69",6163,2.06
15,"Baja Verapaz",299476,"70 - 74",4149,1.39
15,"Baja Verapaz",299476,"75 - 79",2806,0.94
15,"Baja Verapaz",299476,"80 - 84",1957,0.65
15,"Baja Verapaz",299476,"85 - 89",1146,0.38
15,"Baja Verapaz",299476,"90 - 94",383,0.13
15,"Baja Verapaz",299476,"95 - 99",95,0.03
15,"Baja Verapaz",299476,"100 - más",8,0
16,"Alta Verapaz",1215038,"0 - 4",164785,13.56
16,"Alta Verapaz",1215038,"5 - 9",161275,13.27
16,"Alta Verapaz",1215038,"10 - 14",146089,12.02
16,"Alta Verapaz",1215038,"15 - 19",144873,11.92
16,"Alta Verapaz",1215038,"20 - 24",120180,9.89
16,"Alta Verapaz",1215038,"25 - 29",96141,7.91
16,"Alta Verapaz",1215038,"30 - 34",82486,6.79
16,"Alta Verapaz",1215038,"35 - 39",72254,5.95
16,"Alta Verapaz",1215038,"40 - 44",54704,4.5
16,"Alta Verapaz",1215038,"45 - 49",40719,3.35
16,"Alta Verapaz",1215038,"50 - 54",31909,2.63
16,"Alta Verapaz",1215038,"55 - 59",27837,2.29
16,"Alta Verapaz",1215038,"60 - 64",23367,1.92
16,"Alta Verapaz",1215038,"65 - 69",18971,1.56
16,"Alta Verapaz",1215038,"70 - 74",12227,1.01
16,"Alta Verapaz",1215038,"75 - 79",7964,0.66
16,"Alta Verapaz",1215038,"80 - 84",5439,0.45
16,"Alta Verapaz",1215038,"85 - 89",2768,0.23
16,"Alta Verapaz",1215038,"90 - 94",816,0.07
16,"Alta Verapaz",1215038,"95 - 99",202,0.02
16,"Alta Verapaz",1215038,"100 - más",32,0
17,"Petén",545600,"0 - 4",67852,12.44
17,"Petén",545600,"5 - 9",68250,12.51
17,"Petén",545600,"10 - 14",62082,11.38
17,"Petén",545600,"15 - 19",67372,12.35
17,"Petén",545600,"20 - 24",58261,10.68
17,"Petén",545600,"25 - 29",45205,8.29
17,"Petén",545600,"30 - 34",35616,6.53
17,"Petén",545600,"35 - 39",31516,5.78
17,"Petén",545600,"40 - 44",25498,4.67
17,"Petén",545600,"45 - 49",19942,3.66
17,"Petén",545600,"50 - 54",16410,3.01
17,"Petén",545600,"55 - 59",13567,2.49
17,"Petén",545600,"60 - 64",11044,2.02
17,"Petén",545600,"65 - 69",8750,1.6
17,"Petén",545600,"70 - 74",5758,1.06
17,"Petén",545600,"75 - 79",3880,0.71
17,"Petén",545600,"80 - 84",2472,0.45
17,"Petén",545600,"85 - 89",1425,0.26
17,"Petén",545600,"90 - 94",482,0.09
17,"Petén",545600,"95 - 99",178,0.03
17,"Petén",545600,"100 - más",40,0.01
18,"Izabal",408688,"0 - 4",46714,11.43
18,"Izabal",408688,"5 - 9",47095,11.52
18,"Izabal",408688,"10 - 14",44741,10.95
18,"Izabal",408688,"15 - 19",48601,11.89
18,"Izabal",408688,"20 - 24",41247,10.09
18,"Izabal",408688,"25 - 29",33077,8.09
18,"Izabal",408688,"30 - 34",27413,6.71
18,"Izabal",408688,"35 - 39",24520,6
18,"Izabal",408688,"40 - 44",20803,5.09
18,"Izabal",408688,"45 - 49",16830,4.12
18,"Izabal",408688,"50 - 54",13867,3.39
18,"Izabal",408688,"55 - 59",12218,2.99
18,"Izabal",408688,"60 - 64",9760,2.39
18,"Izabal",408688,"65 - 69",7991,1.96
18,"Izabal",408688,"70 - 74",5457,1.34
18,"Izabal",408688,"75 - 79",3868,0.95
18,"Izabal",408688,"80 - 84",2472,0.6
18,"Izabal",408688,"85 - 89",1372,0.34
18,"Izabal",408688,"90 - 94",466,0.11
18,"Izabal",408688,"95 - 99",151,0.04
18,"Izabal",408688,"100 - más",25,0.01
19,"Zacapa",245374,"0 - 4",25431,10.36
19,"Zacapa",245374,"5 - 9",25968,10.58
19,"Zacapa",245374,"10 - 14",24965,10.17
19,"Zacapa",245374,"15 - 19",27598,11.25
19,"Zacapa",245374,"20 - 24",23933,9.75
19,"Zacapa",245374,"25 - 29",20280,8.26
19,"Zacapa",245374,"30 - 34",16568,6.75
19,"Zacapa",245374,"35 - 39",15051,6.13
19,"Zacapa",245374,"40 - 44",12985,5.29
19,"Zacapa",245374,"45 - 49",10510,4.28
19,"Zacapa",245374,"50 - 54",9777,3.98
19,"Zacapa",245374,"55 - 59",8385,3.42
19,"Zacapa",245374,"60 - 64",7122,2.9
19,"Zacapa",245374,"65 - 69",5807,2.37
19,"Zacapa",245374,"70 - 74",4223,1.72
19,"Zacapa",245374,"75 - 79",3042,1.24
19,"Zacapa",245374,"80 - 84",2008,0.82
19,"Zacapa",245374,"85 - 89",1146,0.47
19,"Zacapa",245374,"90 - 94",409,0.17
19,"Zacapa",245374,"95 - 99",137,0.06
19,"Zacapa",245374,"100 - más",29,0.01
20,"Chiquimula",415063,"0 - 4",50771,12.23
20,"Chiquimula",415063,"5 - 9",48755,11.75
20,"Chiquimula",415063,"10 - 14",46548,11.21
20,"Chiquimula",415063,"15 - 19",48477,11.68
20,"Chiquimula",415063,"20 - 24",40834,9.84
20,"Chiquimula",415063,"25 - 29",32719,7.88
20,"Chiquimula",415063,"30 - 34",26833,6.46
20,"Chiquimula",415063,"35 - 39",23613,5.69
20,"Chiquimula",415063,"40 - 44",19260,4.64
20,"Chiquimula",415063,"45 - 49",16030,3.86
20,"Chiquimula",415063,"50 - 54",13927,3.36
20,"Chiquimula",415063,"55 - 59",12703,3.06
20,"Chiquimula",415063,"60 - 64",10465,2.52
20,"Chiquimula",415063,"65 - 69",8383,2.02
20,"Chiquimula",415063,"70 - 74",6076,1.46
20,"Chiquimula",415063,"75 - 79",4554,1.1
20,"Chiquimula",415063,"80 - 84",2664,0.64
20,"Chiquimula",415063,"85 - 89",1699,0.41
20,"Chiquimula",415063,"90 - 94",543,0.13
20,"Chiquimula",415063,"95 - 99",183,0.04
20,"Chiquimula",415063,"100 - más",26,0.01
21,"Jalapa",342923,"0 - 4",42275,12.33
21,"Jalapa",342923,"5 - 9",41087,11.98
21,"Jalapa",342923,"10 - 14",39412,11.49
21,"Jalapa",342923,"15 - 19",41417,12.08
21,"Jalapa",342923,"20 - 24",34780,10.14
21,"Jalapa",342923,"25 - 29",27355,7.98
21,"Jalapa",342923,"30 - 34",21722,6.33
21,"Jalapa",342923,"35 - 39",19634,5.73
21,"Jalapa",342923,"40 - 44",15665,4.57
21,"Jalapa",342923,"45 - 49",13038,3.8
21,"Jalapa",342923,"50 - 54",11348,3.31
21,"Jalapa",342923,"55 - 59",9726,2.84
21,"Jalapa",342923,"60 - 64",7682,2.24
21,"Jalapa",342923,"65 - 69",6211,1.81
21,"Jalapa",342923,"70 - 74",4631,1.35
21,"Jalapa",342923,"75 - 79",3335,0.97
21,"Jalapa",342923,"80 - 84",1875,0.55
21,"Jalapa",342923,"85 - 89",1138,0.33
21,"Jalapa",342923,"90 - 94",432,0.13
21,"Jalapa",342923,"95 - 99",145,0.04
21,"Jalapa",342923,"100 - más",15,0
22,"Jutiapa",488395,"0 - 4",51090,10.46
22,"Jutiapa",488395,"5 - 9",52577,10.77
22,"Jutiapa",488395,"10 - 14",50500,10.34
22,"Jutiapa",488395,"15 - 19",55510,11.37
22,"Jutiapa",488395,"20 - 24",47832,9.79
22,"Jutiapa",488395,"25 - 29",39667,8.12
22,"Jutiapa",488395,"30 - 34",31992,6.55
22,"Jutiapa",488395,"35 - 39",29720,6.09
22,"Jutiapa",488395,"40 - 44",25219,5.16
22,"Jutiapa",488395,"45 - 49",21158,4.33
22,"Jutiapa",488395,"50 - 54",18753,3.84
22,"Jutiapa",488395,"55 - 59",16371,3.35
22,"Jutiapa",488395,"60 - 64",13870,2.84
22,"Jutiapa",488395,"65 - 69",11756,2.41
22,"Jutiapa",488395,"70 - 74",8544,1.75
22,"Jutiapa",488395,"75 - 79",6348,1.3
22,"Jutiapa",488395,"80 - 84",3921,0.8
22,"Jutiapa",488395,"85 - 89",2348,0.48
22,"Jutiapa",488395,"90 - 94",871,0.18
22,"Jutiapa",488395,"95 - 99",292,0.06
22,"Jutiapa",488395,"100 - más",56,0.01
