"Código","Departamento","Total de personas","Grupo de Edades 5 años","Cantidad","Porcentaje de Poblacion"
1,"Guatemala",3015081,"0 - 4",264759,8.78
1,"Guatemala",3015081,"5 - 9",269556,8.94
1,"Guatemala",3015081,"10 - 14",272564,9.04
1,"Guatemala",3015081,"15 - 19",301010,9.98
1,"Guatemala",3015081,"20 - 24",303900,10.08
1,"Guatemala",3015081,"25 - 29",273864,9.08
1,"Guatemala",3015081,"30 - 34",231447,7.68
1,"Guatemala",3015081,"35 - 39",222396,7.38
1,"Guatemala",3015081,"40 - 44",187695,6.23
1,"Guatemala",3015081,"45 - 49",152992,5.07
1,"Guatemala",3015081,"50 - 54",133306,4.42
1,"Guatemala",3015081,"55 - 59",112210,3.72
1,"Guatemala",3015081,"60 - 64",91154,3.02
1,"Guatemala",3015081,"65 - 69",72749,2.41
1,"Guatemala",3015081,"70 - 74",50013,1.66
1,"Guatemala",3015081,"75 - 79",33771,1.12
1,"Guatemala",3015081,"80 - 84",21462,0.71
1,"Guatemala",3015081,"85 - 89",13370,0.44
1,"Guatemala",3015081,"90 - 94",5114,0.17
1,"Guatemala",3015081,"95 - 99",1522,0.05
1,"Guatemala",3015081,"100 - más",227,0.01
2,"El Progreso",176632,"0 - 4",17878,10.12
2,"El Progreso",176632,"5 - 9",18510,10.48
2,"El Progreso",176632,"10 - 14",17541,9.93
2,"El Progreso",176632,"15 - 19",19121,10.83
2,"El Progreso",176632,"20 - 24",16934,9.59
2,"El Progreso",176632,"25 - 29",14588,8.26
2,"El Progreso",176632,"30 - 34",12316,6.97
2,"El Progreso",176632,"35 - 39",11457,6.49
2,"El Progreso",176632,"40 - 44",9669,5.47
2,"El Progreso",176632,"45 - 49",7763,4.4
2,"El Progreso",176632,"50 - 54",7127,4.03
2,"El Progreso",176632,"55 - 59",6307,3.57
2,"El Progreso",176632,"60 - 64",5122,2.9
2,"El Progreso",176632,"65 - 69",4158,2.35
2,"El Progreso",176632,"70 - 74",2952,1.67
2,"El Progreso",176632,"75 - 79",2253,1.28
2,"El Progreso",176632,"80 - 84",1484,0.84
2,"El Progreso",176632,"85 - 89",942,0.53
2,"El Progreso",176632,"90 - 94",386,0.22
2,"El Progreso",176632,"95 - 99",108,0.06
2,"El Progreso",176632,"100 - más",16,0.01
3,"Sacatepéquez",330469,"0 - 4",30494,9.23
3,"Sacatepéquez",330469,"5 - 9",31852,9.64
3,"Sacatepéquez",330469,"10 - 14",32748,9.91
3,"Sacatepéquez",330469,"15 - 19",36230,10.96
3,"Sacatepéquez",330469,"20 - 24",34036,10.3
3,"Sacatepéquez",330469,"25 - 29",29912,9.05
3,"Sacatepéquez",330469,"30 - 34",24959,7.55
3,"Sacatepéquez",330469,"35 - 39",23821,7.21
3,"Sacatepéquez",330469,"40 - 44",18697,5.66
